代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000416	民生控股	-0.17	11.50	-0.02	11.49	11.50	37479	890	-0.34	          0.71	11.51	11.59	11.30	11.52	   466.50	43050552	  0.90	多元金融	山东	2.52	11.49	19302	18177	  1.06	40	227	--  	          5.32	
000506	中润资源	1.97	10.36	0.20	10.36	10.37	235687	2972	0.29	          2.54	10.16	10.58	10.10	10.16	  1104.70	244037104	  1.43	区域地产	山东	4.72	10.35	112540	123147	  0.91	1597	227	--  	          9.29	
000639	西王食品	3.62	23.73	0.83	23.73	23.74	36051	401	0.00	          0.96	22.90	23.79	22.78	22.90	    69.53	84885832	  1.55	食品	山东	4.41	23.55	10387	25663	  0.40	85	60	--  	          3.77	
000655	金岭矿业	1.77	9.79	0.17	9.78	9.79	75182	3130	0.20	          1.26	9.52	9.82	9.52	9.62	--  	72764344	  0.97	普钢	山东	3.12	9.68	37661	37521	  1.00	175	133	--  	          5.95	
000677	恒天海龙	0.33	6.11	0.02	6.10	6.11	68721	1151	-0.16	          0.80	6.12	6.13	6.05	6.09	  1167.59	41956124	  0.85	化纤	山东	1.31	6.11	32578	36143	  0.90	495	216	--  	          8.64	
000682	东方电子	--  	5.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.20	   130.36	0	  0.00	电气设备	山东	0.00	5.20	0	0	--  	0	0	--  	          9.78	
000726	鲁 泰Ａ	0.16	12.63	0.02	12.63	12.64	60526	1280	0.00	          1.08	12.55	12.64	12.48	12.61	    15.04	76137632	  0.81	纺织	山东	1.27	12.58	30024	30502	  0.98	361	710	--  	          5.61	
000739	普洛药业	-1.03	8.63	-0.09	8.62	8.63	111424	2662	0.23	          1.05	8.70	8.70	8.47	8.72	    43.02	95453552	  0.61	化学制药	浙江	2.64	8.57	70405	41019	  1.72	439	783	--  	         10.60	
000756	新华制药	3.35	14.50	0.47	14.49	14.50	94293	1201	0.06	          3.07	14.16	14.63	13.88	14.03	    55.77	135108112	  1.42	化学制药	山东	5.35	14.33	45342	48951	  0.93	481	264	--  	          3.07	
000811	烟台冰轮	1.29	15.68	0.20	15.68	15.70	41881	350	0.19	          1.04	15.48	15.76	15.37	15.48	    20.93	65403448	  0.84	工程机械	山东	2.52	15.62	19019	22861	  0.83	158	187	--  	          4.03	
000822	山东海化	-0.28	7.08	-0.02	7.07	7.08	108989	1443	0.14	          1.22	7.08	7.09	6.93	7.10	    71.34	76432432	  1.25	化工原料	山东	2.25	7.01	50986	58003	  0.88	677	2629	--  	          8.95	
000869	张 裕Ａ	0.98	37.07	0.36	37.07	37.08	21788	455	0.02	          0.48	36.75	37.09	36.40	36.71	    23.11	80252136	  1.03	红黄药酒	山东	1.88	36.83	10560	11228	  0.94	193	58	--  	          4.53	
000880	潍柴重机	0.46	15.36	0.07	15.36	15.37	19967	298	0.06	          1.48	15.32	15.37	15.08	15.29	   153.03	30527454	  0.82	机械基件	山东	1.90	15.29	9948	10019	  0.99	195	612	--  	          1.35	
002041	登海种业	-0.59	16.95	-0.10	16.94	16.95	99127	883	0.05	          1.13	17.05	17.09	16.76	17.05	    47.04	167308960	  1.74	种植业	山东	1.94	16.88	54345	44782	  1.21	390	977	--  	          8.74	
002072	凯瑞德	1.17	24.18	0.28	24.17	24.18	42768	3047	0.62	          2.43	23.90	24.18	23.50	23.90	    97.64	102672528	  0.89	纺织	山东	2.85	24.01	15658	27110	  0.58	3	356	--  	          1.76	
002083	孚日股份	0.42	7.17	0.03	7.16	7.17	52267	431	0.00	          0.61	7.14	7.17	7.11	7.14	    20.20	37375308	  0.89	纺织	山东	0.84	7.15	26855	25411	  1.06	549	1016	--  	          8.56	
002086	东方海洋	0.28	10.62	0.03	10.62	10.63	34789	975	0.00	          0.73	10.60	10.65	10.47	10.59	    95.32	36731724	  0.67	渔业	山东	1.70	10.56	16738	18050	  0.93	61	314	--  	          4.76	
002107	沃华医药	0.60	15.20	0.09	15.19	15.20	20059	528	0.06	          0.57	15.06	15.24	15.03	15.11	   112.35	30414944	  0.97	中成药	山东	1.39	15.16	9053	11006	  0.82	300	96	--  	          3.49	
002217	合力泰	-0.82	19.45	-0.16	19.44	19.45	111693	1735	0.15	          2.39	19.50	19.52	19.17	19.61	    39.46	216111200	  0.77	元器件	山东	1.78	19.35	57575	54117	  1.06	362	65	--  	          4.67	
002242	九阳股份	2.60	18.92	0.48	18.91	18.92	128509	1009	-0.10	          1.68	18.41	18.97	18.23	18.44	    19.94	240603824	  1.90	家用电器	山东	4.01	18.72	51367	77142	  0.67	114	16	--  	          7.65	
002254	泰和新材	0.16	12.54	0.02	12.53	12.54	47045	553	0.00	          0.77	12.49	12.62	12.47	12.52	   116.87	58976516	  0.75	化纤	山东	1.20	12.54	21567	25478	  0.85	269	18	--  	          6.11	
002270	华明装备	0.89	14.70	0.13	14.68	14.70	22330	687	0.13	          1.08	14.54	14.79	14.45	14.57	    38.82	32806002	  0.92	电气设备	山东	2.33	14.69	8384	13946	  0.60	49	854	--  	          2.07	
002353	杰瑞股份	0.86	22.24	0.19	22.24	22.25	125787	1380	0.00	          1.87	21.97	22.30	21.48	22.05	   152.34	275869696	  1.04	化工机械	山东	3.72	21.93	62309	63478	  0.98	91	478	--  	          6.74	
002355	兴民智通	4.29	15.33	0.63	15.33	15.34	189977	2146	0.13	          5.55	14.58	15.39	14.53	14.70	   154.97	286232000	  1.37	汽车配件	山东	5.85	15.07	84299	105678	  0.80	1462	729	--  	          3.42	
002359	齐星铁塔	0.40	27.52	0.11	27.52	27.54	44090	176	0.03	          1.06	27.50	27.80	27.35	27.41	--  	121282976	  0.91	钢加工	山东	1.64	27.51	22336	21754	  1.03	8	32	--  	          4.17	
002363	隆基机械	0.25	12.10	0.03	12.09	12.10	38497	730	0.08	          1.00	12.02	12.19	12.01	12.07	    77.62	46529648	  0.93	汽车配件	山东	1.49	12.09	19267	19230	  1.00	186	565	--  	          3.86	
002374	丽鹏股份	1.87	7.61	0.14	7.60	7.61	70484	998	0.00	          1.38	7.49	7.61	7.38	7.47	    54.73	53095048	  0.98	建筑施工	山东	3.08	7.53	31838	38645	  0.82	1903	1058	--  	          5.10	
002376	新北洋	0.52	13.56	0.07	13.56	13.57	46400	1516	0.22	          0.81	13.47	13.57	13.33	13.49	    46.36	62475744	  0.60	电脑设备	山东	1.78	13.46	22269	24130	  0.92	132	375	--  	          5.72	
002379	*ST鲁丰	--  	8.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.04	   745.89	0	  0.00	铝	山东	0.00	8.04	0	0	--  	0	0	--  	          6.76	
002382	蓝帆医疗	2.98	12.46	0.36	12.46	12.47	39430	554	0.00	          0.81	12.10	12.54	12.06	12.10	    34.02	48700220	  1.77	医疗保健	山东	3.97	12.35	16779	22651	  0.74	109	40	--  	          4.84	
002408	齐翔腾达	1.97	10.33	0.20	10.32	10.33	248460	4073	0.00	          1.48	10.13	10.36	10.09	10.13	    54.38	254106848	  1.55	化工原料	山东	2.67	10.23	98917	149543	  0.66	732	4221	--  	         16.76	
002458	益生股份	-1.45	31.88	-0.47	31.87	31.88	62705	1364	0.15	          3.95	32.12	32.30	31.12	32.35	    15.80	198102656	  0.83	农业综合	山东	3.65	31.59	36072	26632	  1.35	15	45	--  	          1.59	
002469	三维工程	0.41	9.79	0.04	9.79	9.80	59277	838	-0.10	          1.28	9.74	9.86	9.67	9.75	   418.71	58010408	  0.66	建筑施工	山东	1.95	9.79	30362	28915	  1.05	105	242	--  	          4.63	
002470	金正大	0.13	7.46	0.01	7.46	7.47	81214	1754	-0.13	          0.30	7.41	7.48	7.39	7.45	    15.58	60457848	  0.69	农药化肥	山东	1.21	7.44	41457	39757	  1.04	1659	791	--  	         27.09	
002476	宝莫股份	0.11	9.14	0.01	9.14	9.15	77763	1396	0.00	          1.29	9.09	9.14	8.94	9.13	   221.04	70313920	  0.92	化工原料	山东	2.19	9.04	42388	35374	  1.20	1142	882	--  	          6.02	
002481	双塔食品	2.10	8.74	0.18	8.74	8.75	140292	3218	0.00	          1.15	8.57	8.78	8.54	8.56	    81.40	121993480	  1.49	食品	山东	2.80	8.70	63905	76387	  0.84	420	2789	--  	         12.23	
002485	希努尔	2.37	19.91	0.46	19.90	19.91	51163	814	0.10	          1.60	19.46	20.15	19.30	19.45	   393.73	102059872	  2.80	服饰	山东	4.37	19.95	21059	30104	  0.70	219	135	--  	          3.20	
002490	山东墨龙	0.24	8.44	0.02	8.44	8.45	282185	8856	0.11	          9.41	8.44	8.50	8.20	8.42	   605.31	235507184	  0.52	化工机械	山东	3.56	8.35	148985	133199	  1.12	710	1809	--  	          3.00	
002498	汉缆股份	0.00	4.19	0.00	4.19	4.20	63744	582	-0.23	          0.19	4.19	4.20	4.14	4.19	    32.72	26611036	  0.89	电气设备	山东	1.43	4.17	33748	29996	  1.13	2481	4095	--  	         33.25	
002521	齐峰新材	0.35	11.53	0.04	11.53	11.54	80973	2112	0.17	          1.88	11.46	11.58	11.28	11.49	    45.28	92721432	  1.14	造纸	山东	2.61	11.45	39324	41649	  0.94	78	223	--  	          4.30	
002526	山东矿机	--  	10.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.12	   505.65	0	  0.00	工程机械	山东	0.00	10.12	0	0	--  	0	0	--  	          4.59	
002537	海立美达	0.39	30.75	0.12	30.75	30.81	13869	376	0.03	          0.46	30.60	30.98	30.25	30.63	   133.11	42460108	  0.98	汽车整车	山东	2.38	30.61	5393	8476	  0.64	138	42	--  	          3.00	
002545	东方铁塔	-0.84	11.84	-0.10	11.84	11.85	45307	1229	-0.08	          1.61	11.83	11.93	11.76	11.94	   145.36	53700660	  0.54	钢加工	山东	1.42	11.85	25886	19420	  1.33	333	857	--  	          2.81	
002580	圣阳股份	-0.68	17.60	-0.12	17.60	17.61	50329	721	0.00	          2.95	17.68	17.77	17.50	17.72	    72.41	88499712	  1.08	电气设备	山东	1.52	17.58	27561	22767	  1.21	131	71	--  	          1.71	
002581	未名医药	0.04	23.46	0.01	23.46	23.47	18602	255	0.04	          0.65	23.60	23.60	23.16	23.45	    43.01	43372088	  0.80	生物制药	山东	1.88	23.32	10230	8372	  1.22	72	195	--  	          2.84	
002588	史丹利	-0.28	10.68	-0.03	10.68	10.69	52961	352	0.00	          0.74	10.72	10.72	10.53	10.71	    20.17	56262468	  0.97	农药化肥	山东	1.77	10.62	32118	20843	  1.54	435	643	--  	          7.11	
002589	瑞康医药	0.81	36.07	0.29	36.06	36.07	18679	127	0.08	          0.62	36.00	36.23	35.54	35.78	    47.53	67139872	  0.67	医药商业	山东	1.93	35.94	9656	9023	  1.07	192	40	--  	          3.00	
002595	豪迈科技	0.44	25.27	0.11	25.26	25.27	19773	541	0.15	          0.42	25.16	25.43	24.84	25.16	    26.80	49659384	  1.04	专用机械	山东	2.34	25.11	8701	11072	  0.79	66	58	--  	          4.68	
002598	山东章鼓	0.96	12.65	0.12	12.64	12.65	40153	444	-0.07	          1.48	12.53	12.67	12.49	12.53	    69.95	50522584	  0.93	机械基件	山东	1.44	12.58	12504	27648	  0.45	143	280	--  	          2.71	
002604	龙力生物	0.37	10.85	0.04	10.84	10.85	61862	484	0.18	          1.43	10.80	10.86	10.60	10.81	    50.25	66520956	  0.88	食品	山东	2.41	10.75	29589	32273	  0.92	424	183	--  	          4.31	
002643	万润股份	2.24	39.26	0.86	39.25	39.26	63649	539	0.02	          2.05	38.51	39.55	38.11	38.40	    44.80	248801056	  1.18	化工原料	山东	3.75	39.09	26794	36854	  0.73	153	104	--  	          3.10	
002655	共达电声	-0.44	13.49	-0.06	13.49	13.50	98225	940	0.00	          2.73	13.40	13.66	13.37	13.55	   269.68	132701288	  0.69	元器件	山东	2.14	13.51	51352	46873	  1.10	62	318	--  	          3.60	
002671	龙泉股份	0.77	11.84	0.09	11.84	11.85	30413	611	0.16	          0.97	11.75	11.86	11.68	11.75	   150.01	35778108	  0.69	其他建材	山东	1.53	11.76	18161	12251	  1.48	32	116	--  	          3.12	
002675	东诚药业	--  	14.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.30	    77.44	0	  0.00	化学制药	山东	0.00	14.30	0	0	--  	0	0	--  	          5.38	
300099	尤洛卡	2.90	12.42	0.35	12.42	12.43	297862	4139	-0.08	          7.85	12.22	12.68	12.22	12.07	--  	370860384	  1.29	电器仪表	山东	3.81	12.45	146659	151202	  0.97	1053	1028	--  	          3.79	
300105	龙源技术	0.89	9.04	0.08	9.03	9.04	60028	1311	0.00	          1.17	8.97	9.04	8.87	8.96	--  	53732608	  0.84	电器仪表	山东	1.90	8.95	33579	26449	  1.27	328	780	--  	          5.13	
300110	华仁药业	1.00	14.10	0.14	14.09	14.10	53799	508	0.00	          0.82	14.27	14.27	13.81	13.96	   494.89	75100168	  1.66	化学制药	山东	3.30	13.96	27829	25969	  1.07	127	102	--  	          6.54	
300121	阳谷华泰	-0.06	16.94	-0.01	16.94	16.95	35597	240	-0.17	          1.32	16.97	17.08	16.54	16.95	    31.25	59789312	  0.98	化工原料	山东	3.19	16.80	20140	15456	  1.30	8	10	--  	          2.69	
300175	朗源股份	5.50	16.68	0.87	16.68	16.69	386168	3324	-0.05	          8.37	15.90	17.10	15.90	15.81	   188.47	640774208	  1.26	食品	山东	7.59	16.59	155996	230171	  0.68	198	363	--  	          4.62	
300183	东软载波	1.39	25.55	0.35	25.55	25.56	44116	801	0.19	          1.71	25.20	25.66	24.97	25.20	    36.58	111695328	  1.03	软件服务	山东	2.74	25.32	22415	21701	  1.03	2086	84	--  	          2.58	
300185	通裕重工	-0.65	3.05	-0.02	3.05	3.06	449118	3743	0.00	          1.66	3.03	3.06	3.00	3.07	    64.26	135977264	  1.97	工程机械	山东	1.95	3.03	176650	272468	  0.65	8619	14651	--  	         27.13	
300208	恒顺众昇	0.13	15.44	0.02	15.44	15.45	39305	259	0.12	          0.65	15.44	15.46	15.12	15.42	    42.32	60035352	  0.99	电气设备	山东	2.20	15.27	18591	20714	  0.90	907	254	--  	          6.08	
300214	日科化学	-0.11	8.95	-0.01	8.94	8.95	39759	574	0.00	          1.35	8.96	8.98	8.82	8.96	    40.86	35359068	  0.80	化工原料	山东	1.79	8.89	23069	16690	  1.38	374	113	--  	          2.95	
300224	正海磁材	3.30	19.08	0.61	19.06	19.08	45538	285	-0.10	          0.94	18.50	19.12	18.40	18.47	    64.51	86059328	  1.47	元器件	山东	3.90	18.90	20194	25344	  0.80	234	232	--  	          4.85	
300233	金城医药	0.33	24.34	0.08	24.34	24.35	8611	90	0.00	          0.38	24.33	24.38	24.15	24.26	    46.88	20905328	  0.76	化学制药	山东	0.95	24.28	3981	4629	  0.86	247	46	--  	          2.29	
300237	美晨科技	4.49	16.99	0.73	16.99	17.00	89220	979	0.23	          2.57	16.29	17.15	16.11	16.26	    42.40	149748480	  2.62	建筑施工	山东	6.40	16.78	33844	55375	  0.61	35	752	--  	          3.47	
300243	瑞丰高材	1.17	16.37	0.19	16.36	16.37	21160	482	-0.06	          1.60	16.17	16.43	16.00	16.18	   111.47	34318680	  0.67	化工原料	山东	2.66	16.22	10739	10420	  1.03	61	205	--  	          1.33	
300285	国瓷材料	1.20	39.76	0.47	39.76	39.77	15058	238	-0.05	          0.73	38.90	39.88	38.53	39.29	    96.07	59109484	  1.12	陶瓷	山东	3.44	39.25	6185	8872	  0.70	25	197	--  	          2.06	
300308	中际装备	4.05	35.68	1.39	35.68	35.70	110338	1708	0.33	          5.14	35.98	36.90	34.86	34.29	  1393.01	396531680	  3.26	工程机械	山东	5.95	35.94	52946	57391	  0.92	1108	6	--  	          2.15	
300321	同大股份	-0.09	34.02	-0.03	34.02	34.05	12586	53	-0.11	          1.54	34.00	34.10	33.58	34.05	    97.87	42618956	  0.90	塑料	山东	1.53	33.86	6514	6072	  1.07	371	54	--  	          0.82	
300343	联创互联	-1.31	19.57	-0.26	19.56	19.57	107433	696	0.10	          4.59	19.83	19.89	19.35	19.83	    53.82	209437488	  1.68	互联网	山东	2.72	19.49	62227	45205	  1.38	382	147	--  	          2.34	
600076	康欣新材	3.51	10.63	0.36	10.63	10.64	510656	259	0.37	          6.79	10.37	10.70	10.27	10.27	    28.75	535801408	  1.16	其他建材	山东	4.19	10.49	224910	285745	  0.79	57	1606	--  	          7.52	
600180	瑞茂通	3.76	14.06	0.51	14.06	14.07	84196	1	0.14	          0.96	13.55	14.08	13.41	13.55	    36.49	116706736	  2.54	仓储物流	山东	4.94	13.86	32609	51587	  0.63	46	56	--  	          8.82	
600223	鲁商置业	0.53	5.72	0.03	5.72	5.73	76025	198	0.00	          0.76	5.69	5.73	5.64	5.69	    54.98	43220892	  1.09	区域地产	山东	1.58	5.69	49739	26286	  1.89	1644	1039	--  	         10.01	
600308	华泰股份	1.36	5.95	0.08	5.94	5.95	154983	10	-0.16	          1.33	5.87	5.98	5.74	5.87	    43.71	90993152	  1.03	造纸	山东	4.09	5.87	47902	107080	  0.45	382	260	--  	         11.68	
