代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000587	金洲慈航	1.49	15.66	0.23	15.65	15.66	62193	1019	0.12	          1.08	15.44	15.66	15.39	15.43	    17.82	96844752	  0.89	批发业	黑龙江	1.75	15.57	25925	36267	  0.71	111	481	--  	          5.76	
000975	银泰资源	3.01	15.76	0.46	15.75	15.76	93937	1008	0.12	          1.07	15.31	15.86	15.20	15.30	    77.61	147133408	  1.18	铅锌	内蒙	4.31	15.66	39922	54014	  0.74	407	2094	--  	          8.79	
002102	冠福股份	0.00	5.09	0.00	5.09	5.10	142386	1270	0.00	          1.18	5.08	5.10	5.00	5.09	    82.43	72015072	  0.91	化学制药	福建	1.96	5.06	68461	73924	  0.93	2056	4491	--  	         12.08	
002155	湖南黄金	3.80	12.02	0.44	12.02	12.03	367312	7741	0.00	          3.69	11.61	12.02	11.61	11.58	   101.72	436459840	  2.19	黄金	湖南	3.54	11.88	147471	219841	  0.67	1915	1491	--  	          9.96	
002237	恒邦股份	1.70	11.37	0.19	11.37	11.38	123742	1521	0.08	          1.52	11.15	11.40	11.12	11.18	    39.85	140165104	  1.52	黄金	山东	2.50	11.33	54294	69448	  0.78	402	1259	--  	          8.16	
002345	潮宏基	0.62	11.35	0.07	11.34	11.35	105538	1306	0.00	          1.27	11.27	11.39	11.11	11.28	    36.96	118746480	  1.54	服饰	广东	2.48	11.25	65474	40063	  1.63	128	403	--  	          8.33	
002574	明牌珠宝	0.73	10.99	0.08	10.99	11.00	45218	552	0.00	          0.86	10.91	11.03	10.77	10.91	    84.64	49503988	  0.98	服饰	浙江	2.38	10.95	17252	27966	  0.62	30	429	--  	          5.28	
002716	金贵银业	4.27	21.49	0.88	21.49	21.50	256426	3670	0.00	          8.27	20.70	21.60	20.68	20.61	    61.19	545577792	  2.75	小金属	湖南	4.46	21.28	108841	147585	  0.74	3109	1959	--  	          3.10	
002721	金一文化	0.86	16.40	0.14	16.40	16.41	20120	229	0.00	          0.78	16.36	16.44	16.01	16.26	    97.69	32841168	  0.86	服饰	北京	2.64	16.32	8812	11307	  0.78	204	274	--  	          2.56	
002731	萃华珠宝	1.52	29.31	0.44	29.30	29.31	15617	113	-0.06	          2.92	28.86	29.49	28.81	28.87	   131.35	45732780	  1.76	服饰	辽宁	2.36	29.28	5842	9775	  0.60	19	31	--  	          0.53	
600086	东方金钰	6.15	10.87	0.63	10.86	10.87	385242	16	0.00	          3.65	10.29	10.99	10.24	10.24	    49.88	409989152	  6.34	服饰	湖北	7.32	10.64	145526	239716	  0.61	299	75	--  	         10.57	
600311	荣华实业	1.00	7.05	0.07	7.05	7.06	79600	22	0.00	          1.20	6.96	7.05	6.90	6.98	--  	55808848	  1.02	黄金	甘肃	2.15	7.01	32699	46901	  0.70	129	1431	--  	          6.66	
600385	山东金泰	-1.23	20.95	-0.26	20.92	20.96	16420	29	0.33	          1.15	20.97	21.14	20.52	21.21	  1324.87	34224740	  1.29	黄金	山东	2.92	20.84	9324	7096	  1.31	13	200	--  	          1.43	
600489	中金黄金	1.68	12.11	0.20	12.10	12.11	413823	14	0.16	          1.20	11.93	12.13	11.91	11.91	    76.73	499015648	  1.80	黄金	北京	1.85	12.06	180813	233010	  0.78	1391	470	--  	         34.51	
600531	豫光金铅	1.93	8.46	0.16	8.45	8.46	99590	25	0.11	          1.12	8.30	8.47	8.28	8.30	   114.12	83859192	  1.05	铅锌	河南	2.29	8.42	37962	61627	  0.62	756	1419	--  	          8.86	
600547	山东黄金	2.79	36.16	0.98	36.15	36.16	302746	34	-0.02	          2.13	35.18	36.21	35.18	35.18	    68.72	1086981376	  2.24	黄金	山东	2.93	35.90	140893	161853	  0.87	239	31	--  	         14.23	
600612	老凤祥	1.25	40.37	0.50	40.37	40.50	13147	1	-0.44	          0.41	39.99	40.66	39.62	39.87	    19.72	52959064	  1.77	服饰	上海	2.61	40.28	4005	9142	  0.44	10	4	--  	          3.17	
600655	豫园商城	0.00	11.42	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.42	    29.09	0	  0.00	百货	上海	0.00	11.42	0	0	--  	0	0	--  	         14.37	
600687	刚泰控股	0.00	14.08	0.00	14.08	14.09	101190	55	0.28	          0.94	14.08	14.09	13.75	14.08	    47.25	141080000	  0.90	黄金	甘肃	2.41	13.94	51352	49837	  1.03	661	166	--  	         10.79	
600711	盛屯矿业	2.06	7.42	0.15	7.41	7.42	283986	212	0.00	          1.95	7.27	7.43	7.20	7.27	    58.91	209205472	  0.93	小金属	福建	3.16	7.37	123442	160544	  0.77	3080	198	--  	         14.57	
600766	园城黄金	0.38	15.85	0.06	15.85	15.86	18327	2	0.18	          0.82	15.72	15.92	15.65	15.79	   733.97	28984222	  0.93	黄金	山东	1.71	15.82	8359	9967	  0.84	27	167	--  	          2.24	
600807	天业股份	0.00	13.73	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	13.73	   104.59	0	  0.00	区域地产	山东	0.00	13.73	0	0	--  	0	0	--  	          6.44	
600824	益民集团	0.71	7.06	0.05	7.05	7.06	53335	12	0.14	          0.51	7.00	7.06	6.94	7.01	    40.85	37341408	  0.89	百货	上海	1.71	7.00	25025	28309	  0.88	458	741	--  	         10.54	
600891	秋林集团	1.96	9.35	0.18	9.34	9.35	76588	4	0.10	          1.99	9.13	9.37	9.13	9.17	    21.81	71134208	  1.54	百货	黑龙江	2.62	9.29	29790	46798	  0.64	567	268	--  	          3.84	
600988	赤峰黄金	1.96	15.08	0.29	15.08	15.09	154811	25	0.06	          2.54	14.79	15.10	14.78	14.79	    52.92	232436880	  1.67	黄金	内蒙	2.16	15.01	66813	87998	  0.76	18	1913	--  	          6.10	
601069	西部黄金	2.30	21.32	0.48	21.32	21.33	93167	46	0.00	          4.91	20.88	21.41	20.78	20.84	    94.32	197811280	  1.82	黄金	新疆	3.02	21.23	42259	50907	  0.83	63	39	--  	          1.90	
