代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000676	智度股份	--  	18.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.22	    87.87	0	  0.00	互联网	河南	0.00	18.22	0	
000681	视觉中国	-0.10	20.19	-0.02	20.17	20.17	0	0	--  	          0.00	--  	--  	--  	20.19	    86.18	0	  0.02	互联网	江苏	0.00	20.19	0	
000971	高升控股	0.00	21.29	0.00	21.29	21.29	0	0	--  	          0.00	--  	--  	--  	21.29	    98.03	0	  0.09	互联网	湖北	0.00	21.29	0	
002095	生 意 宝	0.47	42.60	0.20	42.80	42.80	0	0	--  	          0.00	--  	--  	--  	42.60	   503.03	0	  0.23	互联网	浙江	0.00	42.60	0	
002113	天润数娱	--  	18.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.81	   317.13	0	  0.00	互联网	湖南	0.00	18.81	0	
002123	梦网荣信	0.27	15.01	0.04	15.05	15.05	0	0	--  	          0.00	--  	--  	--  	15.01	    57.54	0	  0.02	互联网	辽宁	0.00	15.01	0	
002127	南极电商	-0.54	11.06	-0.06	11.00	11.00	0	0	--  	          0.00	--  	--  	--  	11.06	    85.44	0	  0.22	互联网	江苏	0.00	11.06	0	
002131	利欧股份	0.07	14.81	0.01	14.82	14.82	0	0	--  	          0.00	--  	--  	--  	14.81	    40.97	0	  0.04	互联网	浙江	0.00	14.81	0	
002148	北纬通信	-0.14	21.78	-0.03	21.75	21.75	0	0	--  	          0.00	--  	--  	--  	21.78	    89.78	0	  0.03	互联网	北京	0.00	21.78	0	
002174	游族网络	-0.03	29.99	-0.01	29.98	29.98	0	0	--  	          0.00	--  	--  	--  	29.99	    53.69	0	  0.10	互联网	福建	0.00	29.99	0	
002261	拓维信息	--  	12.13	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.13	    61.83	0	  0.00	互联网	湖南	0.00	12.13	0	
002315	焦点科技	0.18	65.48	0.12	65.60	65.60	0	0	--  	          0.00	--  	--  	--  	65.48	   128.70	0	  0.19	互联网	江苏	0.00	65.48	0	
002354	天神娱乐	-0.47	70.32	-0.33	69.99	69.99	0	0	--  	          0.00	--  	--  	--  	70.32	    45.50	0	  0.46	互联网	辽宁	0.00	70.32	0	
002464	金利科技	--  	69.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	69.00	    95.85	0	  0.00	互联网	江苏	0.00	69.00	0	
002517	恺英网络	0.16	31.82	0.05	31.87	31.87	0	0	--  	          0.00	--  	--  	--  	31.82	    39.65	0	  0.04	互联网	福建	0.00	31.82	0	
002555	三七互娱	0.05	21.02	0.01	21.03	21.03	0	0	--  	          0.00	--  	--  	--  	21.02	    43.70	0	  0.05	互联网	安徽	0.00	21.02	0	
300031	宝通科技	1.38	23.85	0.33	24.18	24.18	0	0	--  	          0.00	--  	--  	--  	23.85	    61.77	0	  0.06	互联网	江苏	0.00	23.85	0	
300051	三五互联	--  	13.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.99	    67.67	0	  0.00	互联网	福建	0.00	13.99	0	
300052	中青宝	1.60	24.96	0.40	25.36	25.36	0	0	--  	          0.00	--  	--  	--  	24.96	   580.61	0	  0.58	互联网	深圳	0.00	24.96	0	
300059	东方财富	0.25	16.00	0.04	16.04	16.04	0	0	--  	          0.00	--  	--  	--  	16.00	    79.76	0	  0.23	互联网	上海	0.00	16.00	0	
300104	乐视网	0.00	31.71	0.00	31.71	31.71	0	0	--  	          0.00	--  	--  	--  	31.71	    95.60	0	  0.11	互联网	北京	0.00	31.71	0	
300113	顺网科技	0.07	28.89	0.02	28.91	28.91	0	0	--  	          0.00	--  	--  	--  	28.89	    37.51	0	  0.14	互联网	浙江	0.00	28.89	0	
300226	上海钢联	-1.01	41.39	-0.42	40.97	40.97	0	0	--  	          0.00	--  	--  	--  	41.39	   309.01	0	  0.16	互联网	上海	0.00	41.39	0	
300242	明家联合	1.88	12.22	0.23	12.45	12.45	0	0	--  	          0.00	--  	--  	--  	12.22	    39.59	0	  2.27	互联网	广东	0.00	12.22	0	
300295	三六五网	0.00	26.63	0.00	26.63	26.63	0	0	--  	          0.00	--  	--  	--  	26.63	    42.61	0	  0.14	互联网	江苏	0.00	26.63	0	
300315	掌趣科技	--  	8.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.84	    32.83	0	  0.00	互联网	北京	0.00	8.84	0	
300343	联创互联	-0.31	19.57	-0.06	19.51	19.51	0	0	--  	          0.00	--  	--  	--  	19.57	    53.82	0	  0.10	互联网	山东	0.00	19.57	0	
300392	腾信股份	--  	15.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.20	--  	0	  0.00	互联网	北京	0.00	15.20	0	
300399	京天利	-0.19	31.16	-0.06	31.10	31.10	0	0	--  	          0.00	--  	--  	--  	31.16	   124.14	0	  0.13	互联网	北京	0.00	31.16	0	
300418	昆仑万维	0.17	23.06	0.04	23.10	23.10	0	0	--  	          0.00	--  	--  	--  	23.06	    39.54	0	  0.02	互联网	北京	0.00	23.06	0	
300431	暴风集团	2.13	41.85	0.89	42.74	42.74	0	0	--  	          0.00	--  	--  	--  	41.85	   448.79	0	  0.37	互联网	北京	0.00	41.85	0	
300467	迅游科技	--  	46.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	46.60	   163.83	0	  0.00	互联网	四川	0.00	46.60	0	
300494	盛天网络	--  	29.97	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	29.97	    77.70	0	  0.00	互联网	湖北	0.00	29.97	0	
300571	平治信息	--  	122.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	122.10	   103.03	0	  0.00	互联网	浙江	0.00	122.10	0	
300609	汇纳科技	--  	65.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	65.04	   134.66	0	  0.00	互联网	上海	0.00	65.04	0	
600634	中技控股	--  	18.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.17	   188.30	0	  0.00	互联网	上海	0.00	18.17	0	
600652	游久游戏	--  	12.18	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.18	   268.61	0	  0.00	互联网	上海	0.00	12.18	0	
600986	科达股份	--  	15.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.75	    33.92	0	  0.00	互联网	山东	0.00	15.75	0	
603000	人民网	--  	16.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.36	   180.60	0	  0.00	互联网	北京	0.00	16.36	0	
603258	电魂网络	--  	60.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	60.29	    54.88	0	  0.00	互联网	浙江	0.00	60.29	0	
603444	吉比特	--  	358.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	358.53	    41.46	0	  0.00	互联网	福建	0.00	358.53	0	
603881	数据港	--  	64.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	64.10	   177.88	0	  0.00	互联网	上海	0.00	64.10	0	
603888	新华网	--  	81.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	81.46	    78.88	0	  0.00	互联网	北京	0.00	81.46	0	
数据来源:通达信
