代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000022	深赤湾Ａ	0.05	19.75	0.01	19.76	19.76	0	0	--  	          0.00	--  	--  	--  	19.75	    22.35	0	  0.03	港口	深圳	0.00	19.75	0	
000088	盐 田 港	0.00	7.46	0.00	7.46	7.46	0	0	--  	          0.00	--  	--  	--  	7.46	    40.30	0	  0.07	港口	深圳	0.00	7.46	0	
000089	深圳机场	0.00	8.62	0.00	8.62	8.62	0	0	--  	          0.00	--  	--  	--  	8.62	    32.39	0	  0.21	机场	深圳	0.00	8.62	0	
000429	粤高速Ａ	-0.81	7.42	-0.06	7.36	7.36	0	0	--  	          0.00	--  	--  	--  	7.42	    14.59	0	  1.52	路桥	广东	0.00	7.42	0	
000507	珠海港	0.00	6.93	0.00	6.93	6.93	0	0	--  	          0.00	--  	--  	--  	6.93	    48.85	0	  0.03	港口	广东	0.00	6.93	0	
000548	湖南投资	-1.15	9.59	-0.11	9.48	9.48	0	0	--  	          0.00	--  	--  	--  	9.59	    60.18	0	  0.60	路桥	湖南	0.00	9.59	0	
000582	北部湾港	0.49	16.40	0.08	16.48	16.48	0	0	--  	          0.00	--  	--  	--  	16.40	    30.13	0	  0.64	港口	广西	0.00	16.40	0	
000828	东莞控股	0.00	13.49	0.00	13.49	13.49	0	0	--  	          0.00	--  	--  	--  	13.49	    16.79	0	  0.26	路桥	广东	0.00	13.49	0	
000886	海南高速	0.00	5.45	0.00	5.45	5.45	0	0	--  	          0.00	--  	--  	--  	5.45	    85.71	0	  0.00	路桥	海南	0.00	5.45	0	
000900	现代投资	0.12	8.65	0.01	8.66	8.66	0	0	--  	          0.00	--  	--  	--  	8.65	    12.14	0	  0.03	路桥	湖南	0.00	8.65	0	
000905	厦门港务	0.00	12.16	0.00	12.16	12.16	0	0	--  	          0.00	--  	--  	--  	12.16	    39.29	0	  0.49	港口	福建	0.00	12.16	0	
000916	华北高速	--  	5.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.01	    15.29	0	  0.00	路桥	北京	0.00	5.01	0	
