代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
002120	韵达股份	--  	47.47	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	47.47	   587.96	0	  0.00	仓储物流	浙江	0.00	47.47	0	
002183	怡 亚 通	-1.00	10.99	-0.11	10.88	10.88	0	0	--  	          0.00	--  	--  	--  	10.99	    38.33	0	  1.11	仓储物流	深圳	0.00	10.99	0	
002210	飞马国际	--  	20.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.60	   106.02	0	  0.00	仓储物流	深圳	0.00	20.60	0	
002245	澳洋顺昌	0.00	10.36	0.00	10.36	10.36	0	0	--  	          0.00	--  	--  	--  	10.36	    49.18	0	  0.04	仓储物流	江苏	0.00	10.36	0	
002352	顺丰控股	0.00	60.89	0.00	60.89	60.89	0	0	--  	          0.00	--  	--  	--  	60.89	    60.94	0	  0.17	仓储物流	安徽	0.00	60.89	0	
002468	申通快递	0.00	27.16	0.00	27.16	27.16	0	0	--  	          0.00	--  	--  	--  	27.16	  5983.50	0	  0.05	仓储物流	浙江	0.00	27.16	0	
002492	恒基达鑫	--  	12.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.66	   102.39	0	  0.00	仓储物流	广东	0.00	12.66	0	
002711	欧浦智网	-1.11	17.18	-0.19	16.99	16.99	0	0	--  	          0.00	--  	--  	--  	17.18	    53.25	0	  0.21	仓储物流	广东	0.00	17.18	0	
002769	普路通	0.09	21.33	0.02	21.35	21.35	0	0	--  	          0.00	--  	--  	--  	21.33	    38.49	0	  0.04	仓储物流	深圳	0.00	21.33	0	
002800	天顺股份	0.40	61.75	0.25	62.00	62.00	0	0	--  	          0.00	--  	--  	--  	61.75	   139.36	0	  0.18	仓储物流	新疆	0.00	61.75	0	
300013	新宁物流	0.37	13.54	0.05	13.59	13.59	0	0	--  	          0.00	--  	--  	--  	13.54	   123.74	0	  0.14	仓储物流	江苏	0.00	13.54	0	
300240	飞力达	0.00	11.11	0.00	11.11	11.11	0	0	--  	          0.00	--  	--  	--  	11.11	    49.22	0	  0.01	仓储物流	江苏	0.00	11.11	0	
300350	华鹏飞	1.47	23.16	0.34	23.50	23.50	0	0	--  	          0.00	--  	--  	--  	23.16	    74.24	0	  1.43	仓储物流	深圳	0.00	23.16	0	
600057	象屿股份	--  	11.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.25	    26.33	0	  0.00	仓储物流	福建	0.00	11.25	0	
600119	长江投资	-0.46	19.69	-0.09	19.60	19.60	0	0	--  	          0.00	--  	--  	--  	19.69	    36.20	0	  0.09	仓储物流	上海	0.00	19.69	0	
600179	安通控股	9.63	17.13	1.65	18.78	18.78	0	0	--  	          0.00	--  	--  	--  	17.13	    52.78	0	  7.67	仓储物流	黑龙江	0.00	17.13	0	
600180	瑞茂通	-0.07	14.06	-0.01	14.05	14.05	0	0	--  	          0.00	--  	--  	--  	14.06	    36.49	0	  0.98	仓储物流	山东	0.00	14.06	0	
600233	圆通速递	0.04	24.54	0.01	24.55	24.55	0	0	--  	          0.00	--  	--  	--  	24.54	    53.21	0	  0.06	仓储物流	辽宁	0.00	24.54	0	
600270	外运发展	0.23	17.26	0.04	17.30	17.30	0	0	--  	          0.00	--  	--  	--  	17.26	    16.40	0	  0.01	仓储物流	北京	0.00	17.26	0	
600787	中储股份	2.17	9.20	0.20	9.40	9.40	0	0	--  	          0.00	--  	--  	--  	9.20	    35.26	0	  4.02	仓储物流	天津	0.00	9.20	0	
600794	保税科技	0.00	5.64	0.00	5.64	5.64	0	0	--  	          0.00	--  	--  	--  	5.64	   277.20	0	  0.31	仓储物流	江苏	0.00	5.64	0	
603117	万林股份	--  	16.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.30	    80.24	0	  0.00	仓储物流	江苏	0.00	16.30	0	
603128	华贸物流	-0.11	9.47	-0.01	9.46	9.46	0	0	--  	          0.00	--  	--  	--  	9.47	    33.04	0	  0.02	仓储物流	上海	0.00	9.47	0	
603569	长久物流	-0.05	38.24	-0.02	38.22	38.22	0	0	--  	          0.00	--  	--  	--  	38.24	    50.24	0	  0.05	仓储物流	北京	0.00	38.24	0	
数据来源:通达信
