代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000156	华数传媒	--  	17.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.72	    41.55	0	  0.00	影视音像	浙江	0.00	17.72	0	
000504	*ST生物	--  	16.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.81	--  	0	  0.00	出版业	湖南	0.00	16.81	0	
000665	湖北广电	--  	14.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.45	    29.01	0	  0.00	影视音像	湖北	0.00	14.45	0	
000673	当代东方	--  	13.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.53	    59.33	0	  0.00	影视音像	山西	0.00	13.53	0	
000719	大地传媒	--  	12.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.75	    21.38	0	  0.00	出版业	河南	0.00	12.75	0	
000793	华闻传媒	--  	10.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.85	    23.62	0	  0.00	出版业	海南	0.00	10.85	0	
000835	长城动漫	--  	11.39	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.39	--  	0	  0.00	影视音像	四川	0.00	11.39	0	
000892	欢瑞世纪	--  	12.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.70	--  	0	  0.00	影视音像	重庆	0.00	12.70	0	
000917	电广传媒	--  	14.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.36	    71.28	0	  0.00	影视音像	湖南	0.00	14.36	0	
002071	长城影视	--  	12.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.93	    46.14	0	  0.00	影视音像	江苏	0.00	12.93	0	
002143	印纪传媒	--  	38.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	38.20	    80.02	0	  0.00	影视音像	四川	0.00	38.20	0	
002181	粤 传 媒	--  	7.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.20	--  	0	  0.00	出版业	广东	0.00	7.20	0	
002238	天威视讯	--  	14.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.81	    29.64	0	  0.00	影视音像	深圳	0.00	14.81	0	
002292	奥飞娱乐	--  	22.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.10	    49.51	0	  0.00	影视音像	广东	0.00	22.10	0	
002343	慈文传媒	--  	41.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	41.12	    66.45	0	  0.00	影视音像	浙江	0.00	41.12	0	
002445	中南文化	--  	16.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.12	    73.94	0	  0.00	影视音像	江苏	0.00	16.12	0	
002502	骅威文化	--  	11.67	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.67	    47.90	0	  0.00	影视音像	广东	0.00	11.67	0	
002624	完美世界	--  	31.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.50	    43.29	0	  0.00	影视音像	浙江	0.00	31.50	0	
002739	万达院线	--  	57.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	57.63	    44.28	0	  0.00	影视音像	北京	0.00	57.63	0	
300027	华谊兄弟	--  	10.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.63	    35.69	0	  0.00	影视音像	浙江	0.00	10.63	0	
300133	华策影视	--  	11.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.76	    54.99	0	  0.00	影视音像	浙江	0.00	11.76	0	
300148	天舟文化	--  	20.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.29	    86.12	0	  0.00	出版业	湖南	0.00	20.29	0	
