代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000407	胜利股份	--  	10.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.08	   341.19	0	  0.00	供气供热	山东	0.00	10.08	0	
000421	南京公用	--  	9.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.01	    30.00	0	  0.00	供气供热	江苏	0.00	9.01	0	
000593	大通燃气	-0.09	10.74	-0.01	10.73	10.73	0	0	--  	          0.00	--  	--  	--  	10.74	   629.13	0	  0.18	供气供热	四川	0.00	10.74	0	
000669	金鸿能源	--  	17.42	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.42	    36.42	0	  0.00	供气供热	吉林	0.00	17.42	0	
000692	惠天热电	0.00	6.54	0.00	6.54	6.54	0	0	--  	          0.00	--  	--  	--  	6.54	--  	0	  0.19	供气供热	辽宁	0.00	6.54	0	
000695	滨海能源	0.13	15.61	0.02	15.63	15.63	0	0	--  	          0.00	--  	--  	--  	15.61	--  	0	  0.02	供气供热	天津	0.00	15.61	0	
002267	陕天然气	0.00	9.61	0.00	9.61	9.61	0	0	--  	          0.00	--  	--  	--  	9.61	    19.38	0	  0.17	供气供热	陕西	0.00	9.61	0	
002524	光正集团	-0.09	11.43	-0.01	11.42	11.42	0	0	--  	          0.00	--  	--  	--  	11.43	--  	0	  0.03	供气供热	新疆	0.00	11.43	0	
002700	新疆浩源	--  	13.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.14	    75.48	0	  0.00	供气供热	新疆	0.00	13.14	0	
300335	迪森股份	--  	18.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.01	    54.92	0	  0.00	供气供热	广东	0.00	18.01	0	
600167	联美控股	--  	22.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.82	    22.21	0	  0.00	供气供热	辽宁	0.00	22.82	0	
600333	长春燃气	0.12	8.44	0.01	8.45	8.45	0	0	--  	          0.00	--  	--  	--  	8.44	   118.26	0	  0.01	供气供热	吉林	0.00	8.44	0	
600617	国新能源	--  	10.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.88	    23.89	0	  0.00	供气供热	山西	0.00	10.88	0	
600635	大众公用	0.00	6.53	0.00	6.53	6.53	0	0	--  	          0.00	--  	--  	--  	6.53	    33.11	0	  0.04	供气供热	上海	0.00	6.53	0	
600681	百川能源	--  	16.37	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.37	    41.57	0	  0.00	供气供热	湖北	0.00	16.37	0	
600719	大连热电	0.00	8.50	0.00	8.50	8.50	0	0	--  	          0.00	--  	--  	--  	8.50	--  	0	  0.04	供气供热	辽宁	0.00	8.50	0	
600856	中天能源	-0.95	11.55	-0.11	11.44	11.44	0	0	--  	          0.00	--  	--  	--  	11.55	    29.72	0	  0.08	供气供热	吉林	0.00	11.55	0	
600917	重庆燃气	-0.78	12.85	-0.10	12.75	12.75	0	0	--  	          0.00	--  	--  	--  	12.85	    52.94	0	  0.10	供气供热	重庆	0.00	12.85	0	
600982	宁波热电	0.18	5.70	0.01	5.71	5.71	0	0	--  	          0.00	--  	--  	--  	5.70	    61.71	0	  0.05	供气供热	浙江	0.00	5.70	0	
601139	深圳燃气	0.33	9.09	0.03	9.12	9.12	0	0	--  	          0.00	--  	--  	--  	9.09	    20.15	0	  0.12	供气供热	深圳	0.00	9.09	0	
603393	新天然气	0.02	51.78	0.01	51.79	51.79	0	0	--  	          0.00	--  	--  	--  	51.78	    51.95	0	  0.02	供气供热	新疆	0.00	51.78	0	
603689	皖天然气	1.05	22.75	0.24	22.99	22.99	0	0	--  	          0.00	--  	--  	--  	22.75	    82.24	0	  0.03	供气供热	安徽	0.00	22.75	0	
数据来源:通达信
