代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000020	深华发Ａ	-0.61	21.28	-0.13	21.15	21.15	0	0	--  	          0.00	--  	--  	--  	21.28	  1002.23	0	  0.07	元器件	深圳	0.00	21.28	0	
000032	深桑达Ａ	--  	15.71	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.71	    87.17	0	  0.00	元器件	深圳	0.00	15.71	0	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	
000058	深 赛 格	0.00	10.61	0.00	10.61	10.61	0	0	--  	          0.00	--  	--  	--  	10.61	   232.57	0	  0.16	元器件	深圳	0.00	10.61	0	
000068	华控赛格	-0.37	8.13	-0.03	8.10	8.10	0	0	--  	          0.00	--  	--  	--  	8.13	--  	0	  0.15	元器件	深圳	0.00	8.13	0	
000413	东旭光电	--  	10.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.21	    47.18	0	  0.00	元器件	河北	0.00	10.21	0	
000532	力合股份	0.00	18.29	0.00	18.29	18.29	0	0	--  	          0.00	--  	--  	--  	18.29	   158.27	0	  0.03	元器件	广东	0.00	18.29	0	
000536	华映科技	0.00	12.07	0.00	12.07	12.07	0	0	--  	          0.00	--  	--  	--  	12.07	    38.25	0	  0.05	元器件	福建	0.00	12.07	0	
000636	风华高科	0.75	10.72	0.08	10.80	10.80	0	0	--  	          0.00	--  	--  	--  	10.72	    65.01	0	  0.23	元器件	广东	0.00	10.72	0	
000670	*ST盈方	5.05	7.72	0.39	8.11	8.11	0	0	--  	          0.00	--  	--  	--  	7.72	   283.15	0	  5.67	元器件	湖北	0.00	7.72	0	
000725	京东方Ａ	0.00	3.20	0.00	3.20	3.20	0	0	--  	          0.00	--  	--  	--  	3.20	   599.76	0	  0.40	元器件	北京	0.00	3.20	0	
000727	华东科技	0.00	3.26	0.00	3.26	3.26	0	0	--  	          0.00	--  	--  	--  	3.26	--  	0	  0.26	元器件	江苏	0.00	3.26	0	
000733	振华科技	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    40.60	0	  0.00	元器件	贵州	0.00	18.82	0	
000810	创维数字	0.07	14.13	0.01	14.14	14.14	0	0	--  	          0.00	--  	--  	--  	14.13	    31.60	0	  0.19	元器件	四川	0.00	14.13	0	
000823	超声电子	0.07	14.42	0.01	14.43	14.43	0	0	--  	          0.00	--  	--  	--  	14.42	    51.73	0	  0.21	元器件	广东	0.00	14.42	0	
000970	中科三环	0.21	14.31	0.03	14.34	14.34	0	0	--  	          0.00	--  	--  	--  	14.31	    49.39	0	  0.07	元器件	北京	0.00	14.31	0	
002025	航天电器	--  	25.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.20	    40.64	0	  0.00	元器件	贵州	0.00	25.20	0	
002036	联创电子	-0.40	20.03	-0.08	19.95	19.95	0	0	--  	          0.00	--  	--  	--  	20.03	    65.80	0	  0.06	元器件	浙江	0.00	20.03	0	
002045	国光电器	-0.29	13.84	-0.04	13.80	13.80	0	0	--  	          0.00	--  	--  	--  	13.84	   133.01	0	  0.06	元器件	广东	0.00	13.84	0	
002049	紫光国芯	--  	30.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.88	    50.85	0	  0.00	元器件	河北	0.00	30.88	0	
