代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000048	康达尔	--  	32.71	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	32.71	   318.39	0	  0.00	饲料	深圳	0.00	32.71	0	
000061	农 产 品	--  	11.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.60	    69.00	0	  0.00	农业综合	深圳	0.00	11.60	0	
000592	平潭发展	--  	6.41	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.41	   435.91	0	  0.00	林业	福建	0.00	6.41	0	
000663	永安林业	--  	15.31	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.31	   443.74	0	  0.00	林业	福建	0.00	15.31	0	
000702	正虹科技	--  	14.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.25	--  	0	  0.00	饲料	湖南	0.00	14.25	0	
000713	丰乐种业	--  	10.91	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.91	--  	0	  0.00	种植业	安徽	0.00	10.91	0	
000735	罗 牛 山	--  	7.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.11	    76.65	0	  0.00	农业综合	海南	0.00	7.11	0	
000798	中水渔业	--  	11.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.85	--  	0	  0.00	渔业	北京	0.00	11.85	0	
000876	新 希 望	--  	8.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.08	    12.09	0	  0.00	饲料	四川	0.00	8.08	0	
000930	中粮生化	--  	13.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.36	    91.20	0	  0.00	农业综合	安徽	0.00	13.36	0	
000998	隆平高科	--  	19.47	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.47	   183.15	0	  0.00	种植业	湖南	0.00	19.47	0	
002041	登海种业	--  	16.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.95	    47.04	0	  0.00	种植业	山东	0.00	16.95	0	
002069	*ST獐岛	--  	11.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.48	   192.34	0	  0.00	渔业	辽宁	0.00	11.48	0	
002086	东方海洋	--  	10.62	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.62	    95.32	0	  0.00	渔业	山东	0.00	10.62	0	
002100	天康生物	--  	9.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.21	    20.87	0	  0.00	饲料	新疆	0.00	9.21	0	
002124	天邦股份	--  	11.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.72	    16.39	0	  0.00	饲料	浙江	0.00	11.72	0	
002157	正邦科技	--  	6.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.28	    11.91	0	  0.00	饲料	江西	0.00	6.28	0	
002173	*ST创疗	--  	19.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.83	   100.57	0	  0.00	农业综合	浙江	0.00	19.83	0	
002234	民和股份	--  	20.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.08	    18.20	0	  0.00	农业综合	山东	0.00	20.08	0	
002299	圣农发展	--  	18.59	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.59	    30.79	0	  0.00	农业综合	福建	0.00	18.59	0	
002311	海大集团	--  	15.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.99	    21.01	0	  0.00	饲料	广东	0.00	15.99	0	
002321	华英农业	--  	10.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.64	    46.32	0	  0.00	农业综合	河南	0.00	10.64	0	
002385	大北农	--  	6.55	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.55	    33.85	0	  0.00	饲料	北京	0.00	6.55	0	
002447	壹桥股份	--  	9.37	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.37	    50.91	0	  0.00	渔业	辽宁	0.00	9.37	0	
002458	益生股份	--  	31.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.88	    15.80	0	  0.00	农业综合	山东	0.00	31.88	0	
002477	雏鹰农牧	--  	4.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.85	    16.14	0	  0.00	农业综合	河南	0.00	4.85	0	
002505	大康农业	--  	3.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	3.50	   603.43	0	  0.00	农业综合	湖南	0.00	3.50	0	
002548	金新农	--  	14.54	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.54	    33.55	0	  0.00	饲料	深圳	0.00	14.54	0	
002567	唐人神	--  	12.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.79	    35.08	0	  0.00	饲料	湖南	0.00	12.79	0	
002679	福建金森	--  	35.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	35.48	--  	0	  0.00	林业	福建	0.00	35.48	0	
