代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000422	湖北宜化	--  	7.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.05	   258.41	0	  0.00	农药化肥	湖北	0.00	7.05	0	
000510	金路集团	--  	11.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.36	   287.37	0	  0.00	化工原料	四川	0.00	11.36	0	
000525	红 太 阳	--  	19.32	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.32	   216.50	0	  0.00	农药化肥	江苏	0.00	19.32	0	
000545	金浦钛业	--  	6.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.93	    56.61	0	  0.00	化工原料	吉林	0.00	6.93	0	
000553	沙隆达Ａ	--  	14.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.95	   324.85	0	  0.00	农药化肥	湖北	0.00	14.95	0	
000565	渝三峡Ａ	--  	12.62	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.62	    24.48	0	  0.00	染料涂料	重庆	0.00	12.62	0	
000635	英 力 特	--  	26.71	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.71	   147.14	0	  0.00	化工原料	宁夏	0.00	26.71	0	
000683	远兴能源	--  	3.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	3.05	   176.98	0	  0.00	化工原料	内蒙	0.00	3.05	0	
000698	沈阳化工	--  	8.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.25	    20.06	0	  0.00	化工原料	辽宁	0.00	8.25	0	
000707	双环科技	--  	8.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.73	--  	0	  0.00	化工原料	湖北	0.00	8.73	0	
000731	四川美丰	--  	9.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.85	--  	0	  0.00	农药化肥	四川	0.00	9.85	0	
000755	山西三维	--  	8.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.21	--  	0	  0.00	化工原料	山西	0.00	8.21	0	
000792	盐湖股份	--  	18.62	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.62	    99.67	0	  0.00	农药化肥	青海	0.00	18.62	0	
000818	方大化工	--  	13.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.52	   168.83	0	  0.00	化工原料	辽宁	0.00	13.52	0	
000822	山东海化	--  	7.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.08	    71.34	0	  0.00	化工原料	山东	0.00	7.08	0	
000830	鲁西化工	--  	6.13	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.13	    37.52	0	  0.00	农药化肥	山东	0.00	6.13	0	
000859	国风塑业	--  	7.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.00	   281.96	0	  0.00	塑料	安徽	0.00	7.00	0	
000887	中鼎股份	--  	24.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.65	    28.57	0	  0.00	橡胶	安徽	0.00	24.65	0	
000902	新洋丰	--  	9.57	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.57	    17.58	0	  0.00	农药化肥	湖北	0.00	9.57	0	
000912	泸天化	--  	13.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.22	--  	0	  0.00	农药化肥	四川	0.00	13.22	0	
000950	*ST建峰	--  	9.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.10	--  	0	  0.00	农药化肥	重庆	0.00	9.10	0	
000953	*ST河化	--  	12.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.01	--  	0	  0.00	农药化肥	广西	0.00	12.01	0	
000973	佛塑科技	--  	9.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.07	   124.55	0	  0.00	塑料	广东	0.00	9.07	0	
000985	大庆华科	--  	33.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	33.64	   156.70	0	  0.00	化工原料	黑龙江	0.00	33.64	0	
000990	诚志股份	--  	16.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.03	   181.31	0	  0.00	化工原料	江西	0.00	16.03	0	
002002	鸿达兴业	--  	8.13	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.13	    28.29	0	  0.00	化工原料	江苏	0.00	8.13	0	
002010	传化智联	--  	17.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.83	    76.13	0	  0.00	染料涂料	浙江	0.00	17.83	0	
002014	永新股份	--  	16.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.36	    27.10	0	  0.00	塑料	安徽	0.00	16.36	0	
002018	华信国际	--  	9.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.00	    72.64	0	  0.00	农药化肥	安徽	0.00	9.00	0	
002037	久联发展	--  	16.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.96	   210.00	0	  0.00	化工原料	贵州	0.00	16.96	0	
002054	德美化工	--  	11.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.69	    28.07	0	  0.00	化工原料	广东	0.00	11.69	0	
002061	江山化工	--  	8.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.96	    75.10	0	  0.00	化工原料	浙江	0.00	8.96	0	
002068	黑猫股份	--  	9.16	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.16	--  	0	  0.00	化工原料	江西	0.00	9.16	0	
002092	中泰化学	--  	12.91	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.91	    29.16	0	  0.00	化工原料	新疆	0.00	12.91	0	
002096	南岭民爆	--  	14.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.35	    93.60	0	  0.00	化工原料	湖南	0.00	14.35	0	
002108	沧州明珠	--  	23.33	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.33	    28.99	0	  0.00	塑料	河北	0.00	23.33	0	
002109	*ST兴化	--  	8.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.99	   224.72	0	  0.00	化工原料	陕西	0.00	8.99	0	
002125	湘潭电化	--  	12.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.52	   237.71	0	  0.00	化工原料	湖南	0.00	12.52	0	
002136	安 纳 达	--  	19.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.72	    99.74	0	  0.00	化工原料	安徽	0.00	19.72	0	
002145	中核钛白	--  	6.55	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.55	   168.60	0	  0.00	化工原料	甘肃	0.00	6.55	0	
002165	红 宝 丽	--  	7.87	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.87	    47.70	0	  0.00	化工原料	江苏	0.00	7.87	0	
002170	芭田股份	--  	9.31	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.31	    47.11	0	  0.00	农药化肥	深圳	0.00	9.31	0	
002211	宏达新材	--  	12.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.23	--  	0	  0.00	橡胶	江苏	0.00	12.23	0	
002215	诺 普 信	--  	11.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.04	--  	0	  0.00	农药化肥	深圳	0.00	11.04	0	
002224	三 力 士	--  	15.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.45	    49.29	0	  0.00	橡胶	浙江	0.00	15.45	0	
002226	江南化工	--  	9.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.30	   100.48	0	  0.00	化工原料	安徽	0.00	9.30	0	
002243	通产丽星	--  	13.57	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.57	   212.96	0	  0.00	塑料	深圳	0.00	13.57	0	
002246	北化股份	--  	14.86	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.86	    67.03	0	  0.00	化工原料	四川	0.00	14.86	0	
002250	联化科技	--  	15.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.65	    44.38	0	  0.00	化工原料	浙江	0.00	15.65	0	
002256	兆新股份	--  	6.37	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.37	    99.00	0	  0.00	染料涂料	深圳	0.00	6.37	0	
