代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000150	宜华健康	--  	28.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.46	     9.89	0	  0.00	医疗保健	广东	0.00	28.46	0	
000502	绿景控股	--  	17.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.69	--  	0	  0.00	医疗保健	广东	0.00	17.69	0	
000503	海虹控股	--  	41.78	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	41.78	--  	0	  0.00	医疗保健	海南	0.00	41.78	0	
002022	科华生物	--  	20.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.75	    39.07	0	  0.00	医疗保健	上海	0.00	20.75	0	
002044	美年健康	--  	12.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.85	   244.68	0	  0.00	医疗保健	江苏	0.00	12.85	0	
002162	悦心健康	--  	6.61	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.61	  2006.90	0	  0.00	医疗保健	上海	0.00	6.61	0	
002223	鱼跃医疗	--  	31.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.45	    36.49	0	  0.00	医疗保健	江苏	0.00	31.45	0	
002382	蓝帆医疗	--  	12.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.46	    34.02	0	  0.00	医疗保健	山东	0.00	12.46	0	
002432	九安医疗	--  	15.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.23	--  	0	  0.00	医疗保健	天津	0.00	15.23	0	
002551	尚荣医疗	--  	18.44	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.44	    47.15	0	  0.00	医疗保健	深圳	0.00	18.44	0	
002614	蒙发利	--  	15.58	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.58	    43.70	0	  0.00	医疗保健	福建	0.00	15.58	0	
300003	乐普医疗	--  	17.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.25	    42.41	0	  0.00	医疗保健	北京	0.00	17.25	0	
300015	爱尔眼科	--  	30.37	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.37	    48.97	0	  0.00	医疗保健	湖南	0.00	30.37	0	
300030	阳普医疗	--  	13.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.51	   145.43	0	  0.00	医疗保健	广东	0.00	13.51	0	
300061	康耐特	--  	23.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.11	   210.52	0	  0.00	医疗保健	上海	0.00	23.11	0	
300171	东富龙	--  	14.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.14	    36.25	0	  0.00	医疗保健	上海	0.00	14.14	0	
300206	理邦仪器	--  	9.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.10	   359.31	0	  0.00	医疗保健	深圳	0.00	9.10	0	
300216	千山药机	--  	31.33	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.33	   450.45	0	  0.00	医疗保健	湖南	0.00	31.33	0	
300238	冠昊生物	--  	31.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.76	   129.11	0	  0.00	医疗保健	广东	0.00	31.76	0	
300244	迪安诊断	--  	31.86	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.86	    69.99	0	  0.00	医疗保健	浙江	0.00	31.86	0	
