代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000004	国农科技	1.65	39.35	0.65	40.00	40.00	0	0	--  	          0.00	--  	--  	--  	39.35	   168.61	0	  0.38	生物制药	深圳	0.00	39.35	0	
000078	海王生物	0.16	6.44	0.01	6.45	6.45	0	0	--  	          0.00	--  	--  	--  	6.44	    56.16	0	  0.03	生物制药	深圳	0.00	6.44	0	
000153	丰原药业	--  	12.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.52	    68.06	0	  0.00	化学制药	安徽	0.00	12.52	0	
000403	ST生化	0.24	32.90	0.08	32.98	32.98	0	0	--  	          0.00	--  	--  	--  	32.90	   114.90	0	  0.04	生物制药	山西	0.00	32.90	0	
000423	东阿阿胶	0.77	59.55	0.46	60.01	60.01	0	0	--  	          0.00	--  	--  	--  	59.55	    21.02	0	  0.07	中成药	山东	0.00	59.55	0	
000513	丽珠集团	--  	54.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	54.73	    28.42	0	  0.00	中成药	广东	0.00	54.73	0	
000518	四环生物	0.00	8.10	0.00	8.10	8.10	0	0	--  	          0.00	--  	--  	--  	8.10	   603.27	0	  0.01	生物制药	江苏	0.00	8.10	0	
000538	云南白药	0.00	77.23	0.00	77.23	77.23	0	0	--  	          0.00	--  	--  	--  	77.23	    25.56	0	  0.36	中成药	云南	0.00	77.23	0	
000566	海南海药	1.47	14.24	0.21	14.45	14.45	0	0	--  	          0.00	--  	--  	--  	14.24	    84.37	0	  0.66	化学制药	海南	0.00	14.24	0	
000590	启迪古汉	-0.41	19.68	-0.08	19.60	19.60	0	0	--  	          0.00	--  	--  	--  	19.68	   267.17	0	  0.06	中成药	湖南	0.00	19.68	0	
000597	东北制药	--  	10.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.94	   640.76	0	  0.00	化学制药	辽宁	0.00	10.94	0	
000606	神州易桥	8.54	12.64	1.08	13.72	13.72	0	0	--  	          0.00	--  	--  	--  	12.64	   211.26	0	  2.67	化学制药	青海	0.00	12.64	0	
000623	吉林敖东	0.00	29.38	0.00	29.38	29.38	0	0	--  	          0.00	--  	--  	--  	29.38	    15.38	0	  0.00	中成药	吉林	0.00	29.38	0	
