代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
002079	苏州固锝	0.00	9.40	0.00	9.40	9.40	0	0	--  	          0.00	--  	--  	--  	9.40	    64.31	0	  0.04	半导体	江苏	0.00	9.40	0	
002119	康强电子	0.19	21.33	0.04	21.37	21.37	0	0	--  	          0.00	--  	--  	--  	21.33	   103.19	0	  0.08	半导体	浙江	0.00	21.33	0	
002129	中环股份	--  	8.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.27	    46.77	0	  0.00	半导体	天津	0.00	8.27	0	
002156	通富微电	0.09	11.00	0.01	11.01	11.01	0	0	--  	          0.00	--  	--  	--  	11.00	    64.63	0	  0.08	半导体	江苏	0.00	11.00	0	
002185	华天科技	0.08	12.69	0.01	12.70	12.70	0	0	--  	          0.00	--  	--  	--  	12.69	    34.80	0	  0.03	半导体	甘肃	0.00	12.69	0	
002218	拓日新能	0.32	9.37	0.03	9.40	9.40	0	0	--  	          0.00	--  	--  	--  	9.37	    51.48	0	  0.11	半导体	深圳	0.00	9.37	0	
002371	北方华创	0.00	31.44	0.00	31.44	31.44	0	0	--  	          0.00	--  	--  	--  	31.44	   172.04	0	  0.11	半导体	北京	0.00	31.44	0	
002449	国星光电	0.07	14.36	0.01	14.37	14.37	0	0	--  	          0.00	--  	--  	--  	14.36	    39.14	0	  0.02	半导体	广东	0.00	14.36	0	
002506	协鑫集成	--  	5.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.04	    91.16	0	  0.00	半导体	上海	0.00	5.04	0	
002638	勤上股份	--  	9.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.04	   209.77	0	  0.00	半导体	广东	0.00	9.04	0	
002654	万润科技	-0.09	11.53	-0.01	11.52	11.52	0	0	--  	          0.00	--  	--  	--  	11.53	    61.00	0	  0.11	半导体	深圳	0.00	11.53	0	
002724	海洋王	--  	25.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.84	   388.13	0	  0.00	半导体	深圳	0.00	25.84	0	
002745	木林森	--  	36.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	36.49	    46.04	0	  0.00	半导体	广东	0.00	36.49	0	
002815	崇达技术	0.42	44.80	0.19	44.99	44.99	0	0	--  	          0.00	--  	--  	--  	44.80	    48.88	0	  0.10	半导体	深圳	0.00	44.80	0	
300046	台基股份	--  	23.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.98	    88.40	0	  0.00	半导体	湖北	0.00	23.98	0	
300053	欧比特	0.00	13.72	0.00	13.72	13.72	0	0	--  	          0.00	--  	--  	--  	13.72	   176.29	0	  0.32	半导体	广东	0.00	13.72	0	
300077	国民技术	0.00	16.08	0.00	16.08	16.08	0	0	--  	          0.00	--  	--  	--  	16.08	   144.57	0	  0.02	半导体	深圳	0.00	16.08	0	
300080	易成新能	-0.84	9.49	-0.08	9.41	9.41	0	0	--  	          0.00	--  	--  	--  	9.49	  1030.29	0	  0.39	半导体	河南	0.00	9.49	0	
300102	乾照光电	0.85	8.21	0.07	8.28	8.28	0	0	--  	          0.00	--  	--  	--  	8.21	   119.56	0	  0.25	半导体	福建	0.00	8.21	0	
300111	向日葵	0.19	5.14	0.01	5.15	5.15	0	0	--  	          0.00	--  	--  	--  	5.14	   187.83	0	  1.39	半导体	浙江	0.00	5.14	0	
300118	东方日升	--  	16.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.01	    15.62	0	  0.00	半导体	浙江	0.00	16.01	0	
300223	北京君正	--  	48.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	48.40	   741.58	0	  0.00	半导体	北京	0.00	48.40	0	
300232	洲明科技	2.52	14.28	0.36	14.64	14.64	0	0	--  	          0.00	--  	--  	--  	14.28	    52.37	0	  1.41	半导体	深圳	0.00	14.28	0	
300241	瑞丰光电	--  	14.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.90	    64.45	0	  0.00	半导体	深圳	0.00	14.90	0	
300269	联建光电	0.00	23.60	0.00	23.60	23.60	0	0	--  	          0.00	--  	--  	--  	23.60	    41.98	0	  0.29	半导体	深圳	0.00	23.60	0	
300296	利亚德	0.00	36.21	0.00	36.21	36.21	0	0	--  	          0.00	--  	--  	--  	36.21	    72.80	0	  0.34	半导体	北京	0.00	36.21	0	
300301	长方集团	--  	7.62	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.62	    84.88	0	  0.00	半导体	深圳	0.00	7.62	0	
300303	聚飞光电	-0.11	9.24	-0.01	9.23	9.23	0	0	--  	          0.00	--  	--  	--  	9.24	    44.02	0	  0.08	半导体	深圳	0.00	9.24	0	
300317	珈伟股份	0.00	38.66	0.00	38.66	38.66	0	0	--  	          0.00	--  	--  	--  	38.66	    66.22	0	  0.15	半导体	深圳	0.00	38.66	0	
300323	华灿光电	0.50	11.92	0.06	11.98	11.98	0	0	--  	          0.00	--  	--  	--  	11.92	    37.28	0	  0.09	半导体	湖北	0.00	11.92	0	
300327	中颖电子	--  	40.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	40.88	    86.88	0	  0.00	半导体	上海	0.00	40.88	0	
300373	扬杰科技	--  	20.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.90	    50.50	0	  0.00	半导体	江苏	0.00	20.90	0	
300389	艾比森	--  	21.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.25	    52.70	0	  0.00	半导体	深圳	0.00	21.25	0	
300582	英飞特	--  	41.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	41.76	    89.41	0	  0.00	半导体	浙江	0.00	41.76	0	
300613	富瀚微	--  	294.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	294.50	   117.03	0	  0.00	半导体	上海	0.00	294.50	0	
300623	N捷捷	--  	27.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.63	    22.21	0	--  	半导体	江苏	0.00	27.63	0	
300625	三雄极光	--  	0.00	--  	--  	--  	0	0	--  	--  	--  	--  	--  	--  	--  	0	--  	半导体	广东	--  	0.00	0	
