代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000026	飞亚达Ａ	--  	14.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.46	    57.33	0	  0.00	其他商业	深圳	0.00	14.46	0	
000028	国药一致	--  	70.33	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	70.33	    31.24	0	  0.00	医药商业	深圳	0.00	70.33	0	
000411	英特集团	--  	23.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.28	    60.72	0	  0.00	医药商业	浙江	0.00	23.28	0	
000417	合肥百货	--  	9.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.51	    24.11	0	  0.00	百货	安徽	0.00	9.51	0	
000419	通程控股	--  	8.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.64	    42.39	0	  0.00	百货	湖南	0.00	8.64	0	
000501	鄂武商Ａ	--  	24.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.20	    15.22	0	  0.00	百货	湖北	0.00	24.20	0	
000516	国际医学	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	    60.08	0	  0.00	百货	陕西	0.00	7.90	0	
000560	昆百大Ａ	--  	10.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.40	   148.21	0	  0.00	百货	云南	0.00	10.40	0	
000564	供销大集	--  	8.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.63	  1565.19	0	  0.00	百货	陕西	0.00	8.63	0	
000587	金洲慈航	--  	15.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.66	    17.82	0	  0.00	批发业	黑龙江	0.00	15.66	0	
000638	万方发展	--  	14.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.35	   397.63	0	  0.00	批发业	辽宁	0.00	14.35	0	
000652	泰达股份	--  	6.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.01	    93.25	0	  0.00	批发业	天津	0.00	6.01	0	
000679	大连友谊	--  	13.16	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.16	--  	0	  0.00	百货	辽宁	0.00	13.16	0	
000705	浙江震元	--  	12.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.90	   117.08	0	  0.00	医药商业	浙江	0.00	12.90	0	
000715	中兴商业	--  	14.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.70	    98.45	0	  0.00	百货	辽宁	0.00	14.70	0	
000759	中百集团	--  	9.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.45	--  	0	  0.00	超市连锁	湖北	0.00	9.45	0	
000785	武汉中商	--  	13.71	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.71	   139.30	0	  0.00	百货	湖北	0.00	13.71	0	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	
000882	华联股份	--  	4.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.27	    57.10	0	  0.00	百货	北京	0.00	4.27	0	
000906	浙商中拓	--  	16.43	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.43	    50.41	0	  0.00	批发业	湖南	0.00	16.43	0	
002024	苏宁云商	--  	11.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.03	--  	0	  0.00	电器连锁	江苏	0.00	11.03	0	
002187	广百股份	--  	14.54	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.54	    32.01	0	  0.00	百货	广东	0.00	14.54	0	
002251	步 步 高	--  	14.59	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.59	    54.33	0	  0.00	超市连锁	湖南	0.00	14.59	0	
002264	新 华 都	--  	10.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.45	    25.32	0	  0.00	超市连锁	福建	0.00	10.45	0	
002277	友阿股份	--  	16.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.30	    38.59	0	  0.00	百货	湖南	0.00	16.30	0	
002336	*ST人乐	--  	13.09	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.09	   564.40	0	  0.00	超市连锁	深圳	0.00	13.09	0	
002344	海宁皮城	--  	10.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.63	    20.93	0	  0.00	商品城	浙江	0.00	10.63	0	
002416	爱施德	--  	13.74	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.74	    75.59	0	  0.00	电器连锁	深圳	0.00	13.74	0	
002419	天虹商场	--  	16.59	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.59	    25.33	0	  0.00	百货	深圳	0.00	16.59	0	
002441	众业达	--  	12.91	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.91	    45.67	0	  0.00	批发业	广东	0.00	12.91	0	
002462	嘉事堂	--  	37.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	37.03	    40.89	0	  0.00	医药商业	北京	0.00	37.03	0	
002556	辉隆股份	--  	9.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.75	    51.64	0	  0.00	其他商业	安徽	0.00	9.75	0	
002561	徐家汇	--  	16.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.69	    30.28	0	  0.00	百货	上海	0.00	16.69	0	
002589	瑞康医药	--  	36.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	36.07	    47.53	0	  0.00	医药商业	山东	0.00	36.07	0	
002697	红旗连锁	--  	7.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.92	    59.90	0	  0.00	超市连锁	四川	0.00	7.92	0	
