代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000415	渤海金控	-2.34	7.27	-0.17	7.10	7.10	0	0	--  	          0.00	--  	--  	--  	7.27	    23.42	0	  3.19	多元金融	新疆	0.00	7.27	0	
000416	民生控股	0.43	11.50	0.05	11.55	11.55	0	0	--  	          0.00	--  	--  	--  	11.50	   466.50	0	  0.18	多元金融	山东	0.00	11.50	0	
000563	陕国投Ａ	0.00	6.63	0.00	6.63	6.63	0	0	--  	          0.00	--  	--  	--  	6.63	    39.77	0	  0.07	多元金融	陕西	0.00	6.63	0	
000617	中油资本	0.46	19.73	0.09	19.82	19.82	0	0	--  	          0.00	--  	--  	--  	19.73	--  	0	  0.01	多元金融	山东	0.00	19.73	0	
000712	锦龙股份	0.00	22.51	0.00	22.51	22.51	0	0	--  	          0.00	--  	--  	--  	22.51	    55.49	0	  0.08	多元金融	广东	0.00	22.51	0	
000987	越秀金控	--  	13.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.81	    60.23	0	  0.00	多元金融	广东	0.00	13.81	0	
002670	国盛金控	--  	30.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.95	    58.16	0	  0.00	多元金融	广东	0.00	30.95	0	
600318	新力金融	-1.54	31.82	-0.49	31.33	31.33	0	0	--  	          0.00	--  	--  	--  	31.82	    47.34	0	  0.84	多元金融	安徽	0.00	31.82	0	
600599	熊猫金控	-0.85	29.45	-0.25	29.20	29.20	0	0	--  	          0.00	--  	--  	--  	29.45	--  	0	  0.17	多元金融	湖南	0.00	29.45	0	
600643	爱建集团	0.00	13.97	0.00	13.97	13.97	0	0	--  	          0.00	--  	--  	--  	13.97	    32.57	0	  0.06	多元金融	上海	0.00	13.97	0	
600695	绿庭投资	--  	9.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.70	  1337.13	0	  0.00	多元金融	上海	0.00	9.70	0	
600705	中航资本	-0.15	6.51	-0.01	6.50	6.50	0	0	--  	          0.00	--  	--  	--  	6.51	    25.14	0	  0.06	多元金融	黑龙江	0.00	6.51	0	
600747	大连控股	--  	5.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.20	--  	0	  0.00	多元金融	辽宁	0.00	5.20	0	
600816	安信信托	0.08	11.84	0.01	11.85	11.85	0	0	--  	          0.00	--  	--  	--  	11.84	    17.79	0	  0.06	多元金融	上海	0.00	11.84	0	
600817	*ST宏盛	-0.48	18.69	-0.09	18.60	18.60	0	0	--  	          0.00	--  	--  	--  	18.69	--  	0	  0.09	多元金融	陕西	0.00	18.69	0	
600830	香溢融通	0.08	12.02	0.01	12.03	12.03	0	0	--  	          0.00	--  	--  	--  	12.02	    50.55	0	  0.38	多元金融	浙江	0.00	12.02	0	
数据来源:通达信
