代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000910	大亚圣象	0.00	22.58	0.00	22.58	22.58	0	0	--  	          0.00	--  	--  	--  	22.58	    31.87	0	  0.02	家居用品	江苏	0.00	22.58	0	
002084	海鸥卫浴	0.09	10.79	0.01	10.80	10.80	0	0	--  	          0.00	--  	--  	--  	10.79	    58.98	0	  0.04	家居用品	广东	0.00	10.79	0	
002240	威华股份	-0.78	12.78	-0.10	12.68	12.68	0	0	--  	          0.00	--  	--  	--  	12.78	   267.93	0	  0.26	家居用品	广东	0.00	12.78	0	
002259	升达林业	0.66	9.11	0.06	9.17	9.17	0	0	--  	          0.00	--  	--  	--  	9.11	   537.30	0	  0.02	家居用品	四川	0.00	9.11	0	
002489	浙江永强	0.00	7.41	0.00	7.41	7.41	0	0	--  	          0.00	--  	--  	--  	7.41	    73.71	0	  0.92	家居用品	浙江	0.00	7.41	0	
002572	索菲亚	-0.05	64.39	-0.03	64.36	64.36	0	0	--  	          0.00	--  	--  	--  	64.39	    54.63	0	  0.01	家居用品	广东	0.00	64.39	0	
002615	哈尔斯	-0.23	17.59	-0.04	17.55	17.55	0	0	--  	          0.00	--  	--  	--  	17.59	    42.57	0	  0.02	家居用品	浙江	0.00	17.59	0	
002631	德尔未来	0.00	18.71	0.00	18.71	18.71	0	0	--  	          0.00	--  	--  	--  	18.71	    64.34	0	  0.04	家居用品	江苏	0.00	18.71	0	
002718	友邦吊顶	--  	69.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	69.99	    54.50	0	  0.00	家居用品	浙江	0.00	69.99	0	
002751	易尚展示	0.00	43.06	0.00	43.06	43.06	0	0	--  	          0.00	--  	--  	--  	43.06	   400.17	0	  0.06	家居用品	深圳	0.00	43.06	0	
002757	南兴装备	--  	39.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	39.75	    72.05	0	  0.00	家居用品	广东	0.00	39.75	0	
002790	瑞尔特	0.05	43.62	0.02	43.64	43.64	0	0	--  	          0.00	--  	--  	--  	43.62	    42.95	0	  0.10	家居用品	福建	0.00	43.62	0	
002798	帝王洁具	-0.72	58.42	-0.42	58.00	58.00	0	0	--  	          0.00	--  	--  	--  	58.42	   147.41	0	  0.91	家居用品	四川	0.00	58.42	0	
002853	皮阿诺	--  	49.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.15	    34.89	0	--  	家居用品	广东	0.00	49.15	0	
300616	尚品宅配	10.00	114.59	11.46	126.05	126.05	0	0	--  	          0.00	--  	--  	--  	114.59	    48.44	0	--  	家居用品	广东	0.00	114.59	0	
600337	美克家居	4.35	14.72	0.64	15.36	15.36	0	0	--  	          0.00	--  	--  	--  	14.72	    32.62	0	  1.49	家居用品	新疆	0.00	14.72	0	
600978	宜华生活	--  	11.56	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.56	    21.07	0	  0.00	家居用品	广东	0.00	11.56	0	
603008	喜临门	0.71	21.19	0.15	21.34	21.34	0	0	--  	          0.00	--  	--  	--  	21.19	    42.99	0	  0.02	家居用品	浙江	0.00	21.19	0	
603208	江山欧派	0.05	65.74	0.03	65.77	65.77	0	0	--  	          0.00	--  	--  	--  	65.74	    47.37	0	  0.20	家居用品	浙江	0.00	65.74	0	
603313	梦百合	0.40	37.43	0.15	37.58	37.58	0	0	--  	          0.00	--  	--  	--  	37.43	    47.48	0	  0.10	家居用品	江苏	0.00	37.43	0	
603389	亚振家居	-0.85	30.66	-0.26	30.40	30.40	0	0	--  	          0.00	--  	--  	--  	30.66	   120.51	0	  0.08	家居用品	江苏	0.00	30.66	0	
603600	永艺股份	10.00	51.68	5.17	56.85	56.85	0	0	--  	          0.00	--  	--  	--  	51.68	    42.99	0	  1.96	家居用品	浙江	0.00	51.68	0	
603816	顾家家居	0.00	53.98	0.00	53.98	53.98	0	0	--  	          0.00	--  	--  	--  	53.98	    39.80	0	  0.02	家居用品	浙江	0.00	53.98	0	
603818	曲美家居	0.00	17.62	0.00	17.62	17.62	0	0	--  	          0.00	--  	--  	--  	17.62	    48.02	0	  0.08	家居用品	北京	0.00	17.62	0	
603898	好莱客	-0.46	36.57	-0.17	36.40	36.40	0	0	--  	          0.00	--  	--  	--  	36.57	    53.51	0	  0.02	家居用品	广东	0.00	36.57	0	
603385	惠达卫浴	--  	0.00	--  	--  	--  	0	0	--  	--  	--  	--  	--  	--  	--  	0	--  	家居用品	河北	--  	0.00	0	
603833	欧派家居	--  	0.00	--  	--  	--  	0	0	--  	--  	--  	--  	--  	--  	--  	0	--  	家居用品	广东	--  	0.00	0	
数据来源:通达信
