代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000016	深康佳Ａ	--  	4.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.49	--  	0	  0.00	家用电器	深圳	0.00	4.49	0	
000100	TCL 集团	--  	3.58	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	3.58	    21.32	0	  0.00	家用电器	广东	0.00	3.58	0	
000333	美的集团	--  	33.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	33.90	    12.75	0	  0.00	家用电器	广东	0.00	33.90	0	
000418	小天鹅Ａ	--  	38.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	38.81	    20.89	0	  0.00	家用电器	江苏	0.00	38.81	0	
000521	美菱电器	--  	7.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.30	    34.60	0	  0.00	家用电器	安徽	0.00	7.30	0	
000533	万 家 乐	--  	10.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.22	   330.53	0	  0.00	家用电器	广东	0.00	10.22	0	
000541	佛山照明	--  	10.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.51	    35.80	0	  0.00	家用电器	广东	0.00	10.51	0	
000651	格力电器	--  	28.87	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.87	    11.60	0	  0.00	家用电器	广东	0.00	28.87	0	
000921	海信科龙	--  	13.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.82	    16.36	0	  0.00	家用电器	广东	0.00	13.82	0	
002005	德豪润达	--  	6.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.00	   340.19	0	  0.00	家用电器	广东	0.00	6.00	0	
002032	苏 泊 尔	--  	38.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	38.99	    24.89	0	  0.00	家用电器	浙江	0.00	38.99	0	
002035	华帝股份	--  	32.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	32.75	    44.39	0	  0.00	家用电器	广东	0.00	32.75	0	
002076	雪 莱 特	--  	13.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.85	   103.76	0	  0.00	家用电器	广东	0.00	13.85	0	
002242	九阳股份	--  	18.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.92	    19.94	0	  0.00	家用电器	山东	0.00	18.92	0	
002290	禾盛新材	--  	21.97	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.97	   146.64	0	  0.00	家用电器	江苏	0.00	21.97	0	
002403	爱仕达	--  	14.61	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.61	    38.55	0	  0.00	家用电器	浙江	0.00	14.61	0	
002429	兆驰股份	--  	10.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.75	    41.71	0	  0.00	家用电器	深圳	0.00	10.75	0	
002473	圣莱达	--  	24.68	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.68	--  	0	  0.00	家用电器	浙江	0.00	24.68	0	
002508	老板电器	--  	45.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	45.40	    35.45	0	  0.00	家用电器	浙江	0.00	45.40	0	
