代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000039	中集集团	--  	16.34	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.34	--  	0	  0.00	轻工机械	深圳	0.00	16.34	0	
000404	华意压缩	--  	10.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.65	    24.68	0	  0.00	专用机械	江西	0.00	10.65	0	
000551	创元科技	--  	11.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.08	    56.38	0	  0.00	专用机械	江苏	0.00	11.08	0	
000666	经纬纺机	--  	23.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.80	    29.58	0	  0.00	纺织机械	北京	0.00	23.80	0	
000821	京山轻机	--  	16.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.24	   130.09	0	  0.00	轻工机械	湖北	0.00	16.24	0	
000852	石化机械	--  	12.34	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.34	--  	0	  0.00	化工机械	湖北	0.00	12.34	0	
000925	众合科技	--  	24.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.15	--  	0	  0.00	专用机械	浙江	0.00	24.15	0	
002006	精功科技	--  	9.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.96	    64.50	0	  0.00	专用机械	浙江	0.00	9.96	0	
002021	中捷资源	--  	9.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.26	--  	0	  0.00	纺织机械	浙江	0.00	9.26	0	
002192	融捷股份	--  	25.09	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.09	  4733.18	0	  0.00	专用机械	广东	0.00	25.09	0	
002196	方正电机	--  	22.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.85	    63.34	0	  0.00	纺织机械	浙江	0.00	22.85	0	
002204	大连重工	--  	4.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.75	   120.37	0	  0.00	专用机械	辽宁	0.00	4.75	0	
002209	达 意 隆	--  	18.18	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.18	--  	0	  0.00	轻工机械	广东	0.00	18.18	0	
002255	海陆重工	--  	10.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.06	    91.10	0	  0.00	专用机械	江苏	0.00	10.06	0	
002278	神开股份	--  	17.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.05	--  	0	  0.00	化工机械	上海	0.00	17.05	0	
002282	博深工具	--  	13.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.80	   252.38	0	  0.00	轻工机械	河北	0.00	13.80	0	
002337	赛象科技	--  	7.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.48	--  	0	  0.00	化工机械	天津	0.00	7.48	0	
002353	杰瑞股份	--  	22.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.24	   152.34	0	  0.00	化工机械	山东	0.00	22.24	0	
002366	台海核电	--  	47.74	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	47.74	    43.88	0	  0.00	专用机械	四川	0.00	47.74	0	
002430	杭氧股份	--  	10.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.03	--  	0	  0.00	化工机械	浙江	0.00	10.03	0	
002444	巨星科技	--  	16.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.80	    29.39	0	  0.00	轻工机械	浙江	0.00	16.80	0	
002490	山东墨龙	--  	8.44	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.44	   605.31	0	  0.00	化工机械	山东	0.00	8.44	0	
002509	天广中茂	--  	12.68	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.68	    56.82	0	  0.00	专用机械	福建	0.00	12.68	0	
002529	海源机械	--  	19.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.95	--  	0	  0.00	专用机械	福建	0.00	19.95	0	
002530	丰东股份	--  	34.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	34.52	  1244.45	0	  0.00	专用机械	江苏	0.00	34.52	0	
002532	新界泵业	--  	14.77	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.77	    37.76	0	  0.00	农用机械	浙江	0.00	14.77	0	
002534	杭锅股份	--  	12.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.25	    36.87	0	  0.00	专用机械	浙江	0.00	12.25	0	
002564	天沃科技	--  	11.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.05	--  	0	  0.00	化工机械	江苏	0.00	11.05	0	
002595	豪迈科技	--  	25.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.27	    26.80	0	  0.00	专用机械	山东	0.00	25.27	0	
002611	东方精工	--  	17.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.80	   118.34	0	  0.00	轻工机械	广东	0.00	17.80	0	
002613	北玻股份	--  	7.78	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.78	   213.10	0	  0.00	专用机械	河南	0.00	7.78	0	
002621	三垒股份	--  	27.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.07	   216.96	0	  0.00	专用机械	辽宁	0.00	27.07	0	
002630	华西能源	--  	12.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.17	    38.18	0	  0.00	专用机械	四川	0.00	12.17	0	
002639	雪人股份	--  	11.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.92	   400.73	0	  0.00	专用机械	福建	0.00	11.92	0	
002645	华宏科技	--  	27.97	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.97	    89.71	0	  0.00	专用机械	江苏	0.00	27.97	0	
002651	利君股份	--  	15.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.05	   174.98	0	  0.00	专用机械	四川	0.00	15.05	0	
002686	亿利达	--  	16.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.07	    57.07	0	  0.00	专用机械	浙江	0.00	16.07	0	
002690	美亚光电	--  	19.39	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.39	    45.16	0	  0.00	专用机械	安徽	0.00	19.39	0	
002691	冀凯股份	--  	24.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.10	   398.47	0	  0.00	专用机械	河北	0.00	24.10	0	
002698	博实股份	--  	15.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.88	   116.11	0	  0.00	化工机械	黑龙江	0.00	15.88	0	
