代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000012	南 玻Ａ	--  	11.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.35	    24.71	0	  0.00	玻璃	深圳	0.00	11.35	0	
000023	深天地Ａ	--  	30.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.40	   382.65	0	  0.00	其他建材	深圳	0.00	30.40	0	
000055	方大集团	--  	14.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.80	    76.66	0	  0.00	其他建材	深圳	0.00	14.80	0	
000401	冀东水泥	--  	13.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.84	--  	0	  0.00	水泥	河北	0.00	13.84	0	
000509	华塑控股	--  	7.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.76	--  	0	  0.00	其他建材	四川	0.00	7.76	0	
000546	金圆股份	--  	12.33	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.33	    24.66	0	  0.00	水泥	吉林	0.00	12.33	0	
000619	海螺型材	--  	13.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.01	    38.60	0	  0.00	其他建材	安徽	0.00	13.01	0	
000672	上峰水泥	--  	11.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.21	    83.58	0	  0.00	水泥	甘肃	0.00	11.21	0	
000786	北新建材	--  	11.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.84	    20.30	0	  0.00	其他建材	北京	0.00	11.84	0	
000789	万年青	--  	8.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.98	    24.92	0	  0.00	水泥	江西	0.00	8.98	0	
000877	天山股份	--  	14.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.25	  2173.41	0	  0.00	水泥	新疆	0.00	14.25	0	
000885	同力水泥	--  	26.78	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.78	  4651.63	0	  0.00	水泥	河南	0.00	26.78	0	
000935	四川双马	--  	23.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.06	   208.25	0	  0.00	水泥	四川	0.00	23.06	0	
002043	兔 宝 宝	--  	14.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.06	    49.07	0	  0.00	其他建材	浙江	0.00	14.06	0	
002066	瑞泰科技	--  	17.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.46	   110.39	0	  0.00	其他建材	北京	0.00	17.46	0	
002201	九鼎新材	--  	16.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.99	   433.48	0	  0.00	玻璃	江苏	0.00	16.99	0	
002205	国统股份	--  	30.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.95	--  	0	  0.00	其他建材	新疆	0.00	30.95	0	
002225	濮耐股份	--  	6.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.30	    65.25	0	  0.00	其他建材	河南	0.00	6.30	0	
002233	塔牌集团	--  	10.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.88	    21.43	0	  0.00	水泥	广东	0.00	10.88	0	
002271	东方雨虹	--  	26.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.85	    24.66	0	  0.00	其他建材	北京	0.00	26.85	0	
002302	西部建设	--  	10.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.95	    46.73	0	  0.00	水泥	新疆	0.00	10.95	0	
002372	伟星新材	--  	18.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.95	    21.92	0	  0.00	其他建材	浙江	0.00	18.95	0	
002392	北京利尔	--  	5.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.88	    37.57	0	  0.00	其他建材	北京	0.00	5.88	0	
002398	建研集团	--  	13.62	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.62	    27.53	0	  0.00	其他建材	福建	0.00	13.62	0	
002571	德力股份	--  	13.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.93	--  	0	  0.00	玻璃	安徽	0.00	13.93	0	
002596	海南瑞泽	--  	26.42	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.42	   390.35	0	  0.00	其他建材	海南	0.00	26.42	0	
002619	巨龙管业	--  	16.32	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.32	    79.47	0	  0.00	水泥	浙江	0.00	16.32	0	
002623	亚玛顿	--  	37.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	37.88	    99.94	0	  0.00	玻璃	江苏	0.00	37.88	0	
002652	扬子新材	--  	18.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.11	    70.46	0	  0.00	其他建材	江苏	0.00	18.11	0	
002671	龙泉股份	--  	11.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.84	   150.01	0	  0.00	其他建材	山东	0.00	11.84	0	
002742	三圣股份	--  	24.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.93	    45.67	0	  0.00	其他建材	重庆	0.00	24.93	0	
002785	万里石	--  	26.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.76	   268.89	0	  0.00	其他建材	福建	0.00	26.76	0	
002791	坚朗五金	--  	48.68	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	48.68	    42.42	0	  0.00	其他建材	广东	0.00	48.68	0	
300089	文化长城	--  	16.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.00	    47.66	0	  0.00	陶瓷	广东	0.00	16.00	0	
300093	金刚玻璃	--  	23.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.73	  7284.93	0	  0.00	玻璃	广东	0.00	23.73	0	
300160	秀强股份	--  	12.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.65	    65.50	0	  0.00	玻璃	江苏	0.00	12.65	0	
300163	先锋新材	--  	9.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.72	    75.15	0	  0.00	其他建材	浙江	0.00	9.72	0	
300196	长海股份	--  	35.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	35.80	    29.35	0	  0.00	玻璃	江苏	0.00	35.80	0	
300234	开尔新材	--  	17.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.69	   151.14	0	  0.00	陶瓷	浙江	0.00	17.69	0	
300285	国瓷材料	--  	39.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	39.76	    96.07	0	  0.00	陶瓷	山东	0.00	39.76	0	
300344	太空板业	--  	16.54	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.54	   425.07	0	  0.00	其他建材	北京	0.00	16.54	0	
300374	恒通科技	--  	23.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.52	   287.41	0	  0.00	其他建材	北京	0.00	23.52	0	
300395	菲利华	--  	23.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.98	    47.62	0	  0.00	玻璃	湖北	0.00	23.98	0	
300409	道氏技术	--  	36.91	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	36.91	    78.46	0	  0.00	陶瓷	广东	0.00	36.91	0	
600076	康欣新材	--  	10.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.63	    28.75	0	  0.00	其他建材	山东	0.00	10.63	0	
600145	*ST新亿	--  	1.87	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	1.87	    88.67	0	  0.00	陶瓷	新疆	0.00	1.87	0	
600155	宝硕股份	--  	13.58	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.58	--  	0	  0.00	其他建材	河北	0.00	13.58	0	
600176	中国巨石	--  	10.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.24	    16.36	0	  0.00	玻璃	浙江	0.00	10.24	0	
600293	三峡新材	--  	18.39	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.39	   507.96	0	  0.00	玻璃	湖北	0.00	18.39	0	
600321	国栋建设	--  	5.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.92	--  	0	  0.00	其他建材	四川	0.00	5.92	0	
600425	青松建化	--  	6.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.10	--  	0	  0.00	水泥	新疆	0.00	6.10	0	
600449	宁夏建材	--  	13.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.11	    53.14	0	  0.00	水泥	宁夏	0.00	13.11	0	
600529	山东药玻	--  	19.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.23	    33.70	0	  0.00	玻璃	山东	0.00	19.23	0	
600539	ST狮头	--  	19.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.26	--  	0	  0.00	水泥	山西	0.00	19.26	0	
600552	凯盛科技	--  	15.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.95	    72.64	0	  0.00	玻璃	安徽	0.00	15.95	0	
600585	海螺水泥	--  	20.41	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.41	    13.59	0	  0.00	水泥	安徽	0.00	20.41	0	
600586	金晶科技	--  	4.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.72	   121.33	0	  0.00	玻璃	山东	0.00	4.72	0	
600668	尖峰集团	--  	17.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.66	    26.97	0	  0.00	水泥	浙江	0.00	17.66	0	
