代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000010	美丽生态	0.14	6.98	0.01	6.99	6.99	0	0	--  	          0.00	--  	--  	--  	6.98	   195.56	0	  0.27	建筑施工	深圳	0.00	6.98	0	
000018	神州长城	0.00	9.66	0.00	9.66	9.66	0	0	--  	          0.00	--  	--  	--  	9.66	    40.58	0	  0.07	装修装饰	深圳	0.00	9.66	0	
000065	北方国际	0.03	31.03	0.01	31.04	31.04	0	0	--  	          0.00	--  	--  	--  	31.03	    74.91	0	  0.05	建筑施工	北京	0.00	31.03	0	
000090	天健集团	3.55	9.30	0.33	9.63	9.63	0	0	--  	          0.00	--  	--  	--  	9.30	    37.73	0	  6.18	建筑施工	深圳	0.00	9.30	0	
000498	山东路桥	0.00	8.38	0.00	8.38	8.38	0	0	--  	          0.00	--  	--  	--  	8.38	    28.38	0	  0.31	建筑施工	山东	0.00	8.38	0	
000928	中钢国际	0.00	19.81	0.00	19.81	19.81	0	0	--  	          0.00	--  	--  	--  	19.81	    28.13	0	  0.01	建筑施工	吉林	0.00	19.81	0	
000961	中南建设	-0.20	9.82	-0.02	9.80	9.80	0	0	--  	          0.00	--  	--  	--  	9.82	    55.97	0	  0.07	建筑施工	江苏	0.00	9.82	0	
002047	宝鹰股份	-1.20	9.20	-0.11	9.09	9.09	0	0	--  	          0.00	--  	--  	--  	9.20	    34.06	0	  0.45	装修装饰	深圳	0.00	9.20	0	
002051	中工国际	0.00	25.59	0.00	25.59	25.59	0	0	--  	          0.00	--  	--  	--  	25.59	    25.02	0	  0.02	建筑施工	北京	0.00	25.59	0	
002060	粤 水 电	-0.75	7.96	-0.06	7.90	7.90	0	0	--  	          0.00	--  	--  	--  	7.96	    52.97	0	  1.11	建筑施工	广东	0.00	7.96	0	
002062	宏润建设	0.15	6.59	0.01	6.60	6.60	0	0	--  	          0.00	--  	--  	--  	6.59	    34.25	0	  0.01	建筑施工	浙江	0.00	6.59	0	
002081	金 螳 螂	0.44	11.37	0.05	11.42	11.42	0	0	--  	          0.00	--  	--  	--  	11.37	    16.53	0	  0.25	装修装饰	江苏	0.00	11.37	0	
002116	中国海诚	--  	13.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.73	    53.05	0	  0.00	建筑施工	上海	0.00	13.73	0	
002135	东南网架	-0.78	7.67	-0.06	7.61	7.61	0	0	--  	          0.00	--  	--  	--  	7.67	   133.42	0	  0.39	建筑施工	浙江	0.00	7.67	0	
002140	东华科技	0.21	14.52	0.03	14.55	14.55	0	0	--  	          0.00	--  	--  	--  	14.52	    59.13	0	  0.10	建筑施工	安徽	0.00	14.52	0	
002163	中航三鑫	-0.29	10.33	-0.03	10.30	10.30	0	0	--  	          0.00	--  	--  	--  	10.33	--  	0	  0.04	装修装饰	深圳	0.00	10.33	0	
002178	延华智能	0.27	11.31	0.03	11.34	11.34	0	0	--  	          0.00	--  	--  	--  	11.31	   155.79	0	  0.04	建筑施工	上海	0.00	11.31	0	
002247	帝龙文化	--  	16.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.81	    41.65	0	  0.00	装修装饰	浙江	0.00	16.81	0	
002307	北新路桥	0.00	12.53	0.00	12.53	12.53	0	0	--  	          0.00	--  	--  	--  	12.53	   199.93	0	  0.11	建筑施工	新疆	0.00	12.53	0	
002310	东方园林	-0.33	15.23	-0.05	15.18	15.18	0	0	--  	          0.00	--  	--  	--  	15.23	    59.14	0	  0.81	建筑施工	北京	0.00	15.23	0	
002323	雅百特	0.65	17.01	0.11	17.12	17.12	0	0	--  	          0.00	--  	--  	--  	17.01	    54.79	0	  0.19	建筑施工	江苏	0.00	17.01	0	
002325	洪涛股份	1.21	7.42	0.09	7.51	7.51	0	0	--  	          0.00	--  	--  	--  	7.42	    31.85	0	  2.42	装修装饰	深圳	0.00	7.42	0	
002374	丽鹏股份	9.99	7.61	0.76	8.37	8.37	0	0	--  	          0.00	--  	--  	--  	7.61	    54.73	0	 30.93	建筑施工	山东	0.00	7.61	0	
002375	亚厦股份	-0.36	11.15	-0.04	11.11	11.11	0	0	--  	          0.00	--  	--  	--  	11.15	    41.91	0	  0.33	装修装饰	浙江	0.00	11.15	0	
002431	棕榈股份	0.22	9.08	0.02	9.10	9.10	0	0	--  	          0.00	--  	--  	--  	9.08	   110.45	0	  0.04	建筑施工	广东	0.00	9.08	0	
002469	三维工程	--  	9.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.79	   418.71	0	  0.00	建筑施工	山东	0.00	9.79	0	
002482	广田集团	0.54	9.30	0.05	9.35	9.35	0	0	--  	          0.00	--  	--  	--  	9.30	    36.31	0	  0.03	装修装饰	深圳	0.00	9.30	0	
002504	弘高创意	0.37	8.02	0.03	8.05	8.05	0	0	--  	          0.00	--  	--  	--  	8.02	    27.46	0	  0.09	装修装饰	北京	0.00	8.02	0	
002542	中化岩土	0.74	8.07	0.06	8.13	8.13	0	0	--  	          0.00	--  	--  	--  	8.07	    74.53	0	  0.13	建筑施工	北京	0.00	8.07	0	
002586	围海股份	--  	9.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.40	   261.38	0	  0.00	建筑施工	浙江	0.00	9.40	0	
002620	瑞和股份	0.04	50.05	0.02	50.07	50.07	0	0	--  	          0.00	--  	--  	--  	50.05	    72.26	0	  0.03	装修装饰	深圳	0.00	50.05	0	
002628	成都路桥	--  	8.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.14	   274.44	0	  0.00	建筑施工	四川	0.00	8.14	0	
002659	中泰桥梁	--  	16.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.53	--  	0	  0.00	建筑施工	江苏	0.00	16.53	0	
002663	普邦股份	--  	5.91	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.91	    96.17	0	  0.00	建筑施工	广东	0.00	5.91	0	
002713	东易日盛	--  	28.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.79	    42.28	0	  0.00	装修装饰	北京	0.00	28.79	0	
002717	岭南园林	--  	24.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.96	    44.81	0	  0.00	建筑施工	广东	0.00	24.96	0	
002738	中矿资源	--  	28.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.07	   135.45	0	  0.00	建筑施工	北京	0.00	28.07	0	
002755	东方新星	--  	42.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	42.89	  4138.97	0	  0.00	建筑施工	北京	0.00	42.89	0	
002775	文科园林	--  	22.67	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.67	    40.28	0	  0.00	建筑施工	深圳	0.00	22.67	0	
002781	奇信股份	--  	32.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	32.60	    57.66	0	  0.00	装修装饰	深圳	0.00	32.60	0	
