代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000002	万 科Ａ	0.48	20.71	0.10	20.81	20.81	0	0	--  	          0.00	--  	--  	--  	20.71	    20.75	0	  0.28	全国地产	深圳	0.00	20.71	0	
000005	世纪星源	1.21	6.63	0.08	6.71	6.71	0	0	--  	          0.00	--  	--  	--  	6.63	    39.35	0	  0.85	房产服务	深圳	0.00	6.63	0	
000006	深振业Ａ	-2.97	8.76	-0.26	8.50	8.50	0	0	--  	          0.00	--  	--  	--  	8.76	    77.47	0	  2.21	区域地产	深圳	0.00	8.76	0	
000011	深物业A	0.00	16.91	0.00	16.91	16.91	0	0	--  	          0.00	--  	--  	--  	16.91	--  	0	  0.05	区域地产	深圳	0.00	16.91	0	
000014	沙河股份	--  	18.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.73	--  	0	  0.00	全国地产	深圳	0.00	18.73	0	
000029	深深房Ａ	--  	11.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.17	    35.78	0	  0.00	区域地产	深圳	0.00	11.17	0	
000031	中粮地产	0.48	8.34	0.04	8.38	8.38	0	0	--  	          0.00	--  	--  	--  	8.34	   147.87	0	  0.03	全国地产	深圳	0.00	8.34	0	
000036	华联控股	0.48	8.39	0.04	8.43	8.43	0	0	--  	          0.00	--  	--  	--  	8.39	    15.09	0	  0.05	全国地产	深圳	0.00	8.39	0	
000040	东旭蓝天	-0.64	12.56	-0.08	12.48	12.48	0	0	--  	          0.00	--  	--  	--  	12.56	    95.76	0	  0.12	全国地产	深圳	0.00	12.56	0	
000042	中洲控股	--  	20.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.24	   123.09	0	  0.00	全国地产	深圳	0.00	20.24	0	
000043	中航地产	0.08	12.04	0.01	12.05	12.05	0	0	--  	          0.00	--  	--  	--  	12.04	    49.76	0	  0.04	全国地产	深圳	0.00	12.04	0	
000046	泛海控股	0.32	9.35	0.03	9.38	9.38	0	0	--  	          0.00	--  	--  	--  	9.35	    19.79	0	  0.07	全国地产	北京	0.00	9.35	0	
000056	皇庭国际	0.08	12.85	0.01	12.86	12.86	0	0	--  	          0.00	--  	--  	--  	12.85	   148.09	0	  0.07	房产服务	深圳	0.00	12.85	0	
000402	金 融 街	0.27	11.17	0.03	11.20	11.20	0	0	--  	          0.00	--  	--  	--  	11.17	    31.15	0	  0.03	全国地产	北京	0.00	11.17	0	
000505	*ST珠江	--  	10.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.98	--  	0	  0.00	房产服务	海南	0.00	10.98	0	
000506	中润资源	0.68	10.36	0.07	10.43	10.43	0	0	--  	          0.00	--  	--  	--  	10.36	  1104.70	0	  0.22	区域地产	山东	0.00	10.36	0	
000514	渝 开 发	-0.29	10.37	-0.03	10.34	10.34	0	0	--  	          0.00	--  	--  	--  	10.37	    71.33	0	  0.13	区域地产	重庆	0.00	10.37	0	
000517	荣安地产	0.18	5.49	0.01	5.50	5.50	0	0	--  	          0.00	--  	--  	--  	5.49	   641.40	0	  0.06	区域地产	浙江	0.00	5.49	0	
000534	万泽股份	1.33	15.74	0.21	15.95	15.95	0	0	--  	          0.00	--  	--  	--  	15.74	   101.60	0	  0.07	区域地产	广东	0.00	15.74	0	
000537	广宇发展	0.00	9.35	0.00	9.35	9.35	0	0	--  	          0.00	--  	--  	--  	9.35	    14.34	0	  0.04	区域地产	天津	0.00	9.35	0	
000540	中天城投	0.60	6.70	0.04	6.74	6.74	0	0	--  	          0.00	--  	--  	--  	6.70	    11.50	0	  0.35	区域地产	贵州	0.00	6.70	0	
000567	海德股份	-1.97	33.97	-0.67	33.30	33.30	0	0	--  	          0.00	--  	--  	--  	33.97	  2375.41	0	  1.09	区域地产	海南	0.00	33.97	0	
000573	粤宏远Ａ	0.00	9.44	0.00	9.44	9.44	0	0	--  	          0.00	--  	--  	--  	9.44	   184.98	0	  0.02	区域地产	广东	0.00	9.44	0	
000608	阳光股份	0.25	7.88	0.02	7.90	7.90	0	0	--  	          0.00	--  	--  	--  	7.88	--  	0	  0.37	区域地产	广西	0.00	7.88	0	
000609	绵石投资	0.80	19.89	0.16	20.05	20.05	0	0	--  	          0.00	--  	--  	--  	19.89	    35.49	0	  0.01	区域地产	北京	0.00	19.89	0	
000616	海航投资	-0.59	5.08	-0.03	5.05	5.05	0	0	--  	          0.00	--  	--  	--  	5.08	--  	0	 19.09	全国地产	辽宁	0.00	5.08	0	
000620	新华联	0.35	8.52	0.03	8.55	8.55	0	0	--  	          0.00	--  	--  	--  	8.52	    76.53	0	  0.05	全国地产	北京	0.00	8.52	0	
000628	高新发展	2.30	13.91	0.32	14.23	14.23	0	0	--  	          0.00	--  	--  	--  	13.91	   106.58	0	  3.52	园区开发	四川	0.00	13.91	0	
000631	顺发恒业	-0.61	4.94	-0.03	4.91	4.91	0	0	--  	          0.00	--  	--  	--  	4.94	    32.09	0	  1.62	区域地产	吉林	0.00	4.94	0	
000656	金科股份	0.52	5.82	0.03	5.85	5.85	0	0	--  	          0.00	--  	--  	--  	5.82	    23.13	0	  0.24	区域地产	重庆	0.00	5.82	0	
000667	美好置业	0.00	3.77	0.00	3.77	3.77	0	0	--  	          0.00	--  	--  	--  	3.77	    14.51	0	  0.02	全国地产	云南	0.00	3.77	0	
000668	荣丰控股	--  	23.31	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.31	--  	0	  0.00	区域地产	上海	0.00	23.31	0	
000671	阳 光 城	0.35	5.79	0.02	5.81	5.81	0	0	--  	          0.00	--  	--  	--  	5.79	    48.39	0	  0.12	区域地产	福建	0.00	5.79	0	
000691	ST亚太	--  	9.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.24	 15386.41	0	  0.00	区域地产	甘肃	0.00	9.24	0	
000718	苏宁环球	0.00	7.27	0.00	7.27	7.27	0	0	--  	          0.00	--  	--  	--  	7.27	    20.54	0	  0.27	区域地产	吉林	0.00	7.27	0	
000732	泰禾集团	-0.05	18.56	-0.01	18.55	18.55	0	0	--  	          0.00	--  	--  	--  	18.56	    14.27	0	  0.03	区域地产	福建	0.00	18.56	0	
000736	中房地产	0.00	18.34	0.00	18.34	18.34	0	0	--  	          0.00	--  	--  	--  	18.34	    43.42	0	  0.03	全国地产	重庆	0.00	18.34	0	
000797	中国武夷	--  	18.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.80	   552.51	0	  0.00	全国地产	福建	0.00	18.80	0	
000809	铁岭新城	--  	4.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.98	--  	0	  0.00	区域地产	辽宁	0.00	4.98	0	
000838	财信发展	--  	8.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.30	    82.06	0	  0.00	区域地产	北京	0.00	8.30	0	
000861	海印股份	--  	4.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.72	    61.26	0	  0.00	房产服务	广东	0.00	4.72	0	
000863	三湘印象	--  	8.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.88	    20.49	0	  0.00	区域地产	上海	0.00	8.88	0	
000897	津滨发展	--  	4.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.93	   114.63	0	  0.00	区域地产	天津	0.00	4.93	0	
000918	嘉凯城	--  	8.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.01	--  	0	  0.00	全国地产	浙江	0.00	8.01	0	
000926	福星股份	--  	12.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.63	    13.45	0	  0.00	区域地产	湖北	0.00	12.63	0	
000931	中 关 村	--  	9.68	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.68	   968.82	0	  0.00	区域地产	北京	0.00	9.68	0	
000965	天保基建	--  	7.02	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.02	    45.61	0	  0.00	区域地产	天津	0.00	7.02	0	
000979	中弘股份	--  	2.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.66	    74.11	0	  0.00	区域地产	安徽	0.00	2.66	0	
000981	银亿股份	--  	10.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.14	    43.99	0	  0.00	区域地产	甘肃	0.00	10.14	0	
001979	招商蛇口	--  	18.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.10	    19.12	0	  0.00	全国地产	深圳	0.00	18.10	0	
002016	世荣兆业	--  	9.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.98	    65.18	0	  0.00	区域地产	广东	0.00	9.98	0	
002077	大港股份	--  	15.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.83	   339.20	0	  0.00	区域地产	江苏	0.00	15.83	0	
002133	广宇集团	--  	7.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.52	    27.25	0	  0.00	全国地产	浙江	0.00	7.52	0	
002146	荣盛发展	--  	9.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.19	    13.78	0	  0.00	全国地产	河北	0.00	9.19	0	
002208	合肥城建	--  	17.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.20	    62.02	0	  0.00	区域地产	安徽	0.00	17.20	0	
002244	滨江集团	--  	7.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.64	    17.54	0	  0.00	区域地产	浙江	0.00	7.64	0	
002285	世联行	--  	7.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.96	    32.16	0	  0.00	房产服务	深圳	0.00	7.96	0	
002305	南国置业	--  	5.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.01	   611.77	0	  0.00	区域地产	湖北	0.00	5.01	0	
002314	南山控股	--  	8.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.80	    24.95	0	  0.00	区域地产	深圳	0.00	8.80	0	
002818	富森美	--  	54.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	54.95	    41.97	0	  0.00	房产服务	四川	0.00	54.95	0	
300635	达安股份	--  	0.00	--  	--  	--  	0	0	--  	--  	--  	--  	--  	--  	--  	0	--  	房产服务	广东	--  	0.00	0	
600007	中国国贸	--  	20.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.01	    27.55	0	  0.00	园区开发	北京	0.00	20.01	0	
600048	保利地产	--  	10.09	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.09	    12.62	0	  0.00	全国地产	广东	0.00	10.09	0	
600052	浙江广厦	--  	6.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.64	     9.79	0	  0.00	区域地产	浙江	0.00	6.64	0	
600053	九鼎投资	--  	43.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	43.23	    51.23	0	  0.00	区域地产	江西	0.00	43.23	0	
600064	南京高科	--  	17.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.28	    11.04	0	  0.00	园区开发	江苏	0.00	17.28	0	
600067	冠城大通	--  	7.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.28	    32.81	0	  0.00	全国地产	福建	0.00	7.28	0	
600077	宋都股份	--  	5.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.46	    64.39	0	  0.00	全国地产	浙江	0.00	5.46	0	
600082	海泰发展	--  	8.34	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.34	--  	0	  0.00	园区开发	天津	0.00	8.34	0	
600094	大名城	--  	8.41	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.41	    19.64	0	  0.00	区域地产	上海	0.00	8.41	0	
600095	哈高科	--  	14.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.49	--  	0	  0.00	区域地产	黑龙江	0.00	14.49	0	
600113	浙江东日	--  	20.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.03	    64.19	0	  0.00	区域地产	浙江	0.00	20.03	0	
600133	东湖高新	--  	8.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.35	   118.28	0	  0.00	园区开发	湖北	0.00	8.35	0	
600159	大龙地产	--  	5.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.63	    32.91	0	  0.00	区域地产	北京	0.00	5.63	0	
600162	香江控股	--  	3.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	3.92	    20.97	0	  0.00	全国地产	深圳	0.00	3.92	0	
600173	卧龙地产	--  	11.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.48	   103.10	0	  0.00	全国地产	浙江	0.00	11.48	0	
600185	格力地产	--  	5.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.99	    25.34	0	  0.00	区域地产	广东	0.00	5.99	0	
600208	新湖中宝	--  	5.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.14	    47.74	0	  0.00	全国地产	浙江	0.00	5.14	0	
600215	长春经开	--  	12.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.49	   288.58	0	  0.00	园区开发	吉林	0.00	12.49	0	
600223	鲁商置业	--  	5.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.72	    54.98	0	  0.00	区域地产	山东	0.00	5.72	0	
600225	天津松江	--  	6.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.64	--  	0	  0.00	区域地产	天津	0.00	6.64	0	
600239	云南城投	--  	6.55	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.55	--  	0	  0.00	区域地产	云南	0.00	6.55	0	
600240	华业资本	--  	11.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.36	    14.00	0	  0.00	全国地产	北京	0.00	11.36	0	
600246	万通地产	--  	5.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.84	    42.38	0	  0.00	区域地产	北京	0.00	5.84	0	
600266	北京城建	--  	14.42	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.42	    24.75	0	  0.00	区域地产	北京	0.00	14.42	0	
600322	天房发展	--  	6.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.36	--  	0	  0.00	区域地产	天津	0.00	6.36	0	
600325	华发股份	--  	13.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.72	    31.68	0	  0.00	区域地产	广东	0.00	13.72	0	
600340	华夏幸福	--  	27.33	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.33	    13.16	0	  0.00	区域地产	河北	0.00	27.33	0	
600376	首开股份	--  	12.87	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.87	    20.66	0	  0.00	区域地产	北京	0.00	12.87	0	
600383	金地集团	--  	12.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.23	    24.15	0	  0.00	全国地产	深圳	0.00	12.23	0	
600393	粤泰股份	--  	16.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.24	   141.89	0	  0.00	全国地产	广东	0.00	16.24	0	
600463	空港股份	--  	15.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.69	   167.22	0	  0.00	园区开发	北京	0.00	15.69	0	
600466	蓝光发展	--  	9.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.08	    69.58	0	  0.00	区域地产	四川	0.00	9.08	0	
600503	华丽家族	--  	8.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.17	    78.36	0	  0.00	区域地产	上海	0.00	8.17	0	
600510	黑牡丹	--  	9.32	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.32	    27.62	0	  0.00	全国地产	江苏	0.00	9.32	0	
600533	栖霞建设	--  	5.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.50	    92.85	0	  0.00	区域地产	江苏	0.00	5.50	0	
600565	迪马股份	--  	6.78	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.78	    95.45	0	  0.00	全国地产	重庆	0.00	6.78	0	
600568	中珠医疗	--  	20.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.79	    66.17	0	  0.00	区域地产	湖北	0.00	20.79	0	
600604	市北高新	--  	18.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.73	    80.22	0	  0.00	园区开发	上海	0.00	18.73	0	
600606	绿地控股	--  	8.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.88	    13.69	0	  0.00	全国地产	上海	0.00	8.88	0	
600621	华鑫股份	--  	14.02	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.02	    38.49	0	  0.00	全国地产	上海	0.00	14.02	0	
600622	嘉宝集团	--  	18.18	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.18	    54.00	0	  0.00	区域地产	上海	0.00	18.18	0	
600638	新黄浦	--  	20.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.24	    63.33	0	  0.00	区域地产	上海	0.00	20.24	0	
600639	浦东金桥	--  	18.38	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.38	    32.74	0	  0.00	园区开发	上海	0.00	18.38	0	
600641	万业企业	--  	12.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.46	    13.98	0	  0.00	区域地产	上海	0.00	12.46	0	
600648	外高桥	--  	20.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.19	    27.59	0	  0.00	园区开发	上海	0.00	20.19	0	
600649	城投控股	--  	20.34	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.34	    24.56	0	  0.00	区域地产	上海	0.00	20.34	0	
600657	信达地产	--  	5.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.88	    39.02	0	  0.00	全国地产	北京	0.00	5.88	0	
600658	电子城	--  	13.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.79	    64.41	0	  0.00	园区开发	北京	0.00	13.79	0	
600663	陆家嘴	--  	22.44	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.44	    41.84	0	  0.00	园区开发	上海	0.00	22.44	0	
600665	天地源	--  	5.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.49	    20.60	0	  0.00	全国地产	上海	0.00	5.49	0	
600675	中华企业	--  	7.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.46	    21.25	0	  0.00	区域地产	上海	0.00	7.46	0	
600683	京投发展	--  	9.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.20	    51.99	0	  0.00	区域地产	浙江	0.00	9.20	0	
600684	珠江实业	--  	8.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.30	    17.24	0	  0.00	全国地产	广东	0.00	8.30	0	
600696	匹凸匹	--  	10.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.98	--  	0	  0.00	区域地产	上海	0.00	10.98	0	
600708	光明地产	--  	9.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.17	    43.28	0	  0.00	全国地产	上海	0.00	9.17	0	
600716	凤凰股份	--  	7.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.23	   429.97	0	  0.00	区域地产	江苏	0.00	7.23	0	
600724	宁波富达	--  	5.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.98	    14.73	0	  0.00	区域地产	浙江	0.00	5.98	0	
600733	S前锋	--  	50.18	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	50.18	--  	0	  0.00	区域地产	四川	0.00	50.18	0	
600736	苏州高新	--  	8.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.51	    33.09	0	  0.00	园区开发	江苏	0.00	8.51	0	
