代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000060	中金岭南	--  	11.54	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.54	   116.86	0	  0.00	铅锌	深圳	0.00	11.54	0	
000426	兴业矿业	--  	8.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.93	   129.30	0	  0.00	铅锌	内蒙	0.00	8.93	0	
000603	盛达矿业	--  	16.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.98	    60.71	0	  0.00	铅锌	北京	0.00	16.98	0	
000612	焦作万方	--  	11.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.08	   233.54	0	  0.00	铝	河南	0.00	11.08	0	
000630	铜陵有色	--  	3.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	3.24	   268.79	0	  0.00	铜	安徽	0.00	3.24	0	
000657	中钨高新	--  	15.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.48	   330.82	0	  0.00	小金属	海南	0.00	15.48	0	
000688	建新矿业	--  	9.58	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.58	    53.72	0	  0.00	铅锌	重庆	0.00	9.58	0	
000693	ST华泽	--  	12.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.50	--  	0	  0.00	小金属	四川	0.00	12.50	0	
000697	炼石有色	--  	23.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.51	--  	0	  0.00	小金属	陕西	0.00	23.51	0	
000751	锌业股份	--  	5.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.98	    66.87	0	  0.00	铅锌	辽宁	0.00	5.98	0	
000758	中色股份	--  	8.55	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.55	    61.94	0	  0.00	铅锌	北京	0.00	8.55	0	
000762	西藏矿业	--  	18.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.04	   546.71	0	  0.00	小金属	西藏	0.00	18.04	0	
000807	云铝股份	--  	7.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.63	    82.17	0	  0.00	铝	云南	0.00	7.63	0	
000831	*ST五稀	--  	13.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.10	--  	0	  0.00	小金属	山西	0.00	13.10	0	
000878	云南铜业	--  	15.58	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.58	   371.55	0	  0.00	铜	云南	0.00	15.58	0	
000960	锡业股份	--  	13.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.83	   270.26	0	  0.00	小金属	云南	0.00	13.83	0	
000962	*ST东钽	--  	13.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.26	   201.53	0	  0.00	小金属	宁夏	0.00	13.26	0	
000975	银泰资源	--  	15.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.76	    77.61	0	  0.00	铅锌	内蒙	0.00	15.76	0	
002082	栋梁新材	--  	19.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.49	    61.40	0	  0.00	铝	浙江	0.00	19.49	0	
002114	罗平锌电	--  	21.57	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.57	   199.99	0	  0.00	铅锌	云南	0.00	21.57	0	
002149	西部材料	--  	29.74	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	29.74	   561.74	0	  0.00	小金属	陕西	0.00	29.74	0	
002155	湖南黄金	--  	12.02	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.02	   101.72	0	  0.00	黄金	湖南	0.00	12.02	0	
002160	常铝股份	--  	9.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.21	    70.70	0	  0.00	铝	江苏	0.00	9.21	0	
002167	东方锆业	--  	12.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.63	  1948.17	0	  0.00	小金属	广东	0.00	12.63	0	
