代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000598	兴蓉环境	0.34	5.87	0.02	5.89	5.89	0	0	--  	          0.00	--  	--  	--  	5.87	    17.32	0	  0.53	水务	四川	0.00	5.87	0	
000605	渤海股份	0.00	20.74	0.00	20.74	20.74	0	0	--  	          0.00	--  	--  	--  	20.74	   122.32	0	  0.03	水务	北京	0.00	20.74	0	
000685	中山公用	-0.09	10.99	-0.01	10.98	10.98	0	0	--  	          0.00	--  	--  	--  	10.99	    16.68	0	  0.62	水务	广东	0.00	10.99	0	
600168	武汉控股	0.00	10.56	0.00	10.56	10.56	0	0	--  	          0.00	--  	--  	--  	10.56	    24.92	0	  0.05	水务	湖北	0.00	10.56	0	
600187	国中水务	-0.81	6.15	-0.05	6.10	6.10	0	0	--  	          0.00	--  	--  	--  	6.15	   628.31	0	  0.02	水务	黑龙江	0.00	6.15	0	
600283	钱江水利	--  	12.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.45	--  	0	  0.00	水务	浙江	0.00	12.45	0	
600323	瀚蓝环境	--  	15.37	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.37	    20.42	0	  0.00	水务	广东	0.00	15.37	0	
600461	洪城水业	-0.76	7.85	-0.06	7.79	7.79	0	0	--  	          0.00	--  	--  	--  	7.85	    20.38	0	  0.10	水务	江西	0.00	7.85	0	
601158	重庆水务	--  	8.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.15	    23.33	0	  0.00	水务	重庆	0.00	8.15	0	
601199	江南水务	-0.25	8.08	-0.02	8.06	8.06	0	0	--  	          0.00	--  	--  	--  	8.08	    23.24	0	  0.05	水务	江苏	0.00	8.08	0	
601368	绿城水务	-1.43	11.89	-0.17	11.72	11.72	0	0	--  	          0.00	--  	--  	--  	11.89	    32.15	0	  1.34	水务	广西	0.00	11.89	0	
数据来源:通达信
