代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000025	特 力Ａ	--  	51.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	51.15	   435.03	0	  0.00	汽车服务	深圳	0.00	51.15	0	
000030	富奥股份	--  	8.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.83	    16.50	0	  0.00	汽车配件	吉林	0.00	8.83	0	
000338	潍柴动力	--  	11.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.29	    22.51	0	  0.00	汽车配件	山东	0.00	11.29	0	
000550	江铃汽车	--  	28.18	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.18	    16.68	0	  0.00	汽车整车	江西	0.00	28.18	0	
000559	万向钱潮	--  	12.74	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.74	    35.06	0	  0.00	汽车配件	浙江	0.00	12.74	0	
000572	海马汽车	--  	6.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.14	    36.24	0	  0.00	汽车整车	海南	0.00	6.14	0	
000581	威孚高科	--  	23.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.72	    13.70	0	  0.00	汽车配件	江苏	0.00	23.72	0	
000589	黔轮胎Ａ	--  	6.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.29	   520.63	0	  0.00	汽车配件	贵州	0.00	6.29	0	
000599	青岛双星	--  	8.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.80	    54.91	0	  0.00	汽车配件	山东	0.00	8.80	0	
000622	*ST恒立	--  	8.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.52	--  	0	  0.00	汽车配件	湖南	0.00	8.52	0	
000625	长安汽车	--  	15.62	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.62	     7.27	0	  0.00	汽车整车	重庆	0.00	15.62	0	
000700	模塑科技	--  	8.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.45	    27.35	0	  0.00	汽车配件	江苏	0.00	8.45	0	
000710	*ST天仪	--  	52.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	52.98	--  	0	  0.00	汽车配件	四川	0.00	52.98	0	
000753	漳州发展	--  	5.47	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.47	   251.18	0	  0.00	汽车服务	福建	0.00	5.47	0	
000757	浩物股份	--  	9.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.89	   169.70	0	  0.00	汽车配件	四川	0.00	9.89	0	
000760	斯太尔	--  	10.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.26	--  	0	  0.00	汽车配件	湖北	0.00	10.26	0	
000800	一汽轿车	--  	12.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.40	--  	0	  0.00	汽车整车	吉林	0.00	12.40	0	
000868	安凯客车	--  	7.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.01	   141.82	0	  0.00	汽车整车	安徽	0.00	7.01	0	
