代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000035	中国天楹	-0.13	7.44	-0.01	7.43	7.43	0	0	--  	          0.00	--  	--  	--  	7.44	    51.14	0	  0.04	环境保护	江苏	0.00	7.44	0	
000544	中原环保	0.26	19.52	0.05	19.57	19.57	0	0	--  	          0.00	--  	--  	--  	19.52	    38.23	0	  0.05	环境保护	河南	0.00	19.52	0	
000820	神雾节能	0.00	38.10	0.00	38.10	38.10	0	0	--  	          0.00	--  	--  	--  	38.10	   121.09	0	  0.03	环境保护	辽宁	0.00	38.10	0	
000826	启迪桑德	0.26	34.50	0.09	34.59	34.59	0	0	--  	          0.00	--  	--  	--  	34.50	    30.87	0	  0.04	环境保护	湖北	0.00	34.50	0	
000920	南方汇通	-0.07	15.08	-0.01	15.07	15.07	0	0	--  	          0.00	--  	--  	--  	15.08	    58.96	0	  0.01	环境保护	贵州	0.00	15.08	0	
002200	云投生态	0.04	24.66	0.01	24.67	24.67	0	0	--  	          0.00	--  	--  	--  	24.66	    98.95	0	  0.08	环境保护	云南	0.00	24.66	0	
002322	理工环科	0.19	20.55	0.04	20.59	20.59	0	0	--  	          0.00	--  	--  	--  	20.55	    88.84	0	  0.11	环境保护	浙江	0.00	20.55	0	
002499	科林环保	--  	28.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.27	   276.88	0	  0.00	环境保护	江苏	0.00	28.27	0	
002549	凯美特气	0.00	9.96	0.00	9.96	9.96	0	0	--  	          0.00	--  	--  	--  	9.96	   439.06	0	  0.05	环境保护	湖南	0.00	9.96	0	
002573	清新环境	3.25	20.32	0.66	20.98	20.98	0	0	--  	          0.00	--  	--  	--  	20.32	    32.61	0	  9.10	环境保护	北京	0.00	20.32	0	
002616	长青集团	--  	24.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.65	    66.35	0	  0.00	环境保护	广东	0.00	24.65	0	
002658	雪迪龙	0.06	16.32	0.01	16.33	16.33	0	0	--  	          0.00	--  	--  	--  	16.32	    79.41	0	  0.16	环境保护	北京	0.00	16.32	0	
002672	东江环保	0.00	18.24	0.00	18.24	18.24	0	0	--  	          0.00	--  	--  	--  	18.24	    31.90	0	  0.08	环境保护	广东	0.00	18.24	0	
300055	万邦达	0.41	16.98	0.07	17.05	17.05	0	0	--  	          0.00	--  	--  	--  	16.98	    55.37	0	  0.04	环境保护	北京	0.00	16.98	0	
300056	三维丝	-0.05	19.65	-0.01	19.64	19.64	0	0	--  	          0.00	--  	--  	--  	19.65	    68.23	0	  0.13	环境保护	福建	0.00	19.65	0	
300070	碧水源	-9.97	16.45	-1.64	14.81	14.81	0	0	--  	          0.00	--  	--  	--  	16.45	    87.69	0	  3.72	环境保护	北京	0.00	16.45	0	
300072	三聚环保	0.04	54.98	0.02	55.00	55.00	0	0	--  	          0.00	--  	--  	--  	54.98	    40.56	0	  0.31	环境保护	北京	0.00	54.98	0	
300090	盛运环保	0.00	10.97	0.00	10.97	10.97	0	0	--  	          0.00	--  	--  	--  	10.97	    65.79	0	  0.07	环境保护	安徽	0.00	10.97	0	
300137	先河环保	-0.77	15.53	-0.12	15.41	15.41	0	0	--  	          0.00	--  	--  	--  	15.53	    57.32	0	  0.03	环境保护	河北	0.00	15.53	0	
300152	科融环境	0.00	9.00	0.00	9.00	9.00	0	0	--  	          0.00	--  	--  	--  	9.00	--  	0	  0.04	环境保护	江苏	0.00	9.00	0	
300156	神雾环保	0.92	31.40	0.29	31.69	31.69	0	0	--  	          0.00	--  	--  	--  	31.40	    52.78	0	  0.18	环境保护	北京	0.00	31.40	0	
300172	中电环保	0.00	10.51	0.00	10.51	10.51	0	0	--  	          0.00	--  	--  	--  	10.51	    53.95	0	  0.08	环境保护	江苏	0.00	10.51	0	
300187	永清环保	1.42	12.67	0.18	12.85	12.85	0	0	--  	          0.00	--  	--  	--  	12.67	    78.19	0	  0.39	环境保护	湖南	0.00	12.67	0	
300190	维尔利	2.04	16.65	0.34	16.99	16.99	0	0	--  	          0.00	--  	--  	--  	16.65	    70.63	0	  4.05	环境保护	江苏	0.00	16.65	0	
300197	铁汉生态	0.17	11.86	0.02	11.88	11.88	0	0	--  	          0.00	--  	--  	--  	11.86	    46.87	0	  0.05	环境保护	深圳	0.00	11.86	0	
300203	聚光科技	0.06	31.08	0.02	31.10	31.10	0	0	--  	          0.00	--  	--  	--  	31.08	    41.89	0	  0.00	环境保护	浙江	0.00	31.08	0	
300262	巴安水务	--  	16.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.79	    34.42	0	  0.00	环境保护	上海	0.00	16.79	0	
300272	开能环保	0.00	13.80	0.00	13.80	13.80	0	0	--  	          0.00	--  	--  	--  	13.80	    57.29	0	  0.01	环境保护	上海	0.00	13.80	0	
300332	天壕环境	0.55	9.12	0.05	9.17	9.17	0	0	--  	          0.00	--  	--  	--  	9.12	    70.66	0	  0.06	环境保护	北京	0.00	9.12	0	
300355	蒙草生态	1.91	12.03	0.23	12.26	12.26	0	0	--  	          0.00	--  	--  	--  	12.03	    37.64	0	  0.26	环境保护	内蒙	0.00	12.03	0	
300362	天翔环境	-0.68	19.03	-0.13	18.90	18.90	0	0	--  	          0.00	--  	--  	--  	19.03	   105.29	0	  0.01	环境保护	四川	0.00	19.03	0	
300385	雪浪环境	--  	37.37	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	37.37	    50.55	0	  0.00	环境保护	江苏	0.00	37.37	0	
300388	国祯环保	--  	22.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.30	    65.41	0	  0.00	环境保护	安徽	0.00	22.30	0	
300422	博世科	--  	49.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.81	   113.12	0	  0.00	环境保护	广西	0.00	49.81	0	
300425	环能科技	--  	28.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.10	    89.74	0	  0.00	环境保护	四川	0.00	28.10	0	
600008	首创股份	--  	4.37	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.37	    40.24	0	  0.00	环境保护	北京	0.00	4.37	0	
600217	中再资环	--  	8.58	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.58	   136.07	0	  0.00	环境保护	陕西	0.00	8.58	0	
600292	远达环保	--  	12.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.04	    62.24	0	  0.00	环境保护	重庆	0.00	12.04	0	
600388	龙净环保	--  	12.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.94	    24.15	0	  0.00	环境保护	福建	0.00	12.94	0	
600481	双良节能	--  	8.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.35	    77.51	0	  0.00	环境保护	江苏	0.00	8.35	0	
600526	菲达环保	--  	12.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.50	    98.10	0	  0.00	环境保护	浙江	0.00	12.50	0	
600874	创业环保	--  	8.43	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.43	    24.60	0	  0.00	环境保护	天津	0.00	8.43	0	
603126	中材节能	--  	13.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.40	    62.80	0	  0.00	环境保护	天津	0.00	13.40	0	
603177	德创环保	--  	30.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.94	   150.88	0	  0.00	环境保护	浙江	0.00	30.94	0	
603568	伟明环保	--  	24.54	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.54	    48.78	0	  0.00	环境保护	浙江	0.00	24.54	0	
603588	高能环境	--  	30.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.36	   100.08	0	  0.00	环境保护	北京	0.00	30.36	0	
603603	博天环境	--  	39.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	39.12	   127.80	0	  0.00	环境保护	北京	0.00	39.12	0	
603817	海峡环保	--  	23.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.50	   125.22	0	  0.00	环境保护	福建	0.00	23.50	0	
