代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000027	深圳能源	--  	7.02	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.02	    15.60	0	  0.00	火力发电	深圳	0.00	7.02	0	
000037	*ST南电A	--  	12.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.40	--  	0	  0.00	火力发电	深圳	0.00	12.40	0	
000531	穗恒运Ａ	--  	11.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.79	    14.02	0	  0.00	火力发电	广东	0.00	11.79	0	
000539	粤电力Ａ	--  	5.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.53	    14.75	0	  0.00	火力发电	广东	0.00	5.53	0	
000543	皖能电力	--  	7.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.15	    12.43	0	  0.00	火力发电	安徽	0.00	7.15	0	
000591	太阳能	--  	14.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.49	    36.42	0	  0.00	新型电力	重庆	0.00	14.49	0	
000600	建投能源	--  	9.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.36	     7.66	0	  0.00	火力发电	河北	0.00	9.36	0	
000601	韶能股份	--  	8.44	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.44	    14.92	0	  0.00	水力发电	广东	0.00	8.44	0	
000690	宝新能源	--  	9.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.26	    27.17	0	  0.00	火力发电	广东	0.00	9.26	0	
000720	新能泰山	--  	6.43	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.43	--  	0	  0.00	火力发电	山东	0.00	6.43	0	
000722	湖南发展	--  	15.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.52	    38.96	0	  0.00	水力发电	湖南	0.00	15.52	0	
000767	漳泽电力	--  	3.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	3.96	 27642.22	0	  0.00	火力发电	山西	0.00	3.96	0	
000791	甘肃电投	--  	13.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.46	  1452.46	0	  0.00	水力发电	甘肃	0.00	13.46	0	
000862	银星能源	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	   507.54	0	  0.00	新型电力	宁夏	0.00	7.90	0	
000875	吉电股份	--  	6.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.08	   162.96	0	  0.00	火力发电	吉林	0.00	6.08	0	
000883	湖北能源	--  	4.78	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.78	    12.75	0	  0.00	火力发电	湖北	0.00	4.78	0	
000899	赣能股份	--  	9.62	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.62	    17.92	0	  0.00	火力发电	江西	0.00	9.62	0	
000939	凯迪生态	--  	12.09	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.09	   105.40	0	  0.00	新型电力	湖北	0.00	12.09	0	
