代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000988	华工科技	--  	16.02	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.02	    63.87	0	  0.00	电器仪表	湖北	0.00	16.02	0	
002008	大族激光	--  	26.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.28	    33.20	0	  0.00	电器仪表	深圳	0.00	26.28	0	
002058	威 尔 泰	--  	26.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.66	--  	0	  0.00	电器仪表	上海	0.00	26.66	0	
002121	科陆电子	--  	9.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.15	   117.01	0	  0.00	电器仪表	深圳	0.00	9.15	0	
002175	东方网络	--  	16.38	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.38	   380.06	0	  0.00	电器仪表	广西	0.00	16.38	0	
002197	证通电子	--  	15.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.82	   193.36	0	  0.00	电器仪表	深圳	0.00	15.82	0	
002214	大立科技	--  	12.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.22	   145.79	0	  0.00	电器仪表	浙江	0.00	12.22	0	
002236	大华股份	--  	16.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.40	    33.34	0	  0.00	电器仪表	浙江	0.00	16.40	0	
002338	奥普光电	--  	48.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	48.48	    94.36	0	  0.00	电器仪表	吉林	0.00	48.48	0	
002414	高德红外	--  	24.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.20	   270.45	0	  0.00	电器仪表	湖北	0.00	24.20	0	
002415	海康威视	--  	30.18	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.18	    28.73	0	  0.00	电器仪表	浙江	0.00	30.18	0	
002518	科士达	--  	20.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.90	    37.73	0	  0.00	电器仪表	深圳	0.00	20.90	0	
002527	新时达	--  	13.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.75	    40.35	0	  0.00	电器仪表	上海	0.00	13.75	0	
002767	先锋电子	--  	38.74	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	38.74	   133.66	0	  0.00	电器仪表	浙江	0.00	38.74	0	
002819	东方中科	--  	50.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	50.01	   185.23	0	  0.00	电器仪表	北京	0.00	50.01	0	
002849	威星智能	--  	59.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	59.48	    98.70	0	  0.00	电器仪表	浙江	0.00	59.48	0	
300007	汉威电子	--  	19.97	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.97	    73.57	0	  0.00	电器仪表	河南	0.00	19.97	0	
300012	华测检测	--  	10.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.46	    87.11	0	  0.00	电器仪表	深圳	0.00	10.46	0	
300066	三川智慧	--  	6.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.51	    44.70	0	  0.00	电器仪表	江西	0.00	6.51	0	
300097	智云股份	--  	58.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	58.79	   141.89	0	  0.00	电器仪表	辽宁	0.00	58.79	0	
300099	尤洛卡	--  	12.42	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.42	--  	0	  0.00	电器仪表	山东	0.00	12.42	0	
300105	龙源技术	--  	9.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.04	--  	0	  0.00	电器仪表	山东	0.00	9.04	0	
300112	万讯自控	--  	13.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.93	   140.87	0	  0.00	电器仪表	深圳	0.00	13.93	0	
300124	汇川技术	--  	23.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.12	    41.93	0	  0.00	电器仪表	深圳	0.00	23.12	0	
300165	天瑞仪器	--  	9.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.96	    65.48	0	  0.00	电器仪表	江苏	0.00	9.96	0	
300217	东方电热	--  	4.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.19	    95.20	0	  0.00	电器仪表	江苏	0.00	4.19	0	
300259	新天科技	--  	10.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.73	    62.58	0	  0.00	电器仪表	河南	0.00	10.73	0	
300286	安科瑞	--  	26.77	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.77	    47.66	0	  0.00	电器仪表	上海	0.00	26.77	0	
300306	远方光电	--  	23.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.00	    81.68	0	  0.00	电器仪表	浙江	0.00	23.00	0	
300338	开元仪器	--  	22.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.96	   629.07	0	  0.00	电器仪表	湖南	0.00	22.96	0	
300349	金卡股份	--  	31.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.28	    98.95	0	  0.00	电器仪表	浙江	0.00	31.28	0	
300354	东华测试	--  	22.55	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.55	  2045.32	0	  0.00	电器仪表	江苏	0.00	22.55	0	
300360	炬华科技	--  	18.91	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.91	    25.87	0	  0.00	电器仪表	浙江	0.00	18.91	0	
300370	安控科技	--  	8.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.99	   473.01	0	  0.00	电器仪表	北京	0.00	8.99	0	
300371	汇中股份	--  	29.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	29.73	    90.17	0	  0.00	电器仪表	河北	0.00	29.73	0	
300410	正业科技	--  	44.77	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	44.77	   164.62	0	  0.00	电器仪表	广东	0.00	44.77	0	
300416	苏试试验	--  	34.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	34.25	    79.70	0	  0.00	电器仪表	江苏	0.00	34.25	0	
300417	南华仪器	--  	40.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	40.93	   122.70	0	  0.00	电器仪表	广东	0.00	40.93	0	
300430	诚益通	--  	44.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	44.01	    89.16	0	  0.00	电器仪表	北京	0.00	44.01	0	
300445	康斯特	--  	26.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.90	   140.12	0	  0.00	电器仪表	北京	0.00	26.90	0	
300466	赛摩电气	--  	39.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	39.89	   408.58	0	  0.00	电器仪表	江苏	0.00	39.89	0	
300480	光力科技	--  	25.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.46	   235.08	0	  0.00	电器仪表	河南	0.00	25.46	0	
300515	三德科技	--  	49.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.30	   161.45	0	  0.00	电器仪表	湖南	0.00	49.30	0	
300516	久之洋	--  	94.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	94.72	   163.51	0	  0.00	电器仪表	湖北	0.00	94.72	0	
300553	集智股份	--  	83.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	83.19	   126.30	0	  0.00	电器仪表	浙江	0.00	83.19	0	
300557	理工光科	--  	73.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	73.22	    93.54	0	  0.00	电器仪表	湖北	0.00	73.22	0	
300567	精测电子	--  	93.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	93.00	   111.50	0	  0.00	电器仪表	湖北	0.00	93.00	0	
300572	安车检测	--  	60.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	60.20	    77.38	0	  0.00	电器仪表	深圳	0.00	60.20	0	
002857	三晖电气	--  	0.00	--  	--  	--  	0	0	--  	--  	--  	--  	--  	--  	--  	0	--  	电器仪表	河南	--  	0.00	0	
600366	宁波韵升	--  	20.16	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.16	    10.86	0	  0.00	电器仪表	浙江	0.00	20.16	0	
600651	飞乐音响	--  	10.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.29	    69.59	0	  0.00	电器仪表	上海	0.00	10.29	0	
601222	林洋能源	--  	7.97	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.97	    29.79	0	  0.00	电器仪表	江苏	0.00	7.97	0	
601567	三星医疗	--  	12.13	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.13	    35.81	0	  0.00	电器仪表	浙江	0.00	12.13	0	
603100	川仪股份	--  	14.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.83	    46.04	0	  0.00	电器仪表	重庆	0.00	14.83	0	
603556	海兴电力	--  	44.47	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	44.47	    34.39	0	  0.00	电器仪表	浙江	0.00	44.47	0	
数据来源:通达信
