代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000049	德赛电池	--  	51.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	51.19	    41.15	0	  0.00	电气设备	深圳	0.00	51.19	0	
000400	许继电气	--  	17.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.65	    54.56	0	  0.00	电气设备	河南	0.00	17.65	0	
000585	东北电气	--  	8.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.40	--  	0	  0.00	电气设备	江苏	0.00	8.40	0	
000682	东方电子	--  	5.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.20	   130.36	0	  0.00	电气设备	山东	0.00	5.20	0	
000922	佳电股份	--  	10.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.79	--  	0	  0.00	电气设备	黑龙江	0.00	10.79	0	
000967	盈峰环境	--  	15.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.65	    52.53	0	  0.00	电气设备	浙江	0.00	15.65	0	
002028	思源电气	--  	16.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.35	    39.15	0	  0.00	电气设备	上海	0.00	16.35	0	
002074	国轩高科	--  	34.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	34.04	    30.38	0	  0.00	电气设备	江苏	0.00	34.04	0	
002112	三变科技	--  	17.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.50	   142.11	0	  0.00	电气设备	浙江	0.00	17.50	0	
002130	沃尔核材	--  	14.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.11	    72.62	0	  0.00	电气设备	深圳	0.00	14.11	0	
002164	宁波东力	--  	13.71	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.71	   905.51	0	  0.00	电气设备	浙江	0.00	13.71	0	
002168	深圳惠程	--  	16.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.99	   184.81	0	  0.00	电气设备	深圳	0.00	16.99	0	
002169	智光电气	--  	20.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.65	    67.37	0	  0.00	电气设备	广东	0.00	20.65	0	
002176	江特电机	--  	12.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.26	    91.29	0	  0.00	电气设备	江西	0.00	12.26	0	
002202	金风科技	--  	16.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.40	    15.72	0	  0.00	电气设备	新疆	0.00	16.40	0	
002212	南洋股份	--  	17.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.70	   224.81	0	  0.00	电气设备	广东	0.00	17.70	0	
002227	奥 特 迅	--  	25.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.60	--  	0	  0.00	电气设备	深圳	0.00	25.60	0	
002249	大洋电机	--  	8.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.66	    51.38	0	  0.00	电气设备	广东	0.00	8.66	0	
002266	浙富控股	--  	5.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.64	   165.90	0	  0.00	电气设备	浙江	0.00	5.64	0	
002270	华明装备	--  	14.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.70	    38.82	0	  0.00	电气设备	山东	0.00	14.70	0	
002276	万马股份	--  	15.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.00	    80.64	0	  0.00	电气设备	浙江	0.00	15.00	0	
