代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000021	深科技	0.00	9.89	0.00	9.89	9.89	0	0	--  	          0.00	--  	--  	--  	9.89	    35.95	0	  0.03	电脑设备	深圳	0.00	9.89	0	
000066	长城电脑	0.00	10.91	0.00	10.91	10.91	0	0	--  	          0.00	--  	--  	--  	10.91	   896.23	0	  0.07	电脑设备	深圳	0.00	10.91	0	
000977	浪潮信息	0.00	20.94	0.00	20.94	20.94	0	0	--  	          0.00	--  	--  	--  	20.94	    44.94	0	  0.23	电脑设备	山东	0.00	20.94	0	
002152	广电运通	0.00	12.89	0.00	12.89	12.89	0	0	--  	          0.00	--  	--  	--  	12.89	    30.87	0	  0.36	电脑设备	广东	0.00	12.89	0	
002177	御银股份	0.66	7.60	0.05	7.65	7.65	0	0	--  	          0.00	--  	--  	--  	7.60	   129.37	0	  0.40	电脑设备	广东	0.00	7.60	0	
002180	艾派克	0.00	28.55	0.00	28.55	28.55	0	0	--  	          0.00	--  	--  	--  	28.55	    84.25	0	  0.01	电脑设备	广东	0.00	28.55	0	
002308	威创股份	5.19	15.21	0.79	16.00	16.00	0	0	--  	          0.00	--  	--  	--  	15.21	    81.19	0	  4.75	电脑设备	广东	0.00	15.21	0	
002312	三泰控股	5.28	7.95	0.42	8.37	8.37	0	0	--  	          0.00	--  	--  	--  	7.95	--  	0	 12.09	电脑设备	四川	0.00	7.95	0	
002351	漫步者	0.07	13.88	0.01	13.89	13.89	0	0	--  	          0.00	--  	--  	--  	13.88	    97.17	0	  0.03	电脑设备	深圳	0.00	13.88	0	
002362	汉王科技	0.00	23.44	0.00	23.44	23.44	0	0	--  	          0.00	--  	--  	--  	23.44	   238.70	0	  0.05	电脑设备	北京	0.00	23.44	0	
002376	新北洋	0.07	13.56	0.01	13.57	13.57	0	0	--  	          0.00	--  	--  	--  	13.56	    46.36	0	  0.07	电脑设备	山东	0.00	13.56	0	
002528	英飞拓	2.59	6.95	0.18	7.13	7.13	0	0	--  	          0.00	--  	--  	--  	6.95	--  	0	  5.59	电脑设备	深圳	0.00	6.95	0	
002577	雷柏科技	0.00	33.19	0.00	33.19	33.19	0	0	--  	          0.00	--  	--  	--  	33.19	   395.56	0	  0.13	电脑设备	深圳	0.00	33.19	0	
002635	安洁科技	-2.47	40.56	-1.00	39.56	39.56	0	0	--  	          0.00	--  	--  	--  	40.56	    44.29	0	  0.55	电脑设备	江苏	0.00	40.56	0	
300042	朗科科技	--  	33.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	33.93	   101.46	0	  0.00	电脑设备	深圳	0.00	33.93	0	
300045	华力创通	0.77	14.24	0.11	14.35	14.35	0	0	--  	          0.00	--  	--  	--  	14.24	   253.77	0	  1.84	电脑设备	北京	0.00	14.24	0	
300076	GQY视讯	0.75	11.94	0.09	12.03	12.03	0	0	--  	          0.00	--  	--  	--  	11.94	--  	0	  0.25	电脑设备	浙江	0.00	11.94	0	
300130	新国都	0.98	25.51	0.25	25.76	25.76	0	0	--  	          0.00	--  	--  	--  	25.51	    57.16	0	  0.79	电脑设备	深圳	0.00	25.51	0	
300282	汇冠股份	--  	28.16	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.16	    55.83	0	  0.00	电脑设备	北京	0.00	28.16	0	
300367	东方网力	--  	20.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.04	   116.32	0	  0.00	电脑设备	北京	0.00	20.04	0	
300390	天华超净	0.08	12.48	0.01	12.49	12.49	0	0	--  	          0.00	--  	--  	--  	12.48	   163.79	0	  0.09	电脑设备	江苏	0.00	12.48	0	
300449	汉邦高科	4.19	40.30	1.69	41.99	41.99	0	0	--  	          0.00	--  	--  	--  	40.30	   360.83	0	  2.24	电脑设备	北京	0.00	40.30	0	
600074	保千里	0.73	13.71	0.10	13.81	13.81	0	0	--  	          0.00	--  	--  	--  	13.71	    40.70	0	  0.42	电脑设备	江苏	0.00	13.71	0	
600100	同方股份	0.00	13.94	0.00	13.94	13.94	0	0	--  	          0.00	--  	--  	--  	13.94	     6.08	0	  0.10	电脑设备	北京	0.00	13.94	0	
600271	航天信息	--  	20.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.60	    30.49	0	  0.00	电脑设备	北京	0.00	20.60	0	
600601	方正科技	0.00	4.59	0.00	4.59	4.59	0	0	--  	          0.00	--  	--  	--  	4.59	--  	0	  0.07	电脑设备	上海	0.00	4.59	0	
600734	实达集团	-0.21	13.98	-0.03	13.95	13.95	0	0	--  	          0.00	--  	--  	--  	13.98	    51.81	0	  0.05	电脑设备	福建	0.00	13.98	0	
603019	中科曙光	-1.24	27.44	-0.34	27.10	27.10	0	0	--  	          0.00	--  	--  	--  	27.44	   177.49	0	  0.56	电脑设备	天津	0.00	27.44	0	
603025	大豪科技	--  	34.43	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	34.43	    64.46	0	  0.00	电脑设备	北京	0.00	34.43	0	
603996	中新科技	-0.33	21.47	-0.07	21.40	21.40	0	0	--  	          0.00	--  	--  	--  	21.47	    79.35	0	  0.17	电脑设备	浙江	0.00	21.47	0	
数据来源:通达信
