代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000045	深纺织Ａ	--  	14.09	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.09	--  	0	  0.00	纺织	深圳	0.00	14.09	0	
000158	常山股份	--  	12.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.10	--  	0	  0.00	纺织	河北	0.00	12.10	0	
000611	*ST天首	--  	10.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.05	--  	0	  0.00	纺织	内蒙	0.00	10.05	0	
000726	鲁 泰Ａ	--  	12.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.63	    15.04	0	  0.00	纺织	山东	0.00	12.63	0	
000779	三毛派神	--  	17.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.90	--  	0	  0.00	纺织	甘肃	0.00	17.90	0	
000803	金宇车城	--  	20.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.60	--  	0	  0.00	纺织	四川	0.00	20.60	0	
000850	华茂股份	--  	6.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.22	    71.07	0	  0.00	纺织	安徽	0.00	6.22	0	
000955	欣龙控股	--  	7.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.29	--  	0	  0.00	纺织	海南	0.00	7.29	0	
000982	中银绒业	--  	9.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.15	--  	0	  0.00	纺织	宁夏	0.00	9.15	0	
002003	伟星股份	--  	15.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.04	    21.43	0	  0.00	服饰	浙江	0.00	15.04	0	
002029	七 匹 狼	--  	10.31	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.31	    34.60	0	  0.00	服饰	福建	0.00	10.31	0	
