代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000009	中国宝安	-0.31	9.75	-0.03	9.72	9.72	0	0	--  	          0.00	--  	--  	--  	9.75	    74.71	0	  0.10	综合类	深圳	0.00	9.75	0	
000034	神州数码	--  	23.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.50	    34.53	0	  0.00	综合类	深圳	0.00	23.50	0	
000301	东方市场	--  	5.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.10	    31.74	0	  0.00	综合类	江苏	0.00	5.10	0	
000409	山东地矿	0.65	12.35	0.08	12.43	12.43	0	0	--  	          0.00	--  	--  	--  	12.35	  2134.17	0	  0.08	综合类	山东	0.00	12.35	0	
000632	三木集团	-0.11	8.94	-0.01	8.93	8.93	0	0	--  	          0.00	--  	--  	--  	8.94	  2196.09	0	  0.18	综合类	福建	0.00	8.94	0	
000633	*ST合金	0.00	11.64	0.00	11.64	11.64	0	0	--  	          0.00	--  	--  	--  	11.64	--  	0	  0.01	综合类	辽宁	0.00	11.64	0	
000701	厦门信达	-0.27	14.60	-0.04	14.56	14.56	0	0	--  	          0.00	--  	--  	--  	14.60	    46.11	0	  0.33	综合类	福建	0.00	14.60	0	
000839	中信国安	-1.39	11.51	-0.16	11.35	11.35	0	0	--  	          0.00	--  	--  	--  	11.51	   154.55	0	  0.33	综合类	北京	0.00	11.51	0	
000881	中广核技	0.04	26.71	0.01	26.72	26.72	0	0	--  	          0.00	--  	--  	--  	26.71	 35504.14	0	  0.03	综合类	辽宁	0.00	26.71	0	
000909	数源科技	9.55	15.70	1.50	17.20	17.20	0	0	--  	          0.00	--  	--  	--  	15.70	   162.40	0	  6.58	综合类	浙江	0.00	15.70	0	
600051	宁波联合	--  	13.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.28	    31.74	0	  0.00	综合类	浙江	0.00	13.28	0	
600149	廊坊发展	0.24	21.00	0.05	21.05	21.05	0	0	--  	          0.00	--  	--  	--  	21.00	--  	0	  0.02	综合类	河北	0.00	21.00	0	
600175	美都能源	--  	4.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.95	   162.56	0	  0.00	综合类	浙江	0.00	4.95	0	
600200	江苏吴中	4.49	16.70	0.75	17.45	17.45	0	0	--  	          0.00	--  	--  	--  	16.70	   149.91	0	  5.95	综合类	江苏	0.00	16.70	0	
600209	罗顿发展	-4.54	14.76	-0.67	14.09	14.09	0	0	--  	          0.00	--  	--  	--  	14.76	--  	0	  1.21	综合类	海南	0.00	14.76	0	
600212	江泉实业	4.84	10.96	0.53	11.49	11.49	0	0	--  	          0.00	--  	--  	--  	10.96	   125.88	0	  6.80	综合类	山东	0.00	10.96	0	
600603	*ST兴业	--  	16.16	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.16	--  	0	  0.00	综合类	福建	0.00	16.16	0	
600614	鹏起科技	1.16	12.97	0.15	13.12	13.12	0	0	--  	          0.00	--  	--  	--  	12.97	    87.15	0	  0.30	综合类	上海	0.00	12.97	0	
600620	天宸股份	-0.20	15.11	-0.03	15.08	15.08	0	0	--  	          0.00	--  	--  	--  	15.11	   149.31	0	  0.13	综合类	上海	0.00	15.11	0	
600624	复旦复华	1.27	8.69	0.11	8.80	8.80	0	0	--  	          0.00	--  	--  	--  	8.69	   116.91	0	  3.64	综合类	上海	0.00	8.69	0	
600647	同达创业	0.00	35.63	0.00	35.63	35.63	0	0	--  	          0.00	--  	--  	--  	35.63	    49.80	0	  0.02	综合类	上海	0.00	35.63	0	
600701	工大高新	-1.68	16.64	-0.28	16.36	16.36	0	0	--  	          0.00	--  	--  	--  	16.64	   224.84	0	  0.27	综合类	黑龙江	0.00	16.64	0	
600730	中国高科	0.25	12.06	0.03	12.09	12.09	0	0	--  	          0.00	--  	--  	--  	12.06	     8.33	0	  0.01	综合类	北京	0.00	12.06	0	
600770	综艺股份	0.00	9.89	0.00	9.89	9.89	0	0	--  	          0.00	--  	--  	--  	9.89	   235.72	0	  0.02	综合类	江苏	0.00	9.89	0	
600777	新潮能源	2.73	3.66	0.10	3.76	3.76	0	0	--  	          0.00	--  	--  	--  	3.66	--  	0	  8.32	综合类	山东	0.00	3.66	0	
600800	天津磁卡	3.18	11.94	0.38	12.32	12.32	0	0	--  	          0.00	--  	--  	--  	11.94	--  	0	  3.19	综合类	天津	0.00	11.94	0	
600805	悦达投资	-0.35	8.58	-0.03	8.55	8.55	0	0	--  	          0.00	--  	--  	--  	8.58	    61.65	0	  0.11	综合类	江苏	0.00	8.58	0	
600811	东方集团	-1.52	7.22	-0.11	7.11	7.11	0	0	--  	          0.00	--  	--  	--  	7.22	    30.52	0	 13.07	综合类	黑龙江	0.00	7.22	0	
600846	同济科技	-10.04	9.16	-0.92	8.24	8.24	0	0	--  	          0.00	--  	--  	--  	9.16	    48.85	0	 22.02	综合类	上海	0.00	9.16	0	
数据来源:通达信
