代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000738	中航动控	--  	25.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.15	   136.01	0	  0.00	航空	江苏	0.00	25.15	0	
000768	中航飞机	--  	24.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.05	   422.98	0	  0.00	航空	陕西	0.00	24.05	0	
000901	航天科技	--  	36.34	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	36.34	   399.85	0	  0.00	航空	黑龙江	0.00	36.34	0	
002013	中航机电	--  	17.72	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.72	    88.81	0	  0.00	航空	湖北	0.00	17.72	0	
002023	海特高新	--  	14.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.35	   187.09	0	  0.00	航空	四川	0.00	14.35	0	
002111	威海广泰	--  	22.13	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.13	    48.37	0	  0.00	航空	山东	0.00	22.13	0	
002260	德奥通航	--  	23.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.10	  1453.66	0	  0.00	航空	广东	0.00	23.10	0	
300424	航新科技	--  	61.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	61.40	   165.95	0	  0.00	航空	广东	0.00	61.40	0	
300581	晨曦航空	--  	121.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	121.66	   190.49	0	  0.00	航空	陕西	0.00	121.66	0	
600038	中直股份	--  	52.68	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	52.68	    76.69	0	  0.00	航空	黑龙江	0.00	52.68	0	
600118	中国卫星	--  	33.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	33.07	    98.34	0	  0.00	航空	北京	0.00	33.07	0	
600316	洪都航空	--  	21.43	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.43	  9299.52	0	  0.00	航空	江西	0.00	21.43	0	
600343	航天动力	--  	22.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.70	   580.98	0	  0.00	航空	陕西	0.00	22.70	0	
600372	中航电子	--  	20.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.23	   120.28	0	  0.00	航空	北京	0.00	20.23	0	
600391	成发科技	--  	37.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	37.14	   231.63	0	  0.00	航空	四川	0.00	37.14	0	
600862	中航高科	--  	12.42	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.42	   168.45	0	  0.00	航空	江苏	0.00	12.42	0	
600879	航天电子	--  	18.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.60	    52.87	0	  0.00	航空	湖北	0.00	18.60	0	
600893	中航动力	--  	33.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	33.53	   163.21	0	  0.00	航空	陕西	0.00	33.53	0	
数据来源:通达信
