代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000166	申万宏源	0.16	6.30	0.01	6.31	6.31	0	0	--  	          0.00	--  	--  	--  	6.30	    24.62	0	  0.32	证券	新疆	0.00	6.30	0	
000686	东北证券	0.00	12.14	0.00	12.14	12.14	0	0	--  	          0.00	--  	--  	--  	12.14	    18.38	0	  0.01	证券	吉林	0.00	12.14	0	
000728	国元证券	0.45	20.11	0.09	20.20	20.20	0	0	--  	          0.00	--  	--  	--  	20.11	    31.07	0	  0.18	证券	安徽	0.00	20.11	0	
000750	国海证券	0.00	6.62	0.00	6.62	6.62	0	0	--  	          0.00	--  	--  	--  	6.62	    21.38	0	  0.06	证券	广西	0.00	6.62	0	
000776	广发证券	-1.21	17.41	-0.21	17.20	17.20	0	0	--  	          0.00	--  	--  	--  	17.41	    16.09	0	  1.47	证券	广东	0.00	17.41	0	
000783	长江证券	0.20	10.23	0.02	10.25	10.25	0	0	--  	          0.00	--  	--  	--  	10.23	    24.32	0	  0.09	证券	湖北	0.00	10.23	0	
002500	山西证券	0.00	11.31	0.00	11.31	11.31	0	0	--  	          0.00	--  	--  	--  	11.31	    74.04	0	  0.02	证券	山西	0.00	11.31	0	
002673	西部证券	0.00	19.06	0.00	19.06	19.06	0	0	--  	          0.00	--  	--  	--  	19.06	    42.73	0	  0.10	证券	陕西	0.00	19.06	0	
002736	国信证券	0.00	15.07	0.00	15.07	15.07	0	0	--  	          0.00	--  	--  	--  	15.07	    25.02	0	  0.12	证券	深圳	0.00	15.07	0	
002797	第一创业	1.76	29.56	0.52	30.08	30.08	0	0	--  	          0.00	--  	--  	--  	29.56	   114.37	0	  1.01	证券	深圳	0.00	29.56	0	
600030	中信证券	0.06	16.34	0.01	16.35	16.35	0	0	--  	          0.00	--  	--  	--  	16.34	    18.70	0	  0.10	证券	深圳	0.00	16.34	0	
600061	国投安信	-0.13	15.47	-0.02	15.45	15.45	0	0	--  	          0.00	--  	--  	--  	15.47	    20.28	0	  0.28	证券	上海	0.00	15.47	0	
600109	国金证券	0.00	13.16	0.00	13.16	13.16	0	0	--  	          0.00	--  	--  	--  	13.16	    29.45	0	  0.13	证券	四川	0.00	13.16	0	
600369	西南证券	0.00	6.89	0.00	6.89	6.89	0	0	--  	          0.00	--  	--  	--  	6.89	    27.61	0	  0.37	证券	重庆	0.00	6.89	0	
600837	海通证券	0.13	15.56	0.02	15.58	15.58	0	0	--  	          0.00	--  	--  	--  	15.56	    21.09	0	  0.20	证券	上海	0.00	15.56	0	
600909	华安证券	0.00	11.70	0.00	11.70	11.70	0	0	--  	          0.00	--  	--  	--  	11.70	    61.83	0	  0.01	证券	安徽	0.00	11.70	0	
600958	东方证券	0.07	15.26	0.01	15.27	15.27	0	0	--  	          0.00	--  	--  	--  	15.26	    37.92	0	  0.09	证券	上海	0.00	15.26	0	
600999	招商证券	0.06	16.70	0.01	16.71	16.71	0	0	--  	          0.00	--  	--  	--  	16.70	    21.09	0	  0.02	证券	深圳	0.00	16.70	0	
601099	太平洋	0.20	5.09	0.01	5.10	5.10	0	0	--  	          0.00	--  	--  	--  	5.09	    51.96	0	  0.05	证券	云南	0.00	5.09	0	
601198	东兴证券	0.42	19.18	0.08	19.26	19.26	0	0	--  	          0.00	--  	--  	--  	19.18	    36.17	0	  0.20	证券	北京	0.00	19.18	0	
601211	国泰君安	0.00	18.84	0.00	18.84	18.84	0	0	--  	          0.00	--  	--  	--  	18.84	    14.60	0	  0.24	证券	上海	0.00	18.84	0	
601375	中原证券	-0.19	10.76	-0.02	10.74	10.74	0	0	--  	          0.00	--  	--  	--  	10.76	    57.60	0	  0.06	证券	河南	0.00	10.76	0	
601377	兴业证券	-0.13	7.84	-0.01	7.83	7.83	0	0	--  	          0.00	--  	--  	--  	7.84	    19.26	0	  0.15	证券	福建	0.00	7.84	0	
601555	东吴证券	-0.38	13.05	-0.05	13.00	13.00	0	0	--  	          0.00	--  	--  	--  	13.05	    23.50	0	  1.06	证券	江苏	0.00	13.05	0	
601688	华泰证券	0.00	17.87	0.00	17.87	17.87	0	0	--  	          0.00	--  	--  	--  	17.87	    19.96	0	  0.07	证券	江苏	0.00	17.87	0	
601788	光大证券	-0.19	15.83	-0.03	15.80	15.80	0	0	--  	          0.00	--  	--  	--  	15.83	    22.94	0	  0.01	证券	上海	0.00	15.83	0	
601881	中国银河	-0.23	13.21	-0.03	13.18	13.18	0	0	--  	          0.00	--  	--  	--  	13.21	    28.30	0	  0.03	证券	北京	0.00	13.21	0	
601901	方正证券	-0.35	8.54	-0.03	8.51	8.51	0	0	--  	          0.00	--  	--  	--  	8.54	    19.78	0	  0.06	证券	湖南	0.00	8.54	0	
数据来源:通达信
