代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000555	神州信息	-0.70	22.94	-0.16	22.78	22.78	0	0	--  	          0.00	--  	--  	--  	22.94	   134.40	0	  0.32	软件服务	深圳	0.00	22.94	0	
000662	天夏智慧	0.31	19.57	0.06	19.63	19.63	0	0	--  	          0.00	--  	--  	--  	19.57	    90.26	0	  0.01	软件服务	广西	0.00	19.57	0	
000711	京蓝科技	5.84	29.29	1.71	31.00	31.00	0	0	--  	          0.00	--  	--  	--  	29.29	--  	0	  3.78	软件服务	黑龙江	0.00	29.29	0	
000851	高鸿股份	2.40	12.50	0.30	12.80	12.80	0	0	--  	          0.00	--  	--  	--  	12.50	   145.01	0	  4.03	软件服务	贵州	0.00	12.50	0	
000938	紫光股份	--  	56.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	56.89	    85.57	0	  0.00	软件服务	北京	0.00	56.89	0	
000948	南天信息	0.00	16.73	0.00	16.73	16.73	0	0	--  	          0.00	--  	--  	--  	16.73	--  	0	  0.02	软件服务	云南	0.00	16.73	0	
000997	新 大 陆	0.10	19.17	0.02	19.19	19.19	0	0	--  	          0.00	--  	--  	--  	19.17	    37.57	0	  0.07	软件服务	福建	0.00	19.17	0	
002027	分众传媒	0.43	11.63	0.05	11.68	11.68	0	0	--  	          0.00	--  	--  	--  	11.63	    24.22	0	  0.22	软件服务	广东	0.00	11.63	0	
002063	远光软件	0.08	13.03	0.01	13.04	13.04	0	0	--  	          0.00	--  	--  	--  	13.03	    62.24	0	  0.02	软件服务	广东	0.00	13.03	0	
002065	东华软件	0.00	21.67	0.00	21.67	21.67	0	0	--  	          0.00	--  	--  	--  	21.67	    40.38	0	  0.06	软件服务	北京	0.00	21.67	0	
002073	软控股份	-0.28	10.65	-0.03	10.62	10.62	0	0	--  	          0.00	--  	--  	--  	10.65	--  	0	  0.16	软件服务	山东	0.00	10.65	0	
002090	金智科技	1.22	24.64	0.30	24.94	24.94	0	0	--  	          0.00	--  	--  	--  	24.64	    56.77	0	  0.17	软件服务	江苏	0.00	24.64	0	
002153	石基信息	0.48	23.05	0.11	23.16	23.16	0	0	--  	          0.00	--  	--  	--  	23.05	    69.70	0	  0.04	软件服务	北京	0.00	23.05	0	
002184	海得控制	1.88	19.63	0.37	20.00	20.00	0	0	--  	          0.00	--  	--  	--  	19.63	   344.74	0	  3.18	软件服务	上海	0.00	19.63	0	
