代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000099	中信海直	-0.32	12.64	-0.04	12.60	12.60	0	0	--  	          0.00	--  	--  	--  	12.64	    75.75	0	  0.02	空运	深圳	0.00	12.64	0	
000520	长航凤凰	0.12	8.06	0.01	8.07	8.07	0	0	--  	          0.00	--  	--  	--  	8.06	--  	0	  0.01	水运	湖北	0.00	8.06	0	
000996	中国中期	0.17	23.23	0.04	23.27	23.27	0	0	--  	          0.00	--  	--  	--  	23.23	   262.62	0	  0.10	公路	北京	0.00	23.23	0	
002320	海峡股份	0.06	15.80	0.01	15.81	15.81	0	0	--  	          0.00	--  	--  	--  	15.80	    37.38	0	  0.01	水运	海南	0.00	15.80	0	
002357	富临运业	9.34	13.70	1.28	14.98	14.98	0	0	--  	          0.00	--  	--  	--  	13.70	    28.94	0	 14.71	公路	四川	0.00	13.70	0	
002627	宜昌交运	--  	23.98	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.98	    55.69	0	  0.00	公路	湖北	0.00	23.98	0	
002682	龙洲股份	0.50	14.01	0.07	14.08	14.08	0	0	--  	          0.00	--  	--  	--  	14.01	    96.22	0	  0.01	公路	福建	0.00	14.01	0	
600026	中远海能	1.55	7.08	0.11	7.19	7.19	0	0	--  	          0.00	--  	--  	--  	7.08	     9.63	0	  7.47	水运	上海	0.00	7.08	0	
600029	南方航空	-0.26	7.77	-0.02	7.75	7.75	0	0	--  	          0.00	--  	--  	--  	7.77	     8.88	0	  0.11	空运	广东	0.00	7.77	0	
600115	东方航空	-0.14	7.26	-0.01	7.25	7.25	0	0	--  	          0.00	--  	--  	--  	7.26	    11.77	0	  0.22	空运	上海	0.00	7.26	0	
600125	铁龙物流	-0.10	9.74	-0.01	9.73	9.73	0	0	--  	          0.00	--  	--  	--  	9.74	    49.44	0	  0.10	铁路	辽宁	0.00	9.74	0	
600221	海南航空	-0.29	3.40	-0.01	3.39	3.39	0	0	--  	          0.00	--  	--  	--  	3.40	    12.59	0	  0.35	空运	海南	0.00	3.40	0	
600242	中昌数据	1.77	16.43	0.29	16.72	16.72	0	0	--  	          0.00	--  	--  	--  	16.43	--  	0	  0.76	水运	广东	0.00	16.43	0	
600428	中远海特	0.00	6.95	0.00	6.95	6.95	0	0	--  	          0.00	--  	--  	--  	6.95	   337.12	0	  0.03	水运	广东	0.00	6.95	0	
600561	江西长运	--  	13.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.50	 73854.56	0	  0.00	公路	江西	0.00	13.50	0	
600575	皖江物流	0.00	5.60	0.00	5.60	5.60	0	0	--  	          0.00	--  	--  	--  	5.60	    41.07	0	  0.01	水运	安徽	0.00	5.60	0	
600692	亚通股份	-0.56	17.83	-0.10	17.73	17.73	0	0	--  	          0.00	--  	--  	--  	17.83	   147.87	0	  0.05	水运	上海	0.00	17.83	0	
600751	天海投资	0.00	8.22	0.00	8.22	8.22	0	0	--  	          0.00	--  	--  	--  	8.22	    83.14	0	  0.02	水运	天津	0.00	8.22	0	
600798	宁波海运	0.35	5.69	0.02	5.71	5.71	0	0	--  	          0.00	--  	--  	--  	5.69	    80.46	0	  0.06	水运	浙江	0.00	5.69	0	
600896	览海投资	0.37	10.73	0.04	10.77	10.77	0	0	--  	          0.00	--  	--  	--  	10.73	--  	0	  0.09	水运	海南	0.00	10.73	0	
601006	大秦铁路	-0.14	6.94	-0.01	6.93	6.93	0	0	--  	          0.00	--  	--  	--  	6.94	    15.04	0	  0.10	铁路	山西	0.00	6.94	0	
601021	春秋航空	0.11	37.96	0.04	38.00	38.00	0	0	--  	          0.00	--  	--  	--  	37.96	    19.49	0	  0.05	空运	上海	0.00	37.96	0	
601111	中国国航	2.24	8.02	0.18	8.20	8.20	0	0	--  	          0.00	--  	--  	--  	8.02	    10.89	0	  1.33	空运	北京	0.00	8.02	0	
601333	广深铁路	0.00	5.43	0.00	5.43	5.43	0	0	--  	          0.00	--  	--  	--  	5.43	    26.48	0	  0.12	铁路	深圳	0.00	5.43	0	
601866	中远海发	0.00	4.10	0.00	4.10	4.10	0	0	--  	          0.00	--  	--  	--  	4.10	--  	0	  0.10	水运	上海	0.00	4.10	0	
601872	招商轮船	-0.38	5.24	-0.02	5.22	5.22	0	0	--  	          0.00	--  	--  	--  	5.24	    11.77	0	  0.16	水运	上海	0.00	5.24	0	
601919	中远海控	0.00	5.85	0.00	5.85	5.85	0	0	--  	          0.00	--  	--  	--  	5.85	--  	0	  0.01	水运	天津	0.00	5.85	0	
603032	德新交运	-0.17	34.32	-0.06	34.26	34.26	0	0	--  	          0.00	--  	--  	--  	34.32	    80.82	0	  0.04	公路	新疆	0.00	34.32	0	
603069	海汽集团	-0.71	18.22	-0.13	18.09	18.09	0	0	--  	          0.00	--  	--  	--  	18.22	    81.66	0	  0.16	公路	海南	0.00	18.22	0	
603167	渤海轮渡	0.27	11.07	0.03	11.10	11.10	0	0	--  	          0.00	--  	--  	--  	11.07	    17.73	0	  0.24	水运	山东	0.00	11.07	0	
603223	恒通股份	0.06	33.78	0.02	33.80	33.80	0	0	--  	          0.00	--  	--  	--  	33.78	    68.07	0	  1.98	公路	山东	0.00	33.78	0	
603885	吉祥航空	--  	24.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.50	    18.65	0	  0.00	空运	上海	0.00	24.50	0	
数据来源:通达信
