代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	
000070	特发信息	-0.04	26.14	-0.01	26.13	26.13	0	0	--  	          0.00	--  	--  	--  	26.14	    49.38	0	  0.11	通信设备	深圳	0.00	26.14	0	
000547	航天发展	0.13	15.57	0.02	15.59	15.59	0	0	--  	          0.00	--  	--  	--  	15.57	   112.43	0	  0.03	通信设备	福建	0.00	15.57	0	
000561	烽火电子	0.07	14.93	0.01	14.94	14.94	0	0	--  	          0.00	--  	--  	--  	14.93	    94.66	0	  0.05	通信设备	陕西	0.00	14.93	0	
000586	汇源通信	--  	21.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.28	  1148.64	0	  0.00	通信设备	四川	0.00	21.28	0	
000687	华讯方舟	0.65	16.99	0.11	17.10	17.10	0	0	--  	          0.00	--  	--  	--  	16.99	    79.47	0	  0.05	通信设备	河北	0.00	16.99	0	
000801	四川九洲	-0.08	11.98	-0.01	11.97	11.97	0	0	--  	          0.00	--  	--  	--  	11.98	   131.28	0	  0.05	通信设备	四川	0.00	11.98	0	
000836	鑫茂科技	0.00	8.35	0.00	8.35	8.35	0	0	--  	          0.00	--  	--  	--  	8.35	   212.67	0	  0.09	通信设备	天津	0.00	8.35	0	
000889	茂业通信	--  	17.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.35	    46.86	0	  0.00	通信设备	河北	0.00	17.35	0	
002017	东信和平	0.00	14.09	0.00	14.09	14.09	0	0	--  	          0.00	--  	--  	--  	14.09	    88.22	0	  0.05	通信设备	广东	0.00	14.09	0	
002052	同洲电子	-0.20	9.80	-0.02	9.78	9.78	0	0	--  	          0.00	--  	--  	--  	9.80	--  	0	  0.04	通信设备	深圳	0.00	9.80	0	
002089	新 海 宜	0.00	15.19	0.00	15.19	15.19	0	0	--  	          0.00	--  	--  	--  	15.19	   122.78	0	  0.05	通信设备	江苏	0.00	15.19	0	
002115	三维通信	--  	10.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.53	--  	0	  0.00	通信设备	浙江	0.00	10.53	0	
002151	北斗星通	0.00	31.97	0.00	31.97	31.97	0	0	--  	          0.00	--  	--  	--  	31.97	   236.12	0	  0.35	通信设备	北京	0.00	31.97	0	
002161	远 望 谷	-0.09	10.83	-0.01	10.82	10.82	0	0	--  	          0.00	--  	--  	--  	10.83	--  	0	  0.09	通信设备	深圳	0.00	10.83	0	
002194	武汉凡谷	-0.69	12.99	-0.09	12.90	12.90	0	0	--  	          0.00	--  	--  	--  	12.99	--  	0	  0.43	通信设备	湖北	0.00	12.99	0	
002231	奥维通信	--  	13.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.80	--  	0	  0.00	通信设备	辽宁	0.00	13.80	0	
002281	光迅科技	1.00	79.90	0.80	80.70	80.70	0	0	--  	          0.00	--  	--  	--  	79.90	    58.77	0	  0.04	通信设备	湖北	0.00	79.90	0	
002296	辉煌科技	0.00	14.83	0.00	14.83	14.83	0	0	--  	          0.00	--  	--  	--  	14.83	    73.66	0	  0.06	通信设备	河南	0.00	14.83	0	
002313	日海通讯	0.85	22.41	0.19	22.60	22.60	0	0	--  	          0.00	--  	--  	--  	22.41	   413.85	0	  0.07	通信设备	深圳	0.00	22.41	0	
002369	卓翼科技	0.00	10.39	0.00	10.39	10.39	0	0	--  	          0.00	--  	--  	--  	10.39	   393.72	0	  0.12	通信设备	深圳	0.00	10.39	0	
