代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000557	西部创业	--  	6.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.10	--  	0	  0.00	红黄药酒	宁夏	0.00	6.10	0	
000568	泸州老窖	--  	40.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	40.63	    28.37	0	  0.00	白酒	四川	0.00	40.63	0	
000596	古井贡酒	--  	54.47	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	54.47	    35.32	0	  0.00	白酒	安徽	0.00	54.47	0	
000729	燕京啤酒	--  	7.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.45	    25.47	0	  0.00	啤酒	北京	0.00	7.45	0	
000752	西藏发展	--  	15.78	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.78	   723.12	0	  0.00	啤酒	西藏	0.00	15.78	0	
000799	酒鬼酒	--  	23.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.66	    88.01	0	  0.00	白酒	湖南	0.00	23.66	0	
000858	五 粮 液	--  	41.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	41.65	    23.24	0	  0.00	白酒	四川	0.00	41.65	0	
000860	顺鑫农业	--  	22.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.20	    38.50	0	  0.00	白酒	北京	0.00	22.20	0	
000869	张 裕Ａ	--  	37.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	37.07	    23.11	0	  0.00	红黄药酒	山东	0.00	37.07	0	
000929	兰州黄河	--  	18.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.20	--  	0	  0.00	啤酒	甘肃	0.00	18.20	0	
000995	*ST皇台	--  	15.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.82	--  	0	  0.00	白酒	甘肃	0.00	15.82	0	
002304	洋河股份	--  	86.31	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	86.31	    20.16	0	  0.00	白酒	江苏	0.00	86.31	0	
002461	珠江啤酒	--  	14.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.27	   109.01	0	  0.00	啤酒	广东	0.00	14.27	0	
002568	百润股份	--  	21.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.70	--  	0	  0.00	红黄药酒	上海	0.00	21.70	0	
002646	青青稞酒	--  	20.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.29	    35.26	0	  0.00	白酒	青海	0.00	20.29	0	
600059	古越龙山	--  	10.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.70	    67.67	0	  0.00	红黄药酒	浙江	0.00	10.70	0	
600084	中葡股份	--  	12.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.19	--  	0	  0.00	红黄药酒	新疆	0.00	12.19	0	
600132	重庆啤酒	--  	21.61	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.61	    29.76	0	  0.00	啤酒	重庆	0.00	21.61	0	
600197	伊力特	--  	17.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.69	    25.29	0	  0.00	白酒	新疆	0.00	17.69	0	
600199	金种子酒	--  	10.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.07	   418.46	0	  0.00	白酒	安徽	0.00	10.07	0	
600238	海南椰岛	--  	11.74	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.74	--  	0	  0.00	红黄药酒	海南	0.00	11.74	0	
600365	通葡股份	--  	11.57	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.57	  3367.29	0	  0.00	红黄药酒	吉林	0.00	11.57	0	
600519	贵州茅台	--  	371.55	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	371.55	    28.08	0	  0.00	白酒	贵州	0.00	371.55	0	
600543	莫高股份	--  	14.43	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.43	   160.62	0	  0.00	红黄药酒	甘肃	0.00	14.43	0	
600559	老白干酒	--  	22.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.69	    89.74	0	  0.00	白酒	河北	0.00	22.69	0	
600573	惠泉啤酒	--  	14.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.81	  4228.53	0	  0.00	啤酒	福建	0.00	14.81	0	
600600	青岛啤酒	--  	33.44	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	33.44	    18.41	0	  0.00	啤酒	山东	0.00	33.44	0	
600616	金枫酒业	--  	12.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.75	    89.36	0	  0.00	红黄药酒	上海	0.00	12.75	0	
600702	沱牌舍得	--  	28.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	28.00	   117.76	0	  0.00	白酒	四川	0.00	28.00	0	
600779	水井坊	--  	24.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.83	    61.02	0	  0.00	白酒	四川	0.00	24.83	0	
600809	山西汾酒	--  	31.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.46	    45.28	0	  0.00	白酒	山西	0.00	31.46	0	
601579	会稽山	--  	14.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.60	    73.52	0	  0.00	红黄药酒	浙江	0.00	14.60	0	
603198	迎驾贡酒	--  	22.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.06	    27.95	0	  0.00	白酒	安徽	0.00	22.06	0	
