代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000629	*ST钒钛	--  	2.55	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.55	--  	0	  0.00	普钢	四川	0.00	2.55	0	
000655	金岭矿业	--  	9.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.79	--  	0	  0.00	普钢	山东	0.00	9.79	0	
000708	大冶特钢	--  	13.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.48	    20.70	0	  0.00	特种钢	湖北	0.00	13.48	0	
000709	河钢股份	--  	3.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	3.84	    32.77	0	  0.00	普钢	河北	0.00	3.84	0	
000717	*ST韶钢	--  	6.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.20	   147.90	0	  0.00	钢加工	广东	0.00	6.20	0	
000761	本钢板材	--  	6.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.12	    25.05	0	  0.00	钢加工	辽宁	0.00	6.12	0	
000778	新兴铸管	--  	5.54	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.54	    66.69	0	  0.00	钢加工	河北	0.00	5.54	0	
000825	太钢不锈	--  	4.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.93	    25.01	0	  0.00	特种钢	山西	0.00	4.93	0	
000890	法 尔 胜	--  	11.59	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.59	    24.28	0	  0.00	钢加工	江苏	0.00	11.59	0	
000898	鞍钢股份	--  	5.86	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.86	    32.55	0	  0.00	普钢	辽宁	0.00	5.86	0	
000932	华菱钢铁	--  	5.13	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.13	--  	0	  0.00	普钢	湖南	0.00	5.13	0	
000959	首钢股份	--  	7.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.19	   208.47	0	  0.00	普钢	北京	0.00	7.19	0	
000969	安泰科技	--  	10.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.79	   117.98	0	  0.00	钢加工	北京	0.00	10.79	0	
002075	沙钢股份	--  	16.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.12	   203.01	0	  0.00	特种钢	江苏	0.00	16.12	0	
002110	三钢闽光	--  	13.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.46	    26.49	0	  0.00	普钢	福建	0.00	13.46	0	
002132	恒星科技	--  	6.58	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.58	    75.52	0	  0.00	钢加工	河南	0.00	6.58	0	
002318	久立特材	--  	10.07	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.07	    59.38	0	  0.00	特种钢	浙江	0.00	10.07	0	
002359	齐星铁塔	--  	27.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.52	--  	0	  0.00	钢加工	山东	0.00	27.52	0	
002423	*ST中特	--  	13.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.95	--  	0	  0.00	特种钢	河南	0.00	13.95	0	
002443	金洲管道	--  	11.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.94	   109.60	0	  0.00	钢加工	浙江	0.00	11.94	0	
002478	常宝股份	--  	16.02	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.02	    58.43	0	  0.00	普钢	江苏	0.00	16.02	0	
002487	大金重工	--  	9.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.60	    72.62	0	  0.00	钢加工	辽宁	0.00	9.60	0	
