代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	0.00	9.44	0.00	9.44	9.44	0	0	--  	          0.00	--  	--  	--  	9.44	     6.49	0	  0.30	银行	深圳	0.00	9.44	0	
002142	宁波银行	-0.06	18.11	-0.01	18.10	18.10	0	0	--  	          0.00	--  	--  	--  	18.11	     8.35	0	  0.11	银行	浙江	0.00	18.11	0	
002807	江阴银行	0.05	20.90	0.01	20.91	20.91	0	0	--  	          0.00	--  	--  	--  	20.90	    54.30	0	  0.04	银行	江苏	0.00	20.90	0	
002839	张家港行	-5.55	24.88	-1.38	23.50	23.50	0	0	--  	          0.00	--  	--  	--  	24.88	    65.39	0	  0.35	银行	江苏	0.00	24.88	0	
600000	浦发银行	-0.06	16.34	-0.01	16.33	16.33	0	0	--  	          0.00	--  	--  	--  	16.34	     6.51	0	  0.08	银行	上海	0.00	16.34	0	
600015	华夏银行	0.00	11.47	0.00	11.47	11.47	0	0	--  	          0.00	--  	--  	--  	11.47	     6.29	0	  0.02	银行	北京	0.00	11.47	0	
600016	民生银行	0.00	8.86	0.00	8.86	8.86	0	0	--  	          0.00	--  	--  	--  	8.86	     6.19	0	  0.19	银行	北京	0.00	8.86	0	
600036	招商银行	0.00	19.03	0.00	19.03	19.03	0	0	--  	          0.00	--  	--  	--  	19.03	     6.90	0	  0.05	银行	深圳	0.00	19.03	0	
600908	无锡银行	0.00	13.92	0.00	13.92	13.92	0	0	--  	          0.00	--  	--  	--  	13.92	    27.63	0	  0.11	银行	江苏	0.00	13.92	0	
600919	江苏银行	-0.10	10.04	-0.01	10.03	10.03	0	0	--  	          0.00	--  	--  	--  	10.04	    10.50	0	  0.05	银行	江苏	0.00	10.04	0	
600926	杭州银行	-0.58	22.58	-0.13	22.45	22.45	0	0	--  	          0.00	--  	--  	--  	22.58	    13.20	0	  0.09	银行	浙江	0.00	22.58	0	
601009	南京银行	-2.37	11.79	-0.28	11.51	11.51	0	0	--  	          0.00	--  	--  	--  	11.79	     8.43	0	  6.97	银行	江苏	0.00	11.79	0	
601128	常熟银行	-0.39	12.87	-0.05	12.82	12.82	0	0	--  	          0.00	--  	--  	--  	12.87	    27.68	0	  0.02	银行	江苏	0.00	12.87	0	
601166	兴业银行	0.06	16.55	0.01	16.56	16.56	0	0	--  	          0.00	--  	--  	--  	16.55	     5.38	0	  0.24	银行	福建	0.00	16.55	0	
601169	北京银行	0.00	9.91	0.00	9.91	9.91	0	0	--  	          0.00	--  	--  	--  	9.91	     7.56	0	  0.02	银行	北京	0.00	9.91	0	
601229	上海银行	0.08	23.60	0.02	23.62	23.62	0	0	--  	          0.00	--  	--  	--  	23.60	     9.74	0	  0.03	银行	上海	0.00	23.60	0	
601288	农业银行	-0.31	3.26	-0.01	3.25	3.25	0	0	--  	          0.00	--  	--  	--  	3.26	     5.15	0	  6.00	银行	北京	0.00	3.26	0	
601328	交通银行	0.16	6.22	0.01	6.23	6.23	0	0	--  	          0.00	--  	--  	--  	6.22	     6.59	0	  0.16	银行	上海	0.00	6.22	0	
601398	工商银行	-0.21	4.73	-0.01	4.72	4.72	0	0	--  	          0.00	--  	--  	--  	4.73	     5.68	0	  0.55	银行	北京	0.00	4.73	0	
601818	光大银行	-0.24	4.22	-0.01	4.21	4.21	0	0	--  	          0.00	--  	--  	--  	4.22	     6.05	0	  0.13	银行	北京	0.00	4.22	0	
601939	建设银行	-0.17	5.93	-0.01	5.92	5.92	0	0	--  	          0.00	--  	--  	--  	5.93	     5.74	0	  0.35	银行	北京	0.00	5.93	0	
601988	中国银行	0.00	3.67	0.00	3.67	3.67	0	0	--  	          0.00	--  	--  	--  	3.67	     6.01	0	  0.35	银行	北京	0.00	3.67	0	
601997	贵阳银行	0.11	17.46	0.02	17.48	17.48	0	0	--  	          0.00	--  	--  	--  	17.46	    11.16	0	  0.02	银行	贵州	0.00	17.46	0	
601998	中信银行	0.00	6.76	0.00	6.76	6.76	0	0	--  	          0.00	--  	--  	--  	6.76	     7.18	0	  0.04	银行	北京	0.00	6.76	0	
603323	吴江银行	0.21	18.96	0.04	19.00	19.00	0	0	--  	          0.00	--  	--  	--  	18.96	    28.16	0	  0.06	银行	江苏	0.00	18.96	0	
数据来源:通达信
