代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000019	深深宝Ａ	--  	16.32	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.32	--  	0	  0.00	软饮料	深圳	0.00	16.32	0	
000529	广弘控股	--  	10.91	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.91	    60.66	0	  0.00	食品	广东	0.00	10.91	0	
000639	西王食品	--  	23.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.73	    69.53	0	  0.00	食品	山东	0.00	23.73	0	
000716	黑芝麻	--  	8.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.06	    63.74	0	  0.00	食品	广西	0.00	8.06	0	
000848	承德露露	--  	11.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.25	    22.68	0	  0.00	软饮料	河北	0.00	11.25	0	
000893	东凌国际	--  	14.44	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.44	   447.74	0	  0.00	食品	广东	0.00	14.44	0	
000895	双汇发展	--  	21.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.79	    16.45	0	  0.00	食品	河南	0.00	21.79	0	
000911	南宁糖业	--  	15.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.85	--  	0	  0.00	食品	广西	0.00	15.85	0	
000972	中基健康	--  	6.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.22	--  	0	  0.00	食品	新疆	0.00	6.22	0	
002053	云南能投	--  	17.68	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.68	    41.53	0	  0.00	食品	云南	0.00	17.68	0	
002216	三全食品	--  	9.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.96	    89.25	0	  0.00	食品	河南	0.00	9.96	0	
002220	天宝股份	--  	11.97	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.97	    32.77	0	  0.00	食品	辽宁	0.00	11.97	0	
002286	保龄宝	--  	14.97	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.97	   103.37	0	  0.00	食品	山东	0.00	14.97	0	
002329	皇氏集团	--  	14.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.10	    66.77	0	  0.00	乳制品	广西	0.00	14.10	0	
002330	得利斯	--  	11.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.66	   237.48	0	  0.00	食品	山东	0.00	11.66	0	
002387	黑牛食品	--  	17.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.69	   130.23	0	  0.00	软饮料	广东	0.00	17.69	0	
002481	双塔食品	--  	8.74	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.74	    81.40	0	  0.00	食品	山东	0.00	8.74	0	
002495	佳隆股份	--  	5.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.76	   166.96	0	  0.00	食品	广东	0.00	5.76	0	
002507	涪陵榨菜	--  	15.87	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.87	    31.74	0	  0.00	食品	重庆	0.00	15.87	0	
002515	金字火腿	--  	16.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.96	   371.38	0	  0.00	食品	浙江	0.00	16.96	0	
002557	洽洽食品	--  	15.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.94	    22.28	0	  0.00	食品	安徽	0.00	15.94	0	
002570	贝因美	--  	13.74	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.74	--  	0	  0.00	乳制品	浙江	0.00	13.74	0	
002582	好想你	--  	30.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.35	   396.19	0	  0.00	食品	河南	0.00	30.35	0	
002604	龙力生物	--  	10.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.85	    50.25	0	  0.00	食品	山东	0.00	10.85	0	
002626	金达威	--  	15.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.11	    35.73	0	  0.00	食品	福建	0.00	15.11	0	
002650	加加食品	--  	7.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.19	    48.60	0	  0.00	食品	湖南	0.00	7.19	0	
002661	克明面业	--  	15.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.80	    42.00	0	  0.00	食品	湖南	0.00	15.80	0	
002695	煌上煌	--  	24.86	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.86	   140.92	0	  0.00	食品	江西	0.00	24.86	0	
002702	海欣食品	--  	18.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.14	   497.93	0	  0.00	食品	福建	0.00	18.14	0	
002719	麦趣尔	--  	46.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	46.48	    82.35	0	  0.00	乳制品	新疆	0.00	46.48	0	
002726	龙大肉食	--  	19.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.11	    30.97	0	  0.00	食品	山东	0.00	19.11	0	
002732	燕塘乳业	--  	34.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	34.66	    51.41	0	  0.00	乳制品	广东	0.00	34.66	0	
002770	科迪乳业	--  	11.38	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.38	    71.36	0	  0.00	乳制品	河南	0.00	11.38	0	
002820	桂发祥	--  	55.78	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	55.78	    69.18	0	  0.00	食品	天津	0.00	55.78	0	
002840	华统股份	--  	30.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.19	    63.03	0	  0.00	食品	浙江	0.00	30.19	0	
002847	盐津铺子	--  	49.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.30	    73.91	0	  0.00	食品	湖南	0.00	49.30	0	
002852	道道全	--  	74.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	74.92	    36.42	0	--  	食品	湖南	0.00	74.92	0	
300138	晨光生物	--  	19.62	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.62	    48.55	0	  0.00	食品	河北	0.00	19.62	0	
300146	汤臣倍健	--  	11.61	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.61	    31.89	0	  0.00	食品	广东	0.00	11.61	0	
300149	量子高科	--  	19.42	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.42	   126.15	0	  0.00	食品	广东	0.00	19.42	0	
300175	朗源股份	--  	16.68	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.68	   188.47	0	  0.00	食品	山东	0.00	16.68	0	
300401	花园生物	--  	32.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	32.99	   136.72	0	  0.00	食品	浙江	0.00	32.99	0	
600073	上海梅林	--  	10.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.79	    26.12	0	  0.00	食品	上海	0.00	10.79	0	
600186	莲花健康	--  	4.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.99	--  	0	  0.00	食品	河南	0.00	4.99	0	
600191	华资实业	--  	11.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.26	   256.57	0	  0.00	食品	内蒙	0.00	11.26	0	
600298	安琪酵母	--  	20.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.89	    33.73	0	  0.00	食品	湖北	0.00	20.89	0	
600300	维维股份	--  	6.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.85	    89.09	0	  0.00	软饮料	江苏	0.00	6.85	0	
600305	恒顺醋业	--  	11.39	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.39	    44.00	0	  0.00	食品	江苏	0.00	11.39	0	
600419	天润乳业	--  	58.39	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	58.39	    60.75	0	  0.00	乳制品	新疆	0.00	58.39	0	
600429	三元股份	--  	8.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.24	    54.07	0	  0.00	乳制品	北京	0.00	8.24	0	
600597	光明乳业	--  	13.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.08	    28.37	0	  0.00	乳制品	上海	0.00	13.08	0	
600737	中粮糖业	--  	11.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.53	    53.41	0	  0.00	食品	新疆	0.00	11.53	0	
600866	*ST星湖	--  	7.25	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.25	   230.29	0	  0.00	食品	广东	0.00	7.25	0	
600872	中炬高新	--  	15.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.73	    36.71	0	  0.00	食品	广东	0.00	15.73	0	
600873	梅花生物	--  	6.87	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.87	    20.50	0	  0.00	食品	西藏	0.00	6.87	0	
600882	广泽股份	--  	10.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.83	    94.43	0	  0.00	乳制品	上海	0.00	10.83	0	
600887	伊利股份	--  	18.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.52	    19.23	0	  0.00	乳制品	内蒙	0.00	18.52	0	
600962	国投中鲁	--  	18.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.48	  1033.33	0	  0.00	软饮料	北京	0.00	18.48	0	
603020	爱普股份	--  	19.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.73	    30.35	0	  0.00	食品	上海	0.00	19.73	0	
603027	千禾味业	--  	37.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	37.49	    62.41	0	  0.00	食品	四川	0.00	37.49	0	
603288	海天味业	--  	31.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.92	    31.75	0	  0.00	食品	广东	0.00	31.92	0	
603345	安井食品	--  	44.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	44.22	    56.26	0	  0.00	食品	福建	0.00	44.22	0	
603696	安记食品	--  	49.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.04	   148.56	0	  0.00	食品	福建	0.00	49.04	0	
603866	桃李面包	--  	43.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	43.69	    45.36	0	  0.00	食品	辽宁	0.00	43.69	0	
