代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000031	中粮地产	0.36	8.37	0.03	8.36	8.37	405	405	0.00	          0.00	8.37	8.37	8.37	8.34	   148.40	338985	  1.00	全国地产	深圳	0.00	8.37	203	
000060	中金岭南	-0.52	11.48	-0.06	11.47	11.48	666	666	0.00	          0.00	11.48	11.48	11.48	11.54	   116.26	764568	  0.71	铅锌	深圳	0.00	11.48	333	
000089	深圳机场	-0.35	8.59	-0.03	8.57	8.59	371	371	0.00	          0.00	8.59	8.59	8.59	8.62	    32.28	318689	  0.82	机场	深圳	0.00	8.59	186	
000333	美的集团	0.12	33.94	0.04	33.93	33.94	1188	1188	0.00	          0.00	33.94	33.94	33.94	33.90	    12.77	4032072	  0.79	家用电器	广东	0.00	33.94	594	
000338	潍柴动力	0.97	11.40	0.11	11.40	11.41	6788	6787	0.00	          0.03	11.40	11.40	11.40	11.29	    22.73	7738195	  7.01	汽车配件	山东	0.00	11.40	3394	
000402	金 融 街	0.27	11.20	0.03	11.20	11.21	610	609	0.00	          0.00	11.20	11.20	11.20	11.17	    31.23	683088	  1.11	全国地产	北京	0.00	11.20	305	
000418	小天鹅Ａ	-0.15	38.75	-0.06	38.73	38.75	121	121	0.00	          0.00	38.75	38.75	38.75	38.81	    20.86	468875	  0.86	家用电器	江苏	0.00	38.75	61	
000550	江铃汽车	-0.14	28.14	-0.04	28.06	28.15	4	4	0.00	          0.00	28.14	28.14	28.14	28.18	    16.66	11256	  0.04	汽车整车	江西	0.00	28.14	2	
000581	威孚高科	0.17	23.76	0.04	23.73	23.76	72	72	0.00	          0.00	23.76	23.76	23.76	23.72	    13.73	171072	  0.33	汽车配件	江苏	0.00	23.76	36	
000651	格力电器	0.03	28.88	0.01	28.88	28.89	2880	2879	0.00	          0.00	28.88	28.88	28.88	28.87	    11.60	8316776	  0.95	家用电器	广东	0.00	28.88	1440	
000729	燕京啤酒	0.00	7.45	0.00	7.45	7.47	22	22	0.00	          0.00	7.45	7.45	7.45	7.45	    25.47	16390	  0.10	啤酒	北京	0.00	7.45	11	
000858	五 粮 液	-0.05	41.63	-0.02	41.62	41.63	750	750	0.00	          0.00	41.63	41.63	41.63	41.65	    23.23	3122250	  0.84	白酒	四川	0.00	41.63	375	
000895	双汇发展	-0.18	21.75	-0.04	21.73	21.75	176	176	0.00	          0.00	21.75	21.75	21.75	21.79	    16.42	382800	  0.52	食品	河南	0.00	21.75	88	
000937	冀中能源	-0.15	6.85	-0.01	6.85	6.86	429	429	0.00	          0.00	6.85	6.85	6.85	6.86	   223.80	293865	  0.36	煤炭开采	河北	0.00	6.85	215	
000976	春晖股份	0.71	9.92	0.07	9.88	9.92	668	668	0.00	          0.01	9.92	9.92	9.92	9.85	   105.76	662656	  1.19	化纤	广东	0.00	9.92	334	
000999	华润三九	0.15	26.01	0.04	25.98	26.01	46	46	0.00	          0.00	26.01	26.01	26.01	25.97	    21.26	119646	  0.28	中成药	深圳	0.00	26.01	23	
002008	大族激光	0.11	26.31	0.03	26.29	26.31	645	645	0.00	          0.01	26.31	26.31	26.31	26.28	    33.24	1696995	  0.94	电器仪表	深圳	0.00	26.31	323	
002027	分众传媒	0.00	11.63	0.00	11.62	11.63	1082	1082	0.00	          0.00	11.63	11.63	11.63	11.63	    24.22	1258366	  0.95	软件服务	广东	0.00	11.63	541	
002032	苏 泊 尔	-0.59	38.76	-0.23	38.76	38.99	23	23	0.00	          0.00	38.76	38.76	38.76	38.99	    24.75	89148	  0.28	家用电器	浙江	0.00	38.76	12	
