代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000004	国农科技	1.14	39.35	0.45	39.80	39.80	0	0	--  	          0.00	--  	--  	--  	39.35	   168.61	0	  0.74	生物制药	深圳	0.00	39.35	0	
000007	全新好	--  	23.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.81	   237.21	0	  0.00	酒店餐饮	深圳	0.00	23.81	0	
000008	神州高铁	0.12	8.67	0.01	8.68	8.68	0	0	--  	          0.00	--  	--  	--  	8.67	    84.21	0	  0.46	运输设备	北京	0.00	8.67	0	
000010	美丽生态	-0.14	6.98	-0.01	6.97	6.97	0	0	--  	          0.00	--  	--  	--  	6.98	   195.56	0	  1.09	建筑施工	深圳	0.00	6.98	0	
000034	神州数码	0.00	23.50	0.00	23.50	23.50	0	0	--  	          0.00	--  	--  	--  	23.50	    34.53	0	  0.39	综合类	深圳	0.00	23.50	0	
000036	华联控股	0.60	8.39	0.05	8.44	8.44	0	0	--  	          0.00	--  	--  	--  	8.39	    15.09	0	  0.14	全国地产	深圳	0.00	8.39	0	
000038	深大通	0.54	40.97	0.22	41.19	41.19	0	0	--  	          0.00	--  	--  	--  	40.97	    92.34	0	  0.04	广告包装	深圳	0.00	40.97	0	
000056	皇庭国际	0.08	12.85	0.01	12.86	12.86	0	0	--  	          0.00	--  	--  	--  	12.85	   148.09	0	  0.07	房产服务	深圳	0.00	12.85	0	
000059	华锦股份	0.08	12.36	0.01	12.37	12.37	0	0	--  	          0.00	--  	--  	--  	12.36	    12.63	0	  0.06	石油加工	辽宁	0.00	12.36	0	
000061	农 产 品	-0.43	11.60	-0.05	11.55	11.55	0	0	--  	          0.00	--  	--  	--  	11.60	    69.00	0	  0.09	农业综合	深圳	0.00	11.60	0	
000070	特发信息	0.04	26.14	0.01	26.15	26.15	0	0	--  	          0.00	--  	--  	--  	26.14	    49.38	0	  0.19	通信设备	深圳	0.00	26.14	0	
000150	宜华健康	0.18	28.46	0.05	28.51	28.51	0	0	--  	          0.00	--  	--  	--  	28.46	     9.89	0	  0.09	医疗保健	广东	0.00	28.46	0	
000420	吉林化纤	-0.24	4.09	-0.01	4.08	4.08	0	0	--  	          0.00	--  	--  	--  	4.09	   270.64	0	  0.32	化纤	吉林	0.00	4.09	0	
000425	徐工机械	-0.25	4.02	-0.01	4.01	4.01	0	0	--  	          0.00	--  	--  	--  	4.02	   127.77	0	  0.30	工程机械	江苏	0.00	4.02	0	
000510	金路集团	0.00	11.36	0.00	11.36	11.36	0	0	--  	          0.00	--  	--  	--  	11.36	   287.37	0	  0.12	化工原料	四川	0.00	11.36	0	
