代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000009	中国宝安	-0.21	9.75	-0.02	9.73	9.73	0	0	--  	          0.00	--  	--  	--  	9.75	    74.71	0	  0.14	综合类	深圳	0.00	9.75	0	
000023	深天地Ａ	0.66	30.40	0.20	30.60	30.60	0	0	--  	          0.00	--  	--  	--  	30.40	   382.65	0	  0.09	其他建材	深圳	0.00	30.40	0	
000033	*ST新都	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	0	  0.00	酒店餐饮	深圳	--  	0.00	0	
000039	中集集团	0.43	16.34	0.07	16.41	16.41	0	0	--  	          0.00	--  	--  	--  	16.34	--  	0	  0.11	轻工机械	深圳	0.00	16.34	0	
000048	康达尔	0.00	32.71	0.00	32.71	32.71	0	0	--  	          0.00	--  	--  	--  	32.71	   318.39	0	  0.31	饲料	深圳	0.00	32.71	0	
000506	中润资源	1.16	10.36	0.12	10.48	10.48	0	0	--  	          0.00	--  	--  	--  	10.36	  1104.70	0	  0.75	区域地产	山东	0.00	10.36	0	
000519	中兵红箭	-0.12	16.68	-0.02	16.66	16.66	0	0	--  	          0.00	--  	--  	--  	16.68	   377.56	0	  0.21	矿物制品	湖南	0.00	16.68	0	
000520	长航凤凰	-0.25	8.06	-0.02	8.04	8.04	0	0	--  	          0.00	--  	--  	--  	8.06	--  	0	  0.13	水运	湖北	0.00	8.06	0	
000539	粤电力Ａ	0.00	5.53	0.00	5.53	5.53	0	0	--  	          0.00	--  	--  	--  	5.53	    14.75	0	  0.24	火力发电	广东	0.00	5.53	0	
000567	海德股份	0.09	33.97	0.03	34.00	34.00	0	0	--  	          0.00	--  	--  	--  	33.97	  2375.41	0	  0.09	区域地产	海南	0.00	33.97	0	
000586	汇源通信	--  	21.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.28	  1148.64	0	  0.00	通信设备	四川	0.00	21.28	0	
000615	京汉股份	1.01	11.85	0.12	11.97	11.97	0	0	--  	          0.00	--  	--  	--  	11.85	--  	0	  0.37	化纤	湖北	0.00	11.85	0	
000628	高新发展	0.29	13.91	0.04	13.95	13.95	0	0	--  	          0.00	--  	--  	--  	13.91	   106.58	0	  0.01	园区开发	四川	0.00	13.91	0	
000691	ST亚太	--  	9.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.24	 15386.41	0	  0.00	区域地产	甘肃	0.00	9.24	0	
000712	锦龙股份	0.62	22.51	0.14	22.65	22.65	0	0	--  	          0.00	--  	--  	--  	22.51	    55.49	0	  0.47	多元金融	广东	0.00	22.51	0	
000716	黑芝麻	--  	8.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.06	    63.74	0	  0.00	食品	广西	0.00	8.06	0	
000736	中房地产	-0.22	18.34	-0.04	18.30	18.30	0	0	--  	          0.00	--  	--  	--  	18.34	    43.42	0	  0.10	全国地产	重庆	0.00	18.34	0	
000752	西藏发展	0.13	15.78	0.02	15.80	15.80	0	0	--  	          0.00	--  	--  	--  	15.78	   723.12	0	  0.13	啤酒	西藏	0.00	15.78	0	
000767	漳泽电力	0.00	3.96	0.00	3.96	3.96	0	0	--  	          0.00	--  	--  	--  	3.96	 27642.22	0	  2.58	火力发电	山西	0.00	3.96	0	
000792	盐湖股份	0.05	18.62	0.01	18.63	18.63	0	0	--  	          0.00	--  	--  	--  	18.62	    99.67	0	  0.42	农药化肥	青海	0.00	18.62	0	
000806	银河生物	-0.08	12.25	-0.01	12.24	12.24	0	0	--  	          0.00	--  	--  	--  	12.25	  2876.42	0	  0.55	生物制药	广西	0.00	12.25	0	
000815	美利云	0.00	18.50	0.00	18.50	18.50	0	0	--  	          0.00	--  	--  	--  	18.50	--  	0	  0.18	造纸	宁夏	0.00	18.50	0	
000833	贵糖股份	-0.11	9.40	-0.01	9.39	9.39	0	0	--  	          0.00	--  	--  	--  	9.40	--  	0	  0.46	造纸	广西	0.00	9.40	0	
000875	吉电股份	-0.16	6.08	-0.01	6.07	6.07	0	0	--  	          0.00	--  	--  	--  	6.08	   162.96	0	  0.04	火力发电	吉林	0.00	6.08	0	
000893	东凌国际	0.00	14.44	0.00	14.44	14.44	0	0	--  	          0.00	--  	--  	--  	14.44	   447.74	0	  3.13	食品	广东	0.00	14.44	0	
000911	南宁糖业	0.32	15.85	0.05	15.90	15.90	0	0	--  	          0.00	--  	--  	--  	15.85	--  	0	  0.36	食品	广西	0.00	15.85	0	
000931	中 关 村	-0.31	9.68	-0.03	9.65	9.65	0	0	--  	          0.00	--  	--  	--  	9.68	   968.82	0	  0.25	区域地产	北京	0.00	9.68	0	
000966	长源电力	0.17	5.95	0.01	5.96	5.96	0	0	--  	          0.00	--  	--  	--  	5.95	     9.30	0	  0.09	火力发电	湖北	0.00	5.95	0	
000978	桂林旅游	0.00	11.47	0.00	11.47	11.47	0	0	--  	          0.00	--  	--  	--  	11.47	    62.98	0	  0.17	旅游景点	广西	0.00	11.47	0	
002012	凯恩股份	0.58	13.89	0.08	13.97	13.97	0	0	--  	          0.00	--  	--  	--  	13.89	--  	0	  0.09	造纸	浙江	0.00	13.89	0	
002031	巨轮智能	0.00	3.41	0.00	3.41	3.41	0	0	--  	          0.00	--  	--  	--  	3.41	   210.22	0	  0.12	汽车配件	广东	0.00	3.41	0	
002037	久联发展	--  	16.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.96	   210.00	0	  0.00	化工原料	贵州	0.00	16.96	0	
002039	黔源电力	0.00	16.43	0.00	16.43	16.43	0	0	--  	          0.00	--  	--  	--  	16.43	    19.47	0	  0.23	水力发电	贵州	0.00	16.43	0	
002054	德美化工	-0.09	11.69	-0.01	11.68	11.68	0	0	--  	          0.00	--  	--  	--  	11.69	    28.07	0	  0.56	化工原料	广东	0.00	11.69	0	
002055	得润电子	6.62	24.01	1.59	25.60	25.60	0	0	--  	          0.00	--  	--  	--  	24.01	   106.05	0	  7.14	元器件	深圳	0.00	24.01	0	
002096	南岭民爆	0.00	14.35	0.00	14.35	14.35	0	0	--  	          0.00	--  	--  	--  	14.35	    93.60	0	  0.02	化工原料	湖南	0.00	14.35	0	
002099	海翔药业	0.00	8.20	0.00	8.20	8.20	0	0	--  	          0.00	--  	--  	--  	8.20	    22.99	0	  0.24	化学制药	浙江	0.00	8.20	0	
002104	恒宝股份	0.09	11.04	0.01	11.05	11.05	0	0	--  	          0.00	--  	--  	--  	11.04	    47.18	0	  0.35	元器件	江苏	0.00	11.04	0	
002112	三变科技	1.14	17.50	0.20	17.70	17.70	0	0	--  	          0.00	--  	--  	--  	17.50	   142.11	0	  0.43	电气设备	浙江	0.00	17.50	0	
002116	中国海诚	--  	13.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.73	    53.05	0	  0.00	建筑施工	上海	0.00	13.73	0	
002122	天马股份	0.09	11.16	0.01	11.17	11.17	0	0	--  	          0.00	--  	--  	--  	11.16	   349.06	0	  0.14	机械基件	浙江	0.00	11.16	0	
002130	沃尔核材	-0.07	14.11	-0.01	14.10	14.10	0	0	--  	          0.00	--  	--  	--  	14.11	    72.62	0	  0.16	电气设备	深圳	0.00	14.11	0	
002140	东华科技	0.28	14.52	0.04	14.56	14.56	0	0	--  	          0.00	--  	--  	--  	14.52	    59.13	0	  0.39	建筑施工	安徽	0.00	14.52	0	
002177	御银股份	0.53	7.60	0.04	7.64	7.64	0	0	--  	          0.00	--  	--  	--  	7.60	   129.37	0	  0.44	电脑设备	广东	0.00	7.60	0	
002178	延华智能	0.27	11.31	0.03	11.34	11.34	0	0	--  	          0.00	--  	--  	--  	11.31	   155.79	0	  0.09	建筑施工	上海	0.00	11.31	0	
002180	艾派克	0.00	28.55	0.00	28.55	28.55	0	0	--  	          0.00	--  	--  	--  	28.55	    84.25	0	  0.01	电脑设备	广东	0.00	28.55	0	
002184	海得控制	--  	19.63	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.63	   344.74	0	  0.00	软件服务	上海	0.00	19.63	0	
002201	九鼎新材	0.06	16.99	0.01	17.00	17.00	0	0	--  	          0.00	--  	--  	--  	16.99	   433.48	0	  0.15	玻璃	江苏	0.00	16.99	0	
002213	特 尔 佳	0.00	27.80	0.00	27.80	27.80	0	0	--  	          0.00	--  	--  	--  	27.80	   363.33	0	  0.07	汽车配件	深圳	0.00	27.80	0	
002250	联化科技	-0.45	15.65	-0.07	15.58	15.58	0	0	--  	          0.00	--  	--  	--  	15.65	    44.38	0	  0.07	化工原料	浙江	0.00	15.65	0	
002316	键桥通讯	--  	13.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.65	--  	0	  0.00	软件服务	深圳	0.00	13.65	0	
