代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
001979	招商蛇口	-0.28	18.05	-0.05	18.04	18.05	1618	1618	0.00	          0.01	18.05	18.05	18.05	18.10	    19.07	2920490	  1.23	全国地产	深圳	0.00	18.05	809	
002747	埃斯顿	--  	41.34	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	41.34	   213.48	0	  0.00	机械基件	江苏	0.00	41.34	0	
002748	世龙实业	0.35	22.72	0.08	22.66	22.72	169	169	0.00	          0.02	22.72	22.72	22.72	22.64	    57.79	383968	  0.62	化工原料	江西	0.00	22.72	85	
002749	国光股份	-0.33	86.51	-0.29	86.51	86.66	23	23	0.00	          0.01	86.51	86.51	86.51	86.80	    38.49	198973	  0.49	农药化肥	四川	0.00	86.51	12	
002750	龙津药业	0.46	15.29	0.07	15.23	15.30	50	50	0.00	          0.00	15.29	15.29	15.29	15.22	    62.48	76450	  0.35	中成药	云南	0.00	15.29	25	
002751	易尚展示	0.07	43.09	0.03	43.09	43.40	14	14	0.00	          0.00	43.09	43.09	43.09	43.06	   400.44	60326	  0.11	家居用品	深圳	0.00	43.09	7	
002752	昇兴股份	0.44	20.57	0.09	20.57	20.60	74	74	0.00	          0.01	20.57	20.57	20.57	20.48	    72.10	152218	  0.50	广告包装	福建	0.00	20.57	37	
002753	永东股份	0.06	30.92	0.02	30.90	30.92	1	1	0.00	          0.00	30.92	30.92	30.92	30.90	    69.44	3092	  0.02	化工原料	山西	0.00	30.92	1	
002755	东方新星	0.00	42.89	0.00	42.89	43.00	16	15	0.00	          0.00	42.89	42.89	42.89	42.89	  4138.97	67380	  0.26	建筑施工	北京	0.00	42.89	8	
002756	永兴特钢	--  	29.17	--  	29.17	29.22	0	0	--  	          0.00	--  	--  	--  	29.17	    41.41	0	  0.00	特种钢	浙江	0.00	29.17	0	
002757	南兴装备	0.00	39.75	0.00	39.75	39.85	3	3	0.00	          0.00	39.75	39.75	39.75	39.75	    72.05	11925	  0.05	家居用品	广东	0.00	39.75	2	
002758	华通医药	-0.15	27.08	-0.04	27.05	27.08	37	37	0.00	          0.00	27.08	27.08	27.08	27.12	    95.19	100196	  0.25	医药商业	浙江	0.00	27.08	19	
002759	天际股份	0.45	26.50	0.12	26.39	26.50	129	129	0.00	          0.02	26.50	26.50	26.50	26.38	   226.27	341850	  1.34	家用电器	广东	0.00	26.50	65	
002760	凤形股份	0.20	39.13	0.08	39.13	39.18	33	33	0.00	          0.01	39.13	39.13	39.13	39.05	   336.62	129129	  0.42	机械基件	安徽	0.00	39.13	17	
002761	多喜爱	--  	47.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	47.70	   439.64	0	  0.00	纺织	湖南	0.00	47.70	0	
002762	金发拉比	0.16	56.10	0.09	56.02	56.10	30	30	0.00	          0.01	56.10	56.10	56.10	56.01	   173.50	168300	  0.19	服饰	广东	0.00	56.10	15	
002763	汇洁股份	--  	32.38	--  	32.45	32.58	0	0	--  	          0.00	--  	--  	--  	32.38	    32.50	0	  0.00	服饰	深圳	0.00	32.38	0	
002765	蓝黛传动	-0.53	30.00	-0.16	30.00	30.22	42	42	0.00	          0.01	30.00	30.00	30.00	30.16	    59.91	126000	  0.78	汽车配件	重庆	0.00	30.00	21	
002766	索菱股份	3.12	38.98	1.18	38.83	38.98	1610	1610	0.00	          0.18	38.98	38.98	38.98	37.80	    88.16	6275780	 10.73	汽车配件	深圳	0.00	38.98	805	
002767	先锋电子	-0.21	38.66	-0.08	38.65	38.66	23	23	0.00	          0.01	38.66	38.66	38.66	38.74	   133.39	88918	  0.09	电器仪表	浙江	0.00	38.66	12	
002768	国恩股份	0.04	25.91	0.01	25.91	26.00	112	111	0.00	          0.01	25.91	25.91	25.91	25.90	    47.50	288897	  0.75	塑料	山东	0.00	25.91	56	
002769	普路通	0.09	21.35	0.02	21.35	21.42	32	31	0.00	          0.00	21.35	21.35	21.35	21.33	    38.52	67253	  0.25	仓储物流	深圳	0.00	21.35	16	
002770	科迪乳业	0.00	11.38	0.00	11.37	11.38	262	262	0.00	          0.01	11.38	11.38	11.38	11.38	    71.36	298156	  0.29	乳制品	河南	0.00	11.38	131	
002771	真视通	-0.32	68.66	-0.22	68.61	68.85	9	9	0.00	          0.00	68.66	68.66	68.66	68.88	    98.00	61794	  0.43	软件服务	北京	0.00	68.66	5	
002772	众兴菌业	-0.26	19.21	-0.05	19.21	19.29	30	30	0.00	          0.00	19.21	19.21	19.21	19.26	    45.24	58033	  0.39	种植业	甘肃	0.00	19.21	15	
002773	康弘药业	--  	47.51	--  	47.30	47.51	0	0	--  	          0.00	--  	--  	--  	47.51	    77.44	0	  0.00	中成药	四川	0.00	47.51	0	
002775	文科园林	0.66	22.82	0.15	22.82	22.84	243	243	0.00	          0.02	22.82	22.82	22.82	22.67	    40.55	554526	  1.55	建筑施工	深圳	0.00	22.82	122	
002776	柏堡龙	0.00	28.88	0.00	28.82	28.88	2	2	0.00	          0.00	28.88	28.88	28.88	28.88	    65.84	5776	  0.03	服饰	广东	0.00	28.88	1	
002777	久远银海	0.24	88.17	0.21	88.09	88.22	37	37	0.00	          0.02	88.17	88.17	88.17	87.96	   148.87	326229	  1.32	软件服务	四川	0.00	88.17	19	
002778	高科石化	0.00	41.18	0.00	41.18	41.30	56	56	0.00	          0.01	41.18	41.18	41.18	41.18	   109.35	230608	  0.81	石油加工	江苏	0.00	41.18	28	
002779	中坚科技	0.85	37.84	0.32	37.52	37.84	131	131	0.00	          0.03	37.84	37.84	37.84	37.52	   109.34	495704	  0.71	农用机械	浙江	0.00	37.84	66	
002780	三夫户外	-0.08	66.45	-0.05	66.45	66.49	19	19	0.00	          0.01	66.45	66.45	66.45	66.50	   126.77	126255	  0.22	其他商业	北京	0.00	66.45	10	
002781	奇信股份	-0.28	32.51	-0.09	32.51	32.59	11	11	0.00	          0.00	32.51	32.51	32.51	32.60	    57.50	35761	  0.18	装修装饰	深圳	0.00	32.51	6	
002782	可立克	0.00	24.82	0.00	24.82	24.83	26	26	0.00	          0.00	24.82	24.82	24.82	24.82	   125.86	64532	  0.14	电气设备	深圳	0.00	24.82	13	
002783	凯龙股份	-0.29	89.60	-0.26	89.59	89.60	120	120	0.00	          0.03	89.60	89.60	89.60	89.86	    66.41	1075200	  0.59	化工原料	湖北	0.00	89.60	60	
002785	万里石	0.04	26.77	0.01	26.77	26.90	52	52	0.00	          0.01	26.77	26.77	26.77	26.76	   268.99	139204	  0.28	其他建材	福建	0.00	26.77	26	
002786	银宝山新	0.40	20.16	0.08	20.15	20.16	107	107	0.00	          0.01	20.16	20.16	20.16	20.08	    85.40	215712	  0.58	专用机械	深圳	0.00	20.16	54	
002787	华源控股	0.00	37.94	0.00	37.94	37.95	76	76	0.00	          0.01	37.94	37.94	37.94	37.94	    44.85	288344	  0.88	广告包装	江苏	0.00	37.94	38	
002788	鹭燕医药	0.04	50.66	0.02	50.65	50.66	68	68	0.00	          0.01	50.66	50.66	50.66	50.64	    61.92	344488	  0.67	医药商业	福建	0.00	50.66	34	
002790	瑞尔特	0.14	43.68	0.06	43.66	43.68	55	55	0.00	          0.01	43.68	43.68	43.68	43.62	    43.01	240240	  1.12	家居用品	福建	0.00	43.68	28	
300374	恒通科技	2.38	24.08	0.56	24.08	24.10	2284	2284	0.00	          0.19	24.08	24.08	24.08	23.52	   294.26	5499872	  5.68	其他建材	北京	0.00	24.08	1142	
300404	博济医药	-0.20	34.20	-0.07	34.10	34.20	2	2	0.00	          0.00	34.20	34.20	34.20	34.27	  1174.03	6840	  0.04	医疗保健	广东	0.00	34.20	1	
300414	中光防雷	0.00	31.45	0.00	31.45	31.65	6	6	0.00	          0.00	31.45	31.45	31.45	31.45	    85.54	18870	  0.13	元器件	四川	0.00	31.45	3	
300424	航新科技	-0.39	61.16	-0.24	60.91	61.16	29	29	0.00	          0.00	61.16	61.16	61.16	61.40	   165.30	177364	  0.22	航空	广东	0.00	61.16	15	
300428	四通新材	--  	27.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.15	    97.71	0	  0.00	铝	河北	0.00	27.15	0	
300429	强力新材	0.03	32.65	0.01	32.65	32.66	39	39	0.00	          0.00	32.65	32.65	32.65	32.64	    66.58	127335	  0.24	化工原料	江苏	0.00	32.65	20	
300430	诚益通	0.09	44.05	0.04	44.05	44.80	4	4	0.00	          0.00	44.05	44.05	44.05	44.01	    89.24	17620	  0.12	电器仪表	北京	0.00	44.05	2	
300431	暴风集团	0.36	42.00	0.15	42.00	42.02	149	149	0.00	          0.01	42.00	42.00	42.00	41.85	   450.40	625800	  0.36	互联网	北京	0.00	42.00	75	
