代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
002211	宏达新材	0.16	12.25	0.02	12.24	12.25	176	176	0.00	          0.01	12.25	12.25	12.25	12.23	--  	215600	  0.33	橡胶	江苏	0.00	12.25	88	
002334	英威腾	-0.24	8.45	-0.02	8.45	8.46	88	88	0.00	          0.00	8.45	8.45	8.45	8.47	    81.00	74360	  0.18	电气设备	深圳	0.00	8.45	44	
002360	同德化工	0.89	11.37	0.10	11.26	11.37	39	39	0.00	          0.00	11.37	11.37	11.37	11.27	    64.00	44343	  0.33	化工原料	山西	0.00	11.37	20	
002379	*ST鲁丰	--  	8.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.04	   745.89	0	  0.00	铝	山东	0.00	8.04	0	
002422	科伦药业	0.18	16.66	0.03	16.63	16.66	195	195	0.00	          0.00	16.66	16.66	16.66	16.63	    33.48	324870	  0.90	化学制药	四川	0.00	16.66	98	
002441	众业达	-0.15	12.89	-0.02	12.88	12.89	20	20	0.00	          0.00	12.89	12.89	12.89	12.91	    45.60	25780	  0.17	批发业	广东	0.00	12.89	10	
002448	中原内配	9.04	12.30	1.02	12.29	12.30	7579	7579	0.00	          0.17	12.30	12.30	12.30	11.28	    32.92	9322170	 17.46	汽车配件	河南	0.00	12.30	3790	
002474	榕基软件	-0.30	13.32	-0.04	13.32	13.38	34	34	0.00	          0.00	13.32	13.32	13.32	13.36	   305.20	45288	  0.08	软件服务	福建	0.00	13.32	17	
002515	金字火腿	0.12	16.98	0.02	16.97	16.98	55	55	0.00	          0.00	16.98	16.98	16.98	16.96	   371.82	93390	  0.11	食品	浙江	0.00	16.98	28	
002687	乔治白	--  	11.06	--  	11.06	11.09	0	0	--  	          0.00	--  	--  	--  	11.06	    66.45	0	  0.00	服饰	浙江	0.00	11.06	0	
002801	微光股份	0.01	121.67	0.01	121.67	121.69	68	68	0.00	          0.05	121.67	121.67	121.67	121.66	    76.08	827356	  1.42	电气设备	浙江	0.00	121.67	34	
300028	金亚科技	0.00	13.20	0.00	13.20	13.21	831	831	0.00	          0.03	13.20	13.20	13.20	13.20	   390.45	1096920	  1.19	通信设备	四川	0.00	13.20	416	
300099	尤洛卡	-1.13	12.28	-0.14	12.28	12.29	2486	2486	0.00	          0.07	12.28	12.28	12.28	12.42	--  	3052808	  2.52	电器仪表	山东	0.00	12.28	1243	
300116	坚瑞沃能	-0.69	21.55	-0.15	21.55	21.61	430	430	0.00	          0.01	21.55	21.55	21.55	21.70	    61.74	926650	  0.60	专用机械	陕西	0.00	21.55	215	
300248	新开普	-0.45	22.20	-0.10	22.20	22.38	630	630	0.00	          0.03	22.20	22.20	22.20	22.30	   174.58	1398600	  2.80	软件服务	河南	0.00	22.20	315	
300343	联创互联	-0.15	19.54	-0.03	19.54	19.55	151	151	0.00	          0.01	19.54	19.54	19.54	19.57	    53.74	295054	  0.52	互联网	山东	0.00	19.54	76	
300408	三环集团	0.17	18.21	0.03	18.21	18.28	76	76	0.00	          0.00	18.21	18.21	18.21	18.18	    30.68	138396	  0.22	元器件	广东	0.00	18.21	38	
300432	富临精工	-0.92	25.81	-0.24	25.81	25.98	341	341	0.00	          0.02	25.81	25.81	25.81	26.05	    61.34	880121	  0.95	汽车配件	四川	0.00	25.81	171	
