代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	-0.11	9.43	-0.01	9.43	9.44	1805	1805	0.00	          0.00	9.43	9.43	9.43	9.44	     6.49	1702115	  1.17	银行	深圳	0.00	9.43	903	
002142	宁波银行	-0.06	18.10	-0.01	18.09	18.10	100	100	0.00	          0.00	18.10	18.10	18.10	18.11	     8.35	181000	  0.19	银行	浙江	0.00	18.10	50	
002807	江阴银行	-0.48	20.80	-0.10	20.74	20.80	494	494	0.00	          0.02	20.80	20.80	20.80	20.90	    54.04	1027520	  0.23	银行	江苏	0.00	20.80	247	
002839	张家港行	-0.88	24.66	-0.22	24.66	24.67	1225	1225	0.00	          0.07	24.66	24.66	24.66	24.88	    64.82	3020850	  0.63	银行	江苏	0.00	24.66	613	
600015	华夏银行	-0.09	11.46	-0.01	11.46	11.47	116	116	0.00	          0.00	11.46	11.46	11.46	11.47	     6.28	132936	  0.16	银行	北京	0.00	11.46	58	
600908	无锡银行	0.00	13.92	0.00	13.91	13.92	588	588	0.00	          0.03	13.92	13.92	13.92	13.92	    27.63	818496	  0.47	银行	江苏	0.00	13.92	294	
600919	江苏银行	-0.10	10.03	-0.01	10.02	10.03	1209	1209	0.00	          0.01	10.03	10.03	10.03	10.04	    10.49	1212627	  0.63	银行	江苏	0.00	10.03	605	
600926	杭州银行	-0.49	22.47	-0.11	22.47	22.48	444	444	0.00	          0.02	22.47	22.47	22.47	22.58	    13.14	997668	  0.63	银行	浙江	0.00	22.47	222	
601009	南京银行	0.00	11.79	0.00	11.78	11.79	389	389	0.00	          0.00	11.79	11.79	11.79	11.79	     8.43	458631	  0.35	银行	江苏	0.00	11.79	195	
601128	常熟银行	-0.47	12.81	-0.06	12.81	12.82	569	569	0.00	          0.03	12.81	12.81	12.81	12.87	    27.55	728889	  0.32	银行	江苏	0.00	12.81	285	
601169	北京银行	0.10	9.92	0.01	9.91	9.92	112	112	0.00	          0.00	9.92	9.92	9.92	9.91	     7.57	111104	  0.15	银行	北京	0.00	9.92	56	
601229	上海银行	0.25	23.66	0.06	23.65	23.66	1262	1262	0.00	          0.02	23.66	23.66	23.66	23.60	     9.76	2985892	  1.58	银行	上海	0.00	23.66	631	
601997	贵阳银行	-0.17	17.43	-0.03	17.41	17.43	235	235	0.00	          0.00	17.43	17.43	17.43	17.46	    11.14	409605	  0.26	银行	贵州	0.00	17.43	118	
603323	吴江银行	-0.16	18.93	-0.03	18.92	18.93	615	615	0.00	          0.06	18.93	18.93	18.93	18.96	    28.11	1164195	  0.46	银行	江苏	0.00	18.93	308	
数据来源:通达信
