代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000016	深康佳Ａ	0.22	4.50	0.01	4.50	4.51	487	487	0.00	          0.00	4.50	4.50	4.50	4.49	--  	219150	  1.18	家用电器	深圳	0.00	4.50	244	
000028	国药一致	0.30	70.54	0.21	70.51	70.54	11	11	0.00	          0.00	70.54	70.54	70.54	70.33	    31.34	77594	  0.23	医药商业	深圳	0.00	70.54	6	
000029	深深房Ａ	--  	11.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.17	    35.78	0	  0.00	区域地产	深圳	0.00	11.17	0	
000036	华联控股	0.24	8.41	0.02	8.40	8.41	174	174	0.00	          0.00	8.41	8.41	8.41	8.39	    15.13	146334	  0.69	全国地产	深圳	0.00	8.41	87	
000061	农 产 品	0.00	11.60	0.00	11.56	11.60	200	200	0.00	          0.00	11.60	11.60	11.60	11.60	    69.00	232000	  0.93	农业综合	深圳	0.00	11.60	100	
000513	丽珠集团	0.18	54.83	0.10	54.83	54.90	36	36	0.00	          0.00	54.83	54.83	54.83	54.73	    28.47	197388	  0.48	中成药	广东	0.00	54.83	18	
000516	国际医学	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	    60.08	0	  0.00	百货	陕西	0.00	7.90	0	
000547	航天发展	0.00	15.57	0.00	15.57	15.60	152	152	0.00	          0.00	15.57	15.57	15.57	15.57	   112.43	236664	  0.23	通信设备	福建	0.00	15.57	76	
000553	沙隆达Ａ	0.00	14.95	0.00	14.95	14.96	19	19	0.00	          0.00	14.95	14.95	14.95	14.95	   324.85	28405	  0.07	农药化肥	湖北	0.00	14.95	10	
000568	泸州老窖	0.20	40.71	0.08	40.71	40.75	177	177	0.00	          0.00	40.71	40.71	40.71	40.63	    28.42	720567	  0.45	白酒	四川	0.00	40.71	89	
000573	粤宏远Ａ	-0.21	9.42	-0.02	9.41	9.42	161	161	0.00	          0.00	9.42	9.42	9.42	9.44	   184.58	151662	  0.24	区域地产	广东	0.00	9.42	81	
000584	友利控股	--  	11.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.85	--  	0	  0.00	化纤	江苏	0.00	11.85	0	
000592	平潭发展	0.16	6.42	0.01	6.41	6.42	131	131	0.00	          0.00	6.42	6.42	6.42	6.41	   436.59	84102	  0.24	林业	福建	0.00	6.42	66	
000596	古井贡酒	-0.18	54.37	-0.10	54.37	54.47	49	49	0.00	          0.00	54.37	54.37	54.37	54.47	    35.26	266413	  0.49	白酒	安徽	0.00	54.37	25	
000673	当代东方	--  	13.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.53	    59.33	0	  0.00	影视音像	山西	0.00	13.53	0	
000676	智度股份	0.00	18.22	0.00	18.11	18.22	18	18	0.00	          0.00	18.22	18.22	18.22	18.22	    87.87	32796	  0.06	互联网	河南	0.00	18.22	9	
000718	苏宁环球	0.14	7.28	0.01	7.27	7.28	782	782	0.00	          0.00	7.28	7.28	7.28	7.27	    20.57	569296	  1.42	区域地产	吉林	0.00	7.28	391	
000751	锌业股份	-0.17	5.97	-0.01	5.96	5.97	497	497	0.00	          0.00	5.97	5.97	5.97	5.98	    66.76	296709	  0.52	铅锌	辽宁	0.00	5.97	249	
000762	西藏矿业	-0.11	18.02	-0.02	18.00	18.02	247	247	0.00	          0.01	18.02	18.02	18.02	18.04	   546.10	445094	  0.50	小金属	西藏	0.00	18.02	124	
000766	通化金马	0.11	18.00	0.02	18.00	18.03	8	8	0.00	          0.00	18.00	18.00	18.00	17.98	    97.24	14400	  0.08	中成药	吉林	0.00	18.00	4	
000768	中航飞机	-0.21	24.00	-0.05	24.00	24.01	1620	1620	0.00	          0.01	24.00	24.00	24.00	24.05	   422.10	3888000	  1.44	航空	陕西	0.00	24.00	810	
000782	美达股份	-0.36	11.19	-0.04	11.19	11.23	193	193	0.00	          0.01	11.19	11.19	11.19	11.23	--  	215967	  0.33	化纤	广东	0.00	11.19	97	
000797	中国武夷	0.16	18.83	0.03	18.83	18.84	77	77	0.00	          0.00	18.83	18.83	18.83	18.80	   553.39	145010	  0.58	全国地产	福建	0.00	18.83	39	
000818	方大化工	0.07	13.53	0.01	13.53	13.55	519	519	0.00	          0.01	13.53	13.53	13.53	13.52	   168.96	702207	  1.12	化工原料	辽宁	0.00	13.53	260	
000901	航天科技	0.19	36.41	0.07	36.41	36.45	177	177	0.00	          0.01	36.41	36.41	36.41	36.34	   400.62	644457	  0.84	航空	黑龙江	0.00	36.41	89	
000908	景峰医药	-0.19	10.35	-0.02	10.33	10.35	4	4	0.00	          0.00	10.35	10.35	10.35	10.37	    40.85	4140	  0.04	化学制药	湖南	0.00	10.35	2	
000910	大亚圣象	0.22	22.63	0.05	22.63	22.68	154	154	0.00	          0.00	22.63	22.63	22.63	22.58	    31.94	348502	  0.81	家居用品	江苏	0.00	22.63	77	
000922	佳电股份	0.09	10.80	0.01	10.80	10.81	401	401	0.00	          0.01	10.80	10.80	10.80	10.79	--  	433080	  0.43	电气设备	黑龙江	0.00	10.80	201	
