代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000006	深振业Ａ	0.00	8.76	0.00	8.76	8.76	0	0	--  	          0.00	--  	--  	--  	8.76	    77.47	0	  0.86	区域地产	深圳	0.00	8.76	0	
000031	中粮地产	0.48	8.34	0.04	8.38	8.38	0	0	--  	          0.00	--  	--  	--  	8.34	   147.87	0	  1.00	全国地产	深圳	0.00	8.34	0	
000035	中国天楹	-0.27	7.44	-0.02	7.42	7.42	0	0	--  	          0.00	--  	--  	--  	7.44	    51.14	0	  0.27	环境保护	江苏	0.00	7.44	0	
000049	德赛电池	2.36	51.19	1.21	52.40	52.40	0	0	--  	          0.00	--  	--  	--  	51.19	    41.15	0	  9.83	电气设备	深圳	0.00	51.19	0	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	
000070	特发信息	0.15	26.14	0.04	26.18	26.18	0	0	--  	          0.00	--  	--  	--  	26.14	    49.38	0	  0.24	通信设备	深圳	0.00	26.14	0	
000151	中成股份	0.05	18.84	0.01	18.85	18.85	0	0	--  	          0.00	--  	--  	--  	18.84	    55.36	0	  0.24	商贸代理	北京	0.00	18.84	0	
000413	东旭光电	--  	10.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.21	    47.18	0	  0.00	元器件	河北	0.00	10.21	0	
000516	国际医学	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	    60.08	0	  0.00	百货	陕西	0.00	7.90	0	
000529	广弘控股	--  	10.91	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.91	    60.66	0	  0.00	食品	广东	0.00	10.91	0	
000552	靖远煤电	0.00	4.00	0.00	4.00	4.00	0	0	--  	          0.00	--  	--  	--  	4.00	    57.20	0	  1.95	煤炭开采	甘肃	0.00	4.00	0	
000612	焦作万方	0.27	11.08	0.03	11.11	11.11	0	0	--  	          0.00	--  	--  	--  	11.08	   233.54	0	  1.14	铝	河南	0.00	11.08	0	
000635	英 力 特	-0.04	26.71	-0.01	26.70	26.70	0	0	--  	          0.00	--  	--  	--  	26.71	   147.14	0	  0.55	化工原料	宁夏	0.00	26.71	0	
000636	风华高科	0.65	10.72	0.07	10.79	10.79	0	0	--  	          0.00	--  	--  	--  	10.72	    65.01	0	  0.87	元器件	广东	0.00	10.72	0	
000712	锦龙股份	0.40	22.51	0.09	22.60	22.60	0	0	--  	          0.00	--  	--  	--  	22.51	    55.49	0	  0.59	多元金融	广东	0.00	22.51	0	
000778	新兴铸管	0.00	5.54	0.00	5.54	5.54	0	0	--  	          0.00	--  	--  	--  	5.54	    66.69	0	  0.94	钢加工	河北	0.00	5.54	0	
000792	盐湖股份	0.00	18.62	0.00	18.62	18.62	0	0	--  	          0.00	--  	--  	--  	18.62	    99.67	0	  0.48	农药化肥	青海	0.00	18.62	0	
000838	财信发展	0.12	8.30	0.01	8.31	8.31	0	0	--  	          0.00	--  	--  	--  	8.30	    82.06	0	  0.11	区域地产	北京	0.00	8.30	0	
000861	海印股份	0.21	4.72	0.01	4.73	4.73	0	0	--  	          0.00	--  	--  	--  	4.72	    61.26	0	  1.47	房产服务	广东	0.00	4.72	0	
000888	峨眉山Ａ	0.00	12.46	0.00	12.46	12.46	0	0	--  	          0.00	--  	--  	--  	12.46	    34.03	0	  0.01	旅游景点	四川	0.00	12.46	0	
000890	法 尔 胜	0.52	11.59	0.06	11.65	11.65	0	0	--  	          0.00	--  	--  	--  	11.59	    24.28	0	  0.30	钢加工	江苏	0.00	11.59	0	
000970	中科三环	0.42	14.31	0.06	14.37	14.37	0	0	--  	          0.00	--  	--  	--  	14.31	    49.39	0	  0.31	元器件	北京	0.00	14.31	0	
000981	银亿股份	--  	10.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.14	    43.99	0	  0.00	区域地产	甘肃	0.00	10.14	0	
002009	天奇股份	-0.13	14.87	-0.02	14.85	14.85	0	0	--  	          0.00	--  	--  	--  	14.87	    62.93	0	  0.48	工程机械	江苏	0.00	14.87	0	
002043	兔 宝 宝	-0.71	14.06	-0.10	13.96	13.96	0	0	--  	          0.00	--  	--  	--  	14.06	    49.07	0	  0.35	其他建材	浙江	0.00	14.06	0	
002060	粤 水 电	0.00	7.96	0.00	7.96	7.96	0	0	--  	          0.00	--  	--  	--  	7.96	    52.97	0	  0.30	建筑施工	广东	0.00	7.96	0	
002063	远光软件	0.00	13.03	0.00	13.03	13.03	0	0	--  	          0.00	--  	--  	--  	13.03	    62.24	0	  0.33	软件服务	广东	0.00	13.03	0	
002065	东华软件	0.00	21.67	0.00	21.67	21.67	0	0	--  	          0.00	--  	--  	--  	21.67	    40.38	0	  0.24	软件服务	北京	0.00	21.67	0	
002071	长城影视	0.00	12.93	0.00	12.93	12.93	0	0	--  	          0.00	--  	--  	--  	12.93	    46.14	0	  0.43	影视音像	江苏	0.00	12.93	0	
002072	凯瑞德	0.50	24.18	0.12	24.30	24.30	0	0	--  	          0.00	--  	--  	--  	24.18	    97.64	0	  0.14	纺织	山东	0.00	24.18	0	
002082	栋梁新材	--  	19.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.49	    61.40	0	  0.00	铝	浙江	0.00	19.49	0	
002104	恒宝股份	0.09	11.04	0.01	11.05	11.05	0	0	--  	          0.00	--  	--  	--  	11.04	    47.18	0	  0.35	元器件	江苏	0.00	11.04	0	
002106	莱宝高科	0.00	12.88	0.00	12.88	12.88	0	0	--  	          0.00	--  	--  	--  	12.88	    58.77	0	  0.12	元器件	深圳	0.00	12.88	0	
002111	威海广泰	0.09	22.13	0.02	22.15	22.15	0	0	--  	          0.00	--  	--  	--  	22.13	    48.37	0	  0.10	航空	山东	0.00	22.13	0	
002117	东港股份	0.37	30.10	0.11	30.21	30.21	0	0	--  	          0.00	--  	--  	--  	30.10	    55.12	0	  0.06	广告包装	山东	0.00	30.10	0	
002123	梦网荣信	0.27	15.01	0.04	15.05	15.05	0	0	--  	          0.00	--  	--  	--  	15.01	    57.54	0	  0.04	互联网	辽宁	0.00	15.01	0	
002131	利欧股份	0.07	14.81	0.01	14.82	14.82	0	0	--  	          0.00	--  	--  	--  	14.81	    40.97	0	  0.29	互联网	浙江	0.00	14.81	0	
002139	拓邦股份	1.04	14.38	0.15	14.53	14.53	0	0	--  	          0.00	--  	--  	--  	14.38	    46.49	0	  2.78	元器件	深圳	0.00	14.38	0	
