代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000009	中国宝安	-0.21	9.75	-0.02	9.73	9.73	0	0	--  	          0.00	--  	--  	--  	9.75	    74.71	0	  0.26	综合类	深圳	0.00	9.75	0	
000028	国药一致	0.31	70.33	0.22	70.55	70.55	0	0	--  	          0.00	--  	--  	--  	70.33	    31.24	0	  0.11	医药商业	深圳	0.00	70.33	0	
000039	中集集团	0.37	16.34	0.06	16.40	16.40	0	0	--  	          0.00	--  	--  	--  	16.34	--  	0	  0.17	轻工机械	深圳	0.00	16.34	0	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	
000060	中金岭南	-0.26	11.54	-0.03	11.51	11.51	0	0	--  	          0.00	--  	--  	--  	11.54	   116.86	0	  0.35	铅锌	深圳	0.00	11.54	0	
000157	中联重科	-0.21	4.85	-0.01	4.84	4.84	0	0	--  	          0.00	--  	--  	--  	4.85	--  	0	  0.19	工程机械	湖南	0.00	4.85	0	
000338	潍柴动力	0.89	11.29	0.10	11.39	11.39	0	0	--  	          0.00	--  	--  	--  	11.29	    22.51	0	  4.10	汽车配件	山东	0.00	11.29	0	
000400	许继电气	-0.06	17.65	-0.01	17.64	17.64	0	0	--  	          0.00	--  	--  	--  	17.65	    54.56	0	  0.17	电气设备	河南	0.00	17.65	0	
000402	金 融 街	0.27	11.17	0.03	11.20	11.20	0	0	--  	          0.00	--  	--  	--  	11.17	    31.15	0	  0.86	全国地产	北京	0.00	11.17	0	
000423	东阿阿胶	0.42	59.55	0.25	59.80	59.80	0	0	--  	          0.00	--  	--  	--  	59.55	    21.02	0	  0.85	中成药	山东	0.00	59.55	0	
000425	徐工机械	-0.25	4.02	-0.01	4.01	4.01	0	0	--  	          0.00	--  	--  	--  	4.02	   127.77	0	  0.34	工程机械	江苏	0.00	4.02	0	
000540	中天城投	0.75	6.70	0.05	6.75	6.75	0	0	--  	          0.00	--  	--  	--  	6.70	    11.50	0	  3.72	区域地产	贵州	0.00	6.70	0	
000563	陕国投Ａ	0.00	6.63	0.00	6.63	6.63	0	0	--  	          0.00	--  	--  	--  	6.63	    39.77	0	  0.24	多元金融	陕西	0.00	6.63	0	
000581	威孚高科	0.34	23.72	0.08	23.80	23.80	0	0	--  	          0.00	--  	--  	--  	23.72	    13.70	0	  0.33	汽车配件	江苏	0.00	23.72	0	
000598	兴蓉环境	0.17	5.87	0.01	5.88	5.88	0	0	--  	          0.00	--  	--  	--  	5.87	    17.32	0	  0.18	水务	四川	0.00	5.87	0	
000623	吉林敖东	0.17	29.38	0.05	29.43	29.43	0	0	--  	          0.00	--  	--  	--  	29.38	    15.38	0	  0.14	中成药	吉林	0.00	29.38	0	
000630	铜陵有色	0.00	3.24	0.00	3.24	3.24	0	0	--  	          0.00	--  	--  	--  	3.24	   268.79	0	  0.94	铜	安徽	0.00	3.24	0	
000656	金科股份	0.34	5.82	0.02	5.84	5.84	0	0	--  	          0.00	--  	--  	--  	5.82	    23.13	0	  0.44	区域地产	重庆	0.00	5.82	0	
000661	长春高新	0.00	112.18	0.00	112.18	112.18	0	0	--  	          0.00	--  	--  	--  	112.18	    39.36	0	  0.24	生物制药	吉林	0.00	112.18	0	
000671	阳 光 城	0.17	5.79	0.01	5.80	5.80	0	0	--  	          0.00	--  	--  	--  	5.79	    48.39	0	  0.36	区域地产	福建	0.00	5.79	0	
000686	东北证券	-0.25	12.14	-0.03	12.11	12.11	0	0	--  	          0.00	--  	--  	--  	12.14	    18.38	0	  0.46	证券	吉林	0.00	12.14	0	
000712	锦龙股份	0.40	22.51	0.09	22.60	22.60	0	0	--  	          0.00	--  	--  	--  	22.51	    55.49	0	  0.55	多元金融	广东	0.00	22.51	0	
000718	苏宁环球	0.41	7.27	0.03	7.30	7.30	0	0	--  	          0.00	--  	--  	--  	7.27	    20.54	0	  1.32	区域地产	吉林	0.00	7.27	0	
000738	中航动控	0.12	25.15	0.03	25.18	25.18	0	0	--  	          0.00	--  	--  	--  	25.15	   136.01	0	  0.47	航空	江苏	0.00	25.15	0	
000750	国海证券	0.00	6.62	0.00	6.62	6.62	0	0	--  	          0.00	--  	--  	--  	6.62	    21.38	0	  0.77	证券	广西	0.00	6.62	0	
000778	新兴铸管	0.00	5.54	0.00	5.54	5.54	0	0	--  	          0.00	--  	--  	--  	5.54	    66.69	0	  0.88	钢加工	河北	0.00	5.54	0	
000793	华闻传媒	0.09	10.85	0.01	10.86	10.86	0	0	--  	          0.00	--  	--  	--  	10.85	    23.62	0	  0.37	出版业	海南	0.00	10.85	0	
000825	太钢不锈	0.00	4.93	0.00	4.93	4.93	0	0	--  	          0.00	--  	--  	--  	4.93	    25.01	0	  0.69	特种钢	山西	0.00	4.93	0	
000826	启迪桑德	-0.29	34.50	-0.10	34.40	34.40	0	0	--  	          0.00	--  	--  	--  	34.50	    30.87	0	  0.74	环境保护	湖北	0.00	34.50	0	
000839	中信国安	-1.30	11.51	-0.15	11.36	11.36	0	0	--  	          0.00	--  	--  	--  	11.51	   154.55	0	  1.32	综合类	北京	0.00	11.51	0	
000878	云南铜业	0.51	15.58	0.08	15.66	15.66	0	0	--  	          0.00	--  	--  	--  	15.58	   371.55	0	  1.75	铜	云南	0.00	15.58	0	
000887	中鼎股份	0.16	24.65	0.04	24.69	24.69	0	0	--  	          0.00	--  	--  	--  	24.65	    28.57	0	  0.18	橡胶	安徽	0.00	24.65	0	
000917	电广传媒	-0.35	14.36	-0.05	14.31	14.31	0	0	--  	          0.00	--  	--  	--  	14.36	    71.28	0	  0.53	影视音像	湖南	0.00	14.36	0	
