代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000039	中集集团	0.18	16.37	0.03	16.34	16.37	66	66	0.00	          0.00	16.37	16.37	16.37	16.34	--  	108042	  0.18	轻工机械	深圳	0.00	16.37	33	
000066	长城电脑	0.18	10.93	0.02	10.92	10.93	336	336	0.00	          0.00	10.93	10.93	10.93	10.91	   897.87	367248	  0.27	电脑设备	深圳	0.00	10.93	168	
000157	中联重科	-0.21	4.84	-0.01	4.83	4.84	814	814	0.00	          0.00	4.84	4.84	4.84	4.85	--  	393976	  0.40	工程机械	湖南	0.00	4.84	407	
000158	常山股份	0.00	12.10	0.00	12.06	12.10	49	49	0.00	          0.00	12.10	12.10	12.10	12.10	--  	59290	  0.20	纺织	河北	0.00	12.10	25	
000401	冀东水泥	0.36	13.89	0.05	13.89	13.90	119	119	0.00	          0.00	13.89	13.89	13.89	13.84	--  	165291	  0.15	水泥	河北	0.00	13.89	60	
000410	沈阳机床	0.00	11.93	0.00	11.92	11.94	350	350	0.00	          0.00	11.93	11.93	11.93	11.93	--  	417550	  0.78	机床制造	辽宁	0.00	11.93	175	
000503	海虹控股	0.36	41.93	0.15	41.80	41.93	137	137	0.00	          0.00	41.93	41.93	41.93	41.78	--  	574441	  0.87	医疗保健	海南	0.00	41.93	69	
000511	*ST烯碳	3.25	6.68	0.21	6.66	6.68	23376	23376	0.00	          0.20	6.68	6.68	6.68	6.47	--  	15615168	  7.94	矿物制品	辽宁	0.00	6.68	11688	
000518	四环生物	0.00	8.10	0.00	8.10	8.12	1	1	0.00	          0.00	8.10	8.10	8.10	8.10	   603.27	810	  0.01	生物制药	江苏	0.00	8.10	1	
000520	长航凤凰	-0.12	8.05	-0.01	8.05	8.07	246	246	0.00	          0.00	8.05	8.05	8.05	8.06	--  	198030	  0.20	水运	湖北	0.00	8.05	123	
000584	友利控股	--  	11.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.85	--  	0	  0.00	化纤	江苏	0.00	11.85	0	
000629	*ST钒钛	0.00	2.55	0.00	2.55	2.56	4843	4842	0.00	          0.01	2.55	2.55	2.55	2.55	--  	1234838	  3.14	普钢	四川	0.00	2.55	2421	
000659	珠海中富	-1.10	6.28	-0.07	6.28	6.29	2082	2082	0.00	          0.02	6.28	6.28	6.28	6.35	--  	1307496	  1.87	广告包装	广东	0.00	6.28	1041	
000697	炼石有色	--  	23.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.51	--  	0	  0.00	小金属	陕西	0.00	23.51	0	
000717	*ST韶钢	0.32	6.22	0.02	6.21	6.22	305	305	0.00	          0.00	6.22	6.22	6.22	6.20	   148.38	189710	  0.49	钢加工	广东	0.00	6.22	153	
000725	京东方Ａ	0.00	3.20	0.00	3.19	3.20	8971	8971	0.00	          0.00	3.20	3.20	3.20	3.20	   599.76	2870720	  0.91	元器件	北京	0.00	3.20	4486	
000727	华东科技	0.00	3.26	0.00	3.25	3.26	1649	1649	0.00	          0.01	3.26	3.26	3.26	3.26	--  	537574	  1.08	元器件	江苏	0.00	3.26	825	
000731	四川美丰	0.10	9.86	0.01	9.85	9.86	657	657	0.00	          0.01	9.86	9.86	9.86	9.85	--  	647802	  0.33	农药化肥	四川	0.00	9.86	329	
000800	一汽轿车	0.40	12.45	0.05	12.45	12.46	769	769	0.00	          0.01	12.45	12.45	12.45	12.40	--  	957978	  0.93	汽车整车	吉林	0.00	12.45	385	
000820	神雾节能	-0.29	37.99	-0.11	37.99	38.00	86	86	0.00	          0.00	37.99	37.99	37.99	38.10	   120.74	326714	  0.36	环境保护	辽宁	0.00	37.99	43	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	
000831	*ST五稀	0.38	13.15	0.05	13.12	13.15	512	512	0.00	          0.01	13.15	13.15	13.15	13.10	--  	673280	  0.91	小金属	山西	0.00	13.15	256	
000918	嘉凯城	0.37	8.04	0.03	8.04	8.05	773	773	0.00	          0.00	8.04	8.04	8.04	8.01	--  	621492	  0.94	全国地产	浙江	0.00	8.04	387	
000932	华菱钢铁	0.00	5.13	0.00	5.12	5.13	107	107	0.00	          0.00	5.13	5.13	5.13	5.13	--  	54891	  0.22	普钢	湖南	0.00	5.13	54	
000982	中银绒业	--  	9.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.15	--  	0	  0.00	纺织	宁夏	0.00	9.15	0	
002012	凯恩股份	0.00	13.89	0.00	13.89	13.95	44	44	0.00	          0.00	13.89	13.89	13.89	13.89	--  	61116	  0.14	造纸	浙江	0.00	13.89	22	
002024	苏宁云商	0.00	11.03	0.00	11.03	11.04	253	253	0.00	          0.00	11.03	11.03	11.03	11.03	--  	279059	  0.24	电器连锁	江苏	0.00	11.03	127	
002044	美年健康	--  	12.85	--  	12.80	12.84	0	0	--  	          0.00	--  	--  	--  	12.85	   244.68	0	  0.00	医疗保健	江苏	0.00	12.85	0	
002052	同洲电子	0.00	9.80	0.00	9.78	9.80	58	58	0.00	          0.00	9.80	9.80	9.80	9.80	--  	56840	  0.12	通信设备	深圳	0.00	9.80	29	
002064	华峰氨纶	0.00	5.65	0.00	5.65	5.66	34	34	0.00	          0.00	5.65	5.65	5.65	5.65	--  	19210	  0.05	化纤	浙江	0.00	5.65	17	
002154	报 喜 鸟	-0.20	4.91	-0.01	4.90	4.91	435	435	0.00	          0.00	4.91	4.91	4.91	4.92	--  	213585	  0.60	服饰	浙江	0.00	4.91	218	
002161	远 望 谷	0.09	10.84	0.01	10.84	10.85	191	191	0.00	          0.00	10.84	10.84	10.84	10.83	--  	207044	  0.95	通信设备	深圳	0.00	10.84	96	
002163	中航三鑫	-0.29	10.30	-0.03	10.30	10.31	280	280	0.00	          0.00	10.30	10.30	10.30	10.33	--  	288400	  0.36	装修装饰	深圳	0.00	10.30	140	
002167	东方锆业	0.00	12.63	0.00	12.63	12.65	488	488	0.00	          0.01	12.63	12.63	12.63	12.63	  1948.17	616344	  0.66	小金属	广东	0.00	12.63	244	
002168	深圳惠程	--  	16.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.99	   184.81	0	  0.00	电气设备	深圳	0.00	16.99	0	
002263	大 东 南	0.00	3.86	0.00	3.86	3.87	1085	1085	0.00	          0.01	3.86	3.86	3.86	3.86	--  	418810	  1.10	塑料	浙江	0.00	3.86	543	
002268	卫 士 通	0.43	32.76	0.14	32.68	32.76	59	59	0.00	          0.00	32.76	32.76	32.76	32.62	  2100.55	193284	  0.36	软件服务	四川	0.00	32.76	30	
002269	美邦服饰	-0.21	4.85	-0.01	4.84	4.85	258	258	0.00	          0.00	4.85	4.85	4.85	4.86	--  	125130	  0.45	服饰	上海	0.00	4.85	129	
002306	中科云网	-0.15	6.47	-0.01	6.46	6.47	141	141	0.00	          0.00	6.47	6.47	6.47	6.48	--  	91227	  0.30	酒店餐饮	北京	0.00	6.47	71	
002312	三泰控股	0.50	7.99	0.04	7.98	7.99	1585	1585	0.00	          0.02	7.99	7.99	7.99	7.95	--  	1266415	  1.70	电脑设备	四川	0.00	7.99	793	
002313	日海通讯	0.04	22.42	0.01	22.42	22.46	27	27	0.00	          0.00	22.42	22.42	22.42	22.41	   414.04	60982	  0.12	通信设备	深圳	0.00	22.42	14	
002428	云南锗业	0.00	14.12	0.00	14.10	14.12	1403	1403	0.00	          0.02	14.12	14.12	14.12	14.12	--  	1981036	  2.33	小金属	云南	0.00	14.12	702	
002480	新筑股份	0.10	10.10	0.01	10.10	10.11	7	7	0.00	          0.00	10.10	10.10	10.10	10.09	   893.53	7070	  0.02	机械基件	四川	0.00	10.10	4	
002486	嘉麟杰	--  	8.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.64	--  	0	  0.00	服饰	上海	0.00	8.64	0	
002564	天沃科技	-0.18	11.03	-0.02	11.03	11.04	567	567	0.00	          0.01	11.03	11.03	11.03	11.05	--  	625401	  0.67	化工机械	江苏	0.00	11.03	284	
002570	贝因美	-0.15	13.72	-0.02	13.71	13.72	17	17	0.00	          0.00	13.72	13.72	13.72	13.74	--  	23324	  0.04	乳制品	浙江	0.00	13.72	9	
002647	宏磊股份	--  	63.35	--  	63.43	63.57	0	0	--  	          0.00	--  	--  	--  	63.35	--  	0	  0.00	电气设备	浙江	0.00	63.35	0	
002659	中泰桥梁	0.12	16.55	0.02	16.50	16.55	28	28	0.00	          0.00	16.55	16.55	16.55	16.53	--  	46340	  0.13	建筑施工	江苏	0.00	16.55	14	
300142	沃森生物	-0.08	12.37	-0.01	12.35	12.37	212	212	0.00	          0.00	12.37	12.37	12.37	12.38	--  	262244	  0.32	生物制药	云南	0.00	12.37	106	
300228	富瑞特装	2.89	14.58	0.41	14.51	14.58	2403	2403	0.00	          0.06	14.58	14.58	14.58	14.17	--  	3503574	  5.22	化工机械	江苏	0.00	14.58	1202	
300309	吉艾科技	--  	25.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.08	--  	0	  0.00	专用机械	北京	0.00	25.08	0	
600069	银鸽投资	-1.11	11.59	-0.13	11.58	11.59	772	772	0.00	          0.01	11.59	11.59	11.59	11.72	--  	894748	  0.36	造纸	河南	0.00	11.59	386	
600072	中船科技	0.33	20.98	0.07	20.96	20.98	228	228	0.00	          0.00	20.98	20.98	20.98	20.91	--  	478344	  0.28	船舶	上海	0.00	20.98	114	
600084	中葡股份	-1.23	12.04	-0.15	12.03	12.04	2125	2125	0.00	          0.02	12.04	12.04	12.04	12.19	--  	2558500	  0.71	红黄药酒	新疆	0.00	12.04	1063	
600107	美尔雅	-0.19	16.08	-0.03	16.03	16.08	189	189	0.00	          0.01	16.08	16.08	16.08	16.11	--  	303912	  1.34	服饰	湖北	0.00	16.08	95	
600123	兰花科创	0.12	8.04	0.01	8.05	8.05	0	0	--  	          0.00	--  	--  	--  	8.04	--  	0	  0.46	煤炭开采	山西	0.00	8.04	0	
600146	商赢环球	--  	35.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	35.73	--  	0	  0.00	塑料	宁夏	0.00	35.73	0	
600149	廊坊发展	0.38	21.08	0.08	21.05	21.08	419	419	0.00	          0.01	21.08	21.08	21.08	21.00	--  	883252	  1.07	综合类	河北	0.00	21.08	210	
600169	太原重工	0.00	4.42	0.00	4.42	4.44	175	175	0.00	          0.00	4.42	4.42	4.42	4.42	--  	77350	  0.19	工程机械	山西	0.00	4.42	88	
600186	莲花健康	-0.40	4.97	-0.02	4.97	4.98	333	333	0.00	          0.00	4.97	4.97	4.97	4.99	--  	165501	  0.92	食品	河南	0.00	4.97	167	
600198	大唐电信	-0.24	16.90	-0.04	16.90	16.91	391	391	0.00	          0.00	16.90	16.90	16.90	16.94	--  	660790	  0.55	通信设备	北京	0.00	16.90	196	
600227	赤天化	-0.14	7.30	-0.01	7.29	7.29	0	0	--  	          0.00	--  	--  	--  	7.30	--  	0	  0.11	农药化肥	贵州	0.00	7.30	0	
600255	鑫科材料	--  	4.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.92	--  	0	  0.00	铜	安徽	0.00	4.92	0	
600259	广晟有色	0.24	46.80	0.11	46.91	46.91	0	0	--  	          0.00	--  	--  	--  	46.80	--  	0	  1.31	小金属	海南	0.00	46.80	0	
600275	武昌鱼	-0.21	14.40	-0.03	14.38	14.40	123	123	0.00	          0.00	14.40	14.40	14.40	14.43	--  	177120	  0.19	农业综合	湖北	0.00	14.40	62	
600288	大恒科技	0.07	13.85	0.01	13.85	13.88	93	93	0.00	          0.00	13.85	13.85	13.85	13.84	--  	128805	  0.32	软件服务	北京	0.00	13.85	47	
600321	国栋建设	0.00	5.92	0.00	5.90	5.92	317	317	0.00	          0.00	5.92	5.92	5.92	5.92	--  	187664	  0.50	其他建材	四川	0.00	5.92	159	
600322	天房发展	0.47	6.39	0.03	6.36	6.39	126	126	0.00	          0.00	6.39	6.39	6.39	6.36	--  	80514	  0.44	区域地产	天津	0.00	6.39	63	
600392	盛和资源	0.30	13.45	0.04	13.45	13.48	912	912	0.00	          0.01	13.45	13.45	13.45	13.41	--  	1226640	  1.24	小金属	山西	0.00	13.45	456	
600478	科力远	-0.10	10.01	-0.01	10.00	10.01	231	231	0.00	          0.00	10.01	10.01	10.01	10.02	--  	231231	  0.90	元器件	湖南	0.00	10.01	116	
600536	中国软件	0.32	25.29	0.08	25.21	25.29	76	76	0.00	          0.00	25.29	25.29	25.29	25.21	--  	192204	  0.32	软件服务	北京	0.00	25.29	38	
600545	新疆城建	0.76	11.95	0.09	11.93	11.95	584	584	0.00	          0.01	11.95	11.95	11.95	11.86	--  	697880	  1.17	建筑施工	新疆	0.00	11.95	292	
600588	用友网络	0.05	19.28	0.01	19.27	19.28	103	103	0.00	          0.00	19.28	19.28	19.28	19.27	--  	198584	  0.38	软件服务	北京	0.00	19.28	52	
600596	新安股份	-0.20	10.08	-0.02	10.08	10.09	100	100	0.00	          0.00	10.08	10.08	10.08	10.10	--  	100800	  0.13	农药化肥	浙江	0.00	10.08	50	
600601	方正科技	0.00	4.59	0.00	4.58	4.59	120	120	0.00	          0.00	4.59	4.59	4.59	4.59	--  	55080	  0.10	电脑设备	上海	0.00	4.59	60	
600609	金杯汽车	0.26	7.60	0.02	7.58	7.60	53	53	0.00	          0.00	7.60	7.60	7.60	7.58	--  	40280	  0.13	汽车整车	辽宁	0.00	7.60	27	
600653	申华控股	-0.26	3.89	-0.01	3.88	3.88	0	0	--  	          0.00	--  	--  	--  	3.89	--  	0	  0.24	汽车服务	上海	0.00	3.89	0	
600675	中华企业	0.54	7.50	0.04	7.50	7.52	503	503	0.00	          0.00	7.50	7.50	7.50	7.46	    21.36	377250	  0.64	区域地产	上海	0.00	7.50	252	
600682	南京新百	--  	36.19	--  	36.19	36.25	0	0	--  	          0.00	--  	--  	--  	36.19	--  	0	  0.00	百货	江苏	0.00	36.19	0	
600707	彩虹股份	0.11	8.75	0.01	8.74	8.75	55	55	0.00	          0.00	8.75	8.75	8.75	8.74	--  	48125	  0.08	元器件	陕西	0.00	8.75	28	
600730	中国高科	0.08	12.07	0.01	12.06	12.07	71	71	0.00	          0.00	12.07	12.07	12.07	12.06	     8.33	85697	  0.26	综合类	北京	0.00	12.07	36	
600747	大连控股	--  	5.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.20	--  	0	  0.00	多元金融	辽宁	0.00	5.20	0	
600760	中航黑豹	-0.50	33.52	-0.17	33.52	33.65	5324	5323	0.00	          0.15	33.52	33.52	33.52	33.69	   320.16	17844372	  5.85	汽车整车	山东	0.00	33.52	2662	
600777	新潮能源	0.27	3.67	0.01	3.66	3.67	1301	1301	0.00	          0.01	3.67	3.67	3.67	3.66	--  	477467	  1.48	综合类	山东	0.00	3.67	651	
600803	新奥股份	0.00	13.70	0.00	13.70	13.70	0	0	--  	          0.00	--  	--  	--  	13.70	    52.52	0	  0.22	农药化肥	河北	0.00	13.70	0	
600871	石化油服	-0.52	3.82	-0.02	3.82	3.83	736	736	0.00	          0.00	3.82	3.82	3.82	3.84	--  	281152	  0.81	石油开采	北京	0.00	3.82	368	
600875	东方电气	--  	10.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.79	--  	0	  0.00	电气设备	四川	0.00	10.79	0	
600877	中国嘉陵	0.11	9.53	0.01	9.52	9.53	219	219	0.00	          0.00	9.53	9.53	9.53	9.52	--  	208707	  0.33	摩托车	重庆	0.00	9.53	110	
600896	览海投资	0.09	10.74	0.01	10.73	10.74	26	26	0.00	          0.00	10.74	10.74	10.74	10.73	--  	27924	  0.22	水运	海南	0.00	10.74	13	
600967	北方创业	1.05	14.45	0.15	14.41	14.45	832	832	0.00	          0.01	14.45	14.45	14.45	14.30	--  	1202240	  1.41	运输设备	内蒙	0.00	14.45	416	
601106	中国一重	-0.46	4.29	-0.02	4.28	4.29	1549	1549	0.00	          0.00	4.29	4.29	4.29	4.31	--  	664521	  1.05	工程机械	黑龙江	0.00	4.29	775	
601118	海南橡胶	-0.14	7.18	-0.01	7.17	7.18	1031	1031	0.00	          0.00	7.18	7.18	7.18	7.19	--  	740258	  0.77	橡胶	海南	0.00	7.18	516	
601388	怡球资源	0.24	4.22	0.01	4.22	4.23	1255	1255	0.00	          0.01	4.22	4.22	4.22	4.21	--  	529610	  1.04	铝	江苏	0.00	4.22	628	
601519	大智慧	-0.31	6.44	-0.02	6.44	6.45	439	439	0.00	          0.00	6.44	6.44	6.44	6.46	--  	282716	  1.04	软件服务	上海	0.00	6.44	220	
601558	华锐风电	0.00	2.18	0.00	2.18	2.19	5325	5325	0.00	          0.01	2.18	2.18	2.18	2.18	--  	1160850	  1.81	电气设备	北京	0.00	2.18	2663	
601808	中海油服	0.15	12.98	0.02	12.95	12.98	69	69	0.00	          0.00	12.98	12.98	12.98	12.96	--  	89562	  0.40	石油开采	天津	0.00	12.98	35	
