代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000629	*ST钒钛	0.00	2.55	0.00	2.55	2.56	4843	4842	0.00	          0.01	2.55	2.55	2.55	2.55	--  	1234838	  3.14	普钢	四川	0.00	2.55	2421	
000979	中弘股份	--  	2.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.66	    74.11	0	  0.00	区域地产	安徽	0.00	2.66	0	
600022	山东钢铁	-0.36	2.75	-0.01	2.75	2.76	960	960	0.00	          0.00	2.75	2.75	2.75	2.76	   710.63	264000	  0.48	普钢	山东	0.00	2.75	480	
600145	*ST新亿	--  	1.87	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	1.87	    88.67	0	  0.00	陶瓷	新疆	0.00	1.87	0	
600401	海润光伏	-0.43	2.29	-0.01	2.29	2.30	771	771	0.00	          0.00	2.29	2.29	2.29	2.30	   179.20	176559	  0.35	半导体	江苏	0.00	2.29	386	
600725	*ST云维	--  	2.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.85	     2.27	0	  0.00	焦炭加工	云南	0.00	2.85	0	
601005	重庆钢铁	--  	2.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.52	--  	0	  0.00	普钢	重庆	0.00	2.52	0	
601258	庞大集团	-0.34	2.91	-0.01	2.90	2.91	1226	1226	0.00	          0.00	2.91	2.91	2.91	2.92	    91.28	356766	  0.37	汽车服务	河北	0.00	2.91	613	
601558	华锐风电	0.00	2.18	0.00	2.18	2.19	5325	5325	0.00	          0.01	2.18	2.18	2.18	2.18	--  	1160850	  1.81	电气设备	北京	0.00	2.18	2663	
601880	大连港	-0.34	2.90	-0.01	2.90	2.91	1313	1313	0.00	          0.00	2.90	2.90	2.90	2.91	    81.15	380770	  0.89	港口	辽宁	0.00	2.90	657	
数据来源:通达信
