代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	-0.11	9.43	-0.01	9.43	9.44	1805	1805	0.00	          0.00	9.43	9.43	9.43	9.44	     6.49	1702115	  1.17	银行	深圳	0.00	9.43	903	
000002	万 科Ａ	0.48	20.81	0.10	20.80	20.81	2261	2261	0.00	          0.00	20.81	20.81	20.81	20.71	    20.85	4705141	  1.56	全国地产	深圳	0.00	20.81	1131	
000012	南 玻Ａ	-0.18	11.33	-0.02	11.32	11.33	156	156	0.00	          0.00	11.33	11.33	11.33	11.35	    24.67	176748	  0.22	玻璃	深圳	0.00	11.33	78	
000061	农 产 品	0.00	11.60	0.00	11.56	11.60	200	200	0.00	          0.00	11.60	11.60	11.60	11.60	    69.00	232000	  0.93	农业综合	深圳	0.00	11.60	100	
000069	华侨城Ａ	0.26	7.62	0.02	7.62	7.63	1071	1071	0.00	          0.00	7.62	7.62	7.62	7.60	    16.08	816102	  0.91	旅游景点	深圳	0.00	7.62	536	
000166	申万宏源	0.16	6.31	0.01	6.30	6.31	1668	1668	0.00	          0.00	6.31	6.31	6.31	6.30	    24.66	1052508	  1.36	证券	新疆	0.00	6.31	834	
000402	金 融 街	0.27	11.20	0.03	11.20	11.21	610	609	0.00	          0.00	11.20	11.20	11.20	11.17	    31.23	683088	  1.11	全国地产	北京	0.00	11.20	305	
000423	东阿阿胶	0.08	59.60	0.05	59.58	59.60	376	376	0.00	          0.01	59.60	59.60	59.60	59.55	    21.04	2240960	  0.90	中成药	山东	0.00	59.60	188	
000538	云南白药	0.01	77.24	0.01	77.24	77.25	100	100	0.00	          0.00	77.24	77.24	77.24	77.23	    25.56	772400	  0.78	中成药	云南	0.00	77.24	50	
000566	海南海药	0.56	14.32	0.08	14.32	14.33	3183	3183	0.00	          0.03	14.32	14.32	14.32	14.24	    84.84	4558056	  4.00	化学制药	海南	0.00	14.32	1592	
000601	韶能股份	0.24	8.46	0.02	8.44	8.46	422	422	0.00	          0.00	8.46	8.46	8.46	8.44	    14.95	357012	  0.77	水力发电	广东	0.00	8.46	211	
000651	格力电器	0.03	28.88	0.01	28.88	28.89	2880	2879	0.00	          0.00	28.88	28.88	28.88	28.87	    11.60	8316776	  0.95	家用电器	广东	0.00	28.88	1440	
000776	广发证券	-0.29	17.36	-0.05	17.36	17.37	797	797	0.00	          0.00	17.36	17.36	17.36	17.41	    16.04	1383592	  1.13	证券	广东	0.00	17.36	399	
000783	长江证券	-0.20	10.21	-0.02	10.20	10.21	410	410	0.00	          0.00	10.21	10.21	10.21	10.23	    24.28	418610	  0.58	证券	湖北	0.00	10.21	205	
000848	承德露露	-0.09	11.24	-0.01	11.23	11.24	77	77	0.00	          0.00	11.24	11.24	11.24	11.25	    22.66	86548	  0.34	软饮料	河北	0.00	11.24	39	
000887	中鼎股份	0.41	24.75	0.10	24.75	24.77	550	550	0.00	          0.00	24.75	24.75	24.75	24.65	    28.69	1361250	  1.05	橡胶	安徽	0.00	24.75	275	
000895	双汇发展	-0.18	21.75	-0.04	21.73	21.75	176	176	0.00	          0.00	21.75	21.75	21.75	21.79	    16.42	382800	  0.52	食品	河南	0.00	21.75	88	
000902	新洋丰	0.21	9.59	0.02	9.58	9.59	326	326	0.00	          0.01	9.59	9.59	9.59	9.57	    17.62	312634	  0.93	农药化肥	湖北	0.00	9.59	163	
000963	华东医药	0.06	83.45	0.05	83.45	83.63	30	30	0.00	          0.00	83.45	83.45	83.45	83.40	    28.04	250350	  0.17	化学制药	浙江	0.00	83.45	15	
000999	华润三九	0.15	26.01	0.04	25.98	26.01	46	46	0.00	          0.00	26.01	26.01	26.01	25.97	    21.26	119646	  0.28	中成药	深圳	0.00	26.01	23	
002007	华兰生物	0.41	36.58	0.15	36.53	36.58	68	68	0.00	          0.00	36.58	36.58	36.58	36.43	    42.02	248744	  0.30	生物制药	河南	0.00	36.58	34	
