代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000012	南 玻Ａ	-0.18	11.33	-0.02	11.32	11.33	156	156	0.00	          0.00	11.33	11.33	11.33	11.35	    24.67	176748	  0.22	玻璃	深圳	0.00	11.33	78	
000507	珠海港	-0.14	6.92	-0.01	6.91	6.92	596	596	0.00	          0.01	6.92	6.92	6.92	6.93	    48.78	412432	  0.74	港口	广东	0.00	6.92	298	
000553	沙隆达Ａ	0.00	14.95	0.00	14.95	14.96	19	19	0.00	          0.00	14.95	14.95	14.95	14.95	   324.85	28405	  0.07	农药化肥	湖北	0.00	14.95	10	
000589	黔轮胎Ａ	0.48	6.32	0.03	6.31	6.32	1291	1291	0.00	          0.02	6.32	6.32	6.32	6.29	   523.11	815912	  3.09	汽车配件	贵州	0.00	6.32	646	
000597	东北制药	-0.37	10.90	-0.04	10.90	10.94	1	1	0.00	          0.00	10.90	10.90	10.90	10.94	   638.42	1090	  0.00	化学制药	辽宁	0.00	10.90	1	
000599	青岛双星	-0.23	8.78	-0.02	8.77	8.78	6348	6348	0.00	          0.10	8.78	8.78	8.78	8.80	    54.79	5573544	  9.83	汽车配件	山东	0.00	8.78	3174	
000703	恒逸石化	-0.13	14.84	-0.02	14.84	14.85	7	7	0.00	          0.00	14.84	14.84	14.84	14.86	    35.86	10388	  0.02	化纤	广西	0.00	14.84	4	
000726	鲁 泰Ａ	0.08	12.64	0.01	12.61	12.64	65	65	0.00	          0.00	12.64	12.64	12.64	12.63	    15.05	82160	  0.21	纺织	山东	0.00	12.64	33	
600078	澄星股份	--  	7.40	--  	7.40	7.44	0	0	--  	          0.00	--  	--  	--  	7.40	    92.83	0	  0.00	化工原料	江苏	0.00	7.40	0	
600096	云天化	-0.22	9.28	-0.02	9.26	9.28	32	32	0.00	          0.00	9.28	9.28	9.28	9.30	--  	29696	  0.08	农药化肥	云南	0.00	9.28	16	
600099	林海股份	--  	16.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.81	  1904.55	0	  0.00	摩托车	江苏	0.00	16.81	0	
600141	兴发集团	-0.14	14.20	-0.02	14.17	14.20	96	96	0.00	          0.00	14.20	14.20	14.20	14.22	    69.43	136320	  0.28	化工原料	湖北	0.00	14.20	48	
600176	中国巨石	0.00	10.24	0.00	10.24	10.25	387	387	0.00	          0.00	10.24	10.24	10.24	10.24	    16.36	396288	  0.37	玻璃	浙江	0.00	10.24	194	
600182	S佳通	-0.38	28.58	-0.11	28.58	28.68	79	79	0.00	          0.00	28.58	28.58	28.58	28.69	    60.97	225782	  0.83	汽车配件	黑龙江	0.00	28.58	40	
600226	升华拜克	1.90	11.28	0.21	11.27	11.28	8824	8824	0.00	          0.08	11.28	11.28	11.28	11.07	    52.42	9953472	 10.88	农药化肥	浙江	0.00	11.28	4412	
600229	城市传媒	-0.44	11.25	-0.05	11.25	11.28	212	212	0.00	          0.00	11.25	11.25	11.25	11.30	    39.17	238500	  1.29	出版业	山东	0.00	11.25	106	
600241	时代万恒	-0.30	16.40	-0.05	16.38	16.40	70	70	0.00	          0.00	16.40	16.40	16.40	16.45	--  	114800	  0.42	商贸代理	辽宁	0.00	16.40	35	
600267	海正药业	0.07	13.59	0.01	13.58	13.59	84	84	0.00	          0.00	13.59	13.59	13.59	13.58	   317.41	114156	  0.32	化学制药	浙江	0.00	13.59	42	
600278	东方创业	0.07	15.34	0.01	15.30	15.34	95	95	0.00	          0.00	15.34	15.34	15.34	15.33	    57.63	145730	  0.83	商贸代理	上海	0.00	15.34	48	
600337	美克家居	-0.95	14.58	-0.14	14.57	14.58	7532	7532	0.00	          0.12	14.58	14.58	14.58	14.72	    32.31	10981656	  9.96	家居用品	新疆	0.00	14.58	3766	
600367	红星发展	-1.02	13.55	-0.14	13.55	13.65	244	244	0.00	          0.01	13.55	13.55	13.55	13.69	    86.04	330620	  0.77	化工原料	贵州	0.00	13.55	122	
600389	江山股份	--  	18.91	--  	18.92	18.99	0	0	--  	          0.00	--  	--  	--  	18.91	   520.93	0	  0.00	农药化肥	江苏	0.00	18.91	0	
600409	三友化工	0.11	9.43	0.01	9.43	9.44	339	339	0.00	          0.00	9.43	9.43	9.43	9.42	    22.95	319677	  0.32	化工原料	河北	0.00	9.43	170	
600469	风神股份	--  	11.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.94	    27.79	0	  0.00	汽车配件	河南	0.00	11.94	0	
600486	扬农化工	-0.44	38.17	-0.17	38.17	38.50	6	6	0.00	          0.00	38.17	38.17	38.17	38.34	    30.13	22902	  0.10	农药化肥	江苏	0.00	38.17	3	
600531	豫光金铅	-0.24	8.44	-0.02	8.43	8.44	551	551	0.00	          0.01	8.44	8.44	8.44	8.46	   113.85	465044	  1.42	铅锌	河南	0.00	8.44	276	
600549	厦门钨业	0.67	24.20	0.16	24.19	24.20	335	335	0.00	          0.00	24.20	24.20	24.20	24.04	   128.25	810700	  0.71	小金属	福建	0.00	24.20	168	
600579	天华院	-0.74	14.77	-0.11	14.73	14.77	253	253	0.00	          0.01	14.77	14.77	14.77	14.88	  1915.21	373681	  1.45	化工机械	山东	0.00	14.77	127	
600585	海螺水泥	0.10	20.43	0.02	20.43	20.44	231	231	0.00	          0.00	20.43	20.43	20.43	20.41	    13.60	471933	  0.47	水泥	安徽	0.00	20.43	116	
600599	熊猫金控	0.03	29.46	0.01	29.46	29.47	49	49	0.00	          0.00	29.46	29.46	29.46	29.45	--  	144354	  0.12	多元金融	湖南	0.00	29.46	25	
600618	氯碱化工	--  	13.11	--  	13.13	13.14	0	0	--  	          0.00	--  	--  	--  	13.11	--  	0	  0.00	化工原料	上海	0.00	13.11	0	
600623	华谊集团	0.08	12.40	0.01	12.39	12.40	304	304	0.00	          0.00	12.40	12.40	12.40	12.39	    72.90	376960	  0.90	汽车配件	上海	0.00	12.40	152	
600636	三爱富	--  	13.86	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.86	--  	0	  0.00	化工原料	上海	0.00	13.86	0	
600731	湖南海利	-0.45	11.07	-0.05	11.07	11.10	164	164	0.00	          0.01	11.07	11.07	11.07	11.12	   458.49	181548	  0.34	农药化肥	湖南	0.00	11.07	82	
600792	云煤能源	-0.35	5.63	-0.02	5.62	5.63	50	50	0.00	          0.00	5.63	5.63	5.63	5.65	--  	28150	  0.22	焦炭加工	云南	0.00	5.63	25	
600801	华新水泥	0.96	9.46	0.09	9.46	9.47	1531	1531	0.00	          0.02	9.46	9.46	9.46	9.37	    66.07	1448326	  2.08	水泥	湖北	0.00	9.46	766	
600819	耀皮玻璃	0.00	8.70	0.00	8.70	8.74	245	245	0.00	          0.00	8.70	8.70	8.70	8.70	   146.04	213150	  1.01	玻璃	上海	0.00	8.70	123	
600961	株冶集团	-0.40	12.34	-0.05	12.33	12.34	197	197	0.00	          0.00	12.34	12.34	12.34	12.39	   154.35	243098	  0.50	铅锌	湖南	0.00	12.34	99	
600978	宜华生活	-0.26	11.53	-0.03	11.52	11.53	60	60	0.00	          0.00	11.53	11.53	11.53	11.56	    21.02	69180	  0.07	家居用品	广东	0.00	11.53	30	
