代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000002	万 科Ａ	0.48	20.81	0.10	20.80	20.81	2261	2261	0.00	          0.00	20.81	20.81	20.81	20.71	    20.85	4705141	  1.56	全国地产	深圳	0.00	20.81	1131	
000028	国药一致	0.30	70.54	0.21	70.51	70.54	11	11	0.00	          0.00	70.54	70.54	70.54	70.33	    31.34	77594	  0.23	医药商业	深圳	0.00	70.54	6	
000150	宜华健康	0.21	28.52	0.06	28.51	28.52	98	98	0.00	          0.00	28.52	28.52	28.52	28.46	     9.91	279496	  0.71	医疗保健	广东	0.00	28.52	49	
000422	湖北宜化	-0.14	7.04	-0.01	7.03	7.04	81	81	0.00	          0.00	7.04	7.04	7.04	7.05	   258.04	57024	  0.14	农药化肥	湖北	0.00	7.04	41	
000425	徐工机械	-0.50	4.00	-0.02	4.00	4.01	2323	2323	0.00	          0.00	4.00	4.00	4.00	4.02	   127.13	929200	  0.74	工程机械	江苏	0.00	4.00	1162	
000503	海虹控股	0.36	41.93	0.15	41.80	41.93	137	137	0.00	          0.00	41.93	41.93	41.93	41.78	--  	574441	  0.87	医疗保健	海南	0.00	41.93	69	
000513	丽珠集团	0.18	54.83	0.10	54.83	54.90	36	36	0.00	          0.00	54.83	54.83	54.83	54.73	    28.47	197388	  0.48	中成药	广东	0.00	54.83	18	
000568	泸州老窖	0.20	40.71	0.08	40.71	40.75	177	177	0.00	          0.00	40.71	40.71	40.71	40.63	    28.42	720567	  0.45	白酒	四川	0.00	40.71	89	
000599	青岛双星	-0.23	8.78	-0.02	8.77	8.78	6348	6348	0.00	          0.10	8.78	8.78	8.78	8.80	    54.79	5573544	  9.83	汽车配件	山东	0.00	8.78	3174	
000623	吉林敖东	0.17	29.43	0.05	29.43	29.44	47	47	0.00	          0.00	29.43	29.43	29.43	29.38	    15.40	138321	  0.20	中成药	吉林	0.00	29.43	24	
000671	阳 光 城	0.17	5.80	0.01	5.79	5.80	561	561	0.00	          0.00	5.80	5.80	5.80	5.79	    48.48	325380	  0.79	区域地产	福建	0.00	5.80	281	
000806	银河生物	-0.33	12.21	-0.04	12.20	12.21	685	685	0.00	          0.01	12.21	12.21	12.21	12.25	  2867.03	836385	  0.97	生物制药	广西	0.00	12.21	343	
000926	福星股份	0.16	12.65	0.02	12.63	12.65	692	692	0.00	          0.01	12.65	12.65	12.65	12.63	    13.47	875380	  1.44	区域地产	湖北	0.00	12.65	346	
000955	欣龙控股	-0.27	7.27	-0.02	7.27	7.30	214	214	0.00	          0.00	7.27	7.27	7.27	7.29	--  	155578	  1.04	纺织	海南	0.00	7.27	107	
000979	中弘股份	--  	2.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.66	    74.11	0	  0.00	区域地产	安徽	0.00	2.66	0	
000981	银亿股份	--  	10.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.14	    43.99	0	  0.00	区域地产	甘肃	0.00	10.14	0	
002050	三花智控	--  	10.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.81	    21.75	0	  0.00	机械基件	浙江	0.00	10.81	0	
002089	新 海 宜	0.13	15.21	0.02	15.21	15.25	109	109	0.00	          0.00	15.21	15.21	15.21	15.19	   122.94	165789	  0.34	通信设备	江苏	0.00	15.21	55	
002129	中环股份	--  	8.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.27	    46.77	0	  0.00	半导体	天津	0.00	8.27	0	
