代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000027	深圳能源	-0.28	7.00	-0.02	6.99	7.00	279	279	0.00	          0.00	7.00	7.00	7.00	7.02	    15.56	195300	  0.92	火力发电	深圳	0.00	7.00	140	
000100	TCL 集团	0.00	3.58	0.00	3.57	3.58	1041	1041	0.00	          0.00	3.58	3.58	3.58	3.58	    21.32	372678	  0.53	家用电器	广东	0.00	3.58	521	
000157	中联重科	-0.21	4.84	-0.01	4.83	4.84	814	814	0.00	          0.00	4.84	4.84	4.84	4.85	--  	393976	  0.40	工程机械	湖南	0.00	4.84	407	
000166	申万宏源	0.16	6.31	0.01	6.30	6.31	1668	1668	0.00	          0.00	6.31	6.31	6.31	6.30	    24.66	1052508	  1.36	证券	新疆	0.00	6.31	834	
000423	东阿阿胶	0.08	59.60	0.05	59.58	59.60	376	376	0.00	          0.01	59.60	59.60	59.60	59.55	    21.04	2240960	  0.90	中成药	山东	0.00	59.60	188	
000525	红 太 阳	0.31	19.38	0.06	19.38	19.40	74	74	0.00	          0.00	19.38	19.38	19.38	19.32	   217.17	143412	  0.27	农药化肥	江苏	0.00	19.38	37	
000543	皖能电力	0.00	7.15	0.00	7.15	7.16	678	678	0.00	          0.00	7.15	7.15	7.15	7.15	    12.43	484770	  1.63	火力发电	安徽	0.00	7.15	339	
000568	泸州老窖	0.20	40.71	0.08	40.71	40.75	177	177	0.00	          0.00	40.71	40.71	40.71	40.63	    28.42	720567	  0.45	白酒	四川	0.00	40.71	89	
000707	双环科技	-0.69	8.67	-0.06	8.67	8.68	230	230	0.00	          0.00	8.67	8.67	8.67	8.73	--  	199427	  0.55	化工原料	湖北	0.00	8.67	115	
000712	锦龙股份	0.36	22.59	0.08	22.56	22.59	328	328	0.00	          0.00	22.59	22.59	22.59	22.51	    55.68	740952	  0.64	多元金融	广东	0.00	22.59	164	
