代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000002	万 科Ａ	0.48	20.81	0.10	20.80	20.81	2261	2261	0.00	          0.00	20.81	20.81	20.81	20.71	    20.85	4705141	  1.56	全国地产	深圳	0.00	20.81	1131	
000008	神州高铁	-0.23	8.65	-0.02	8.64	8.65	339	339	0.00	          0.00	8.65	8.65	8.65	8.67	    84.02	293235	  1.31	运输设备	北京	0.00	8.65	170	
000009	中国宝安	-0.21	9.73	-0.02	9.73	9.75	252	252	0.00	          0.00	9.73	9.73	9.73	9.75	    74.56	245196	  0.27	综合类	深圳	0.00	9.73	126	
000021	深科技	-0.20	9.87	-0.02	9.86	9.87	98	98	0.00	          0.00	9.87	9.87	9.87	9.89	    35.88	96726	  0.23	电脑设备	深圳	0.00	9.87	49	
000027	深圳能源	-0.28	7.00	-0.02	6.99	7.00	279	279	0.00	          0.00	7.00	7.00	7.00	7.02	    15.56	195300	  0.92	火力发电	深圳	0.00	7.00	140	
000030	富奥股份	0.11	8.84	0.01	8.84	8.85	433	433	0.00	          0.00	8.84	8.84	8.84	8.83	    16.52	382772	  1.62	汽车配件	吉林	0.00	8.84	217	
000035	中国天楹	-0.27	7.42	-0.02	7.42	7.43	98	98	0.00	          0.00	7.42	7.42	7.42	7.44	    51.00	72716	  0.27	环境保护	江苏	0.00	7.42	49	
000046	泛海控股	0.21	9.37	0.02	9.35	9.37	73	73	0.00	          0.00	9.37	9.37	9.37	9.35	    19.83	68401	  0.46	全国地产	北京	0.00	9.37	37	
000060	中金岭南	-0.52	11.48	-0.06	11.47	11.48	666	666	0.00	          0.00	11.48	11.48	11.48	11.54	   116.26	764568	  0.71	铅锌	深圳	0.00	11.48	333	
000100	TCL 集团	0.00	3.58	0.00	3.57	3.58	1041	1041	0.00	          0.00	3.58	3.58	3.58	3.58	    21.32	372678	  0.53	家用电器	广东	0.00	3.58	521	
000157	中联重科	-0.21	4.84	-0.01	4.83	4.84	814	814	0.00	          0.00	4.84	4.84	4.84	4.85	--  	393976	  0.40	工程机械	湖南	0.00	4.84	407	
000159	国际实业	-0.11	9.48	-0.01	9.46	9.48	299	299	0.00	          0.01	9.48	9.48	9.48	9.49	   294.37	283452	  0.39	石油贸易	新疆	0.00	9.48	150	
000333	美的集团	0.12	33.94	0.04	33.93	33.94	1188	1188	0.00	          0.00	33.94	33.94	33.94	33.90	    12.77	4032072	  0.79	家用电器	广东	0.00	33.94	594	
