代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000034	神州数码	0.00	23.50	0.00	23.50	23.58	68	68	0.00	          0.00	23.50	23.50	23.50	23.50	    34.53	159800	  0.41	综合类	深圳	0.00	23.50	34	
000042	中洲控股	--  	20.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.24	   123.09	0	  0.00	全国地产	深圳	0.00	20.24	0	
000056	皇庭国际	0.08	12.86	0.01	12.86	12.90	5	5	0.00	          0.00	12.86	12.86	12.86	12.85	   148.20	6430	  0.07	房产服务	深圳	0.00	12.86	3	
000150	宜华健康	0.21	28.52	0.06	28.51	28.52	98	98	0.00	          0.00	28.52	28.52	28.52	28.46	     9.91	279496	  0.71	医疗保健	广东	0.00	28.52	49	
000501	鄂武商Ａ	0.50	24.32	0.12	24.24	24.32	263	263	0.00	          0.01	24.32	24.32	24.32	24.20	    15.29	639616	  1.33	百货	湖北	0.00	24.32	132	
000503	海虹控股	0.36	41.93	0.15	41.80	41.93	137	137	0.00	          0.00	41.93	41.93	41.93	41.78	--  	574441	  0.87	医疗保健	海南	0.00	41.93	69	
000509	华塑控股	--  	7.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.76	--  	0	  0.00	其他建材	四川	0.00	7.76	0	
000536	华映科技	0.00	12.07	0.00	12.06	12.07	192	192	0.00	          0.00	12.07	12.07	12.07	12.07	    38.25	231744	  0.78	元器件	福建	0.00	12.07	96	
000566	海南海药	0.56	14.32	0.08	14.32	14.33	3183	3183	0.00	          0.03	14.32	14.32	14.32	14.24	    84.84	4558056	  4.00	化学制药	海南	0.00	14.32	1592	
000587	金洲慈航	-0.32	15.61	-0.05	15.60	15.64	40	40	0.00	          0.00	15.61	15.61	15.61	15.66	    17.76	62440	  0.15	批发业	黑龙江	0.00	15.61	20	
000592	平潭发展	0.16	6.42	0.01	6.41	6.42	131	131	0.00	          0.00	6.42	6.42	6.42	6.41	   436.59	84102	  0.24	林业	福建	0.00	6.42	66	
000600	建投能源	0.00	9.36	0.00	9.35	9.36	101	101	0.00	          0.00	9.36	9.36	9.36	9.36	     7.66	94536	  0.27	火力发电	河北	0.00	9.36	51	
000636	风华高科	0.56	10.78	0.06	10.74	10.78	591	591	0.00	          0.01	10.78	10.78	10.78	10.72	    65.37	637098	  0.95	元器件	广东	0.00	10.78	296	
000639	西王食品	0.00	23.73	0.00	23.73	23.77	81	81	0.00	          0.00	23.73	23.73	23.73	23.73	    69.53	192213	  0.84	食品	山东	0.00	23.73	41	
000670	*ST盈方	3.63	8.00	0.28	7.99	8.00	19694	19694	0.00	          0.33	8.00	8.00	8.00	7.72	   293.42	15755200	 22.95	元器件	湖北	0.00	8.00	9847	
000671	阳 光 城	0.17	5.80	0.01	5.79	5.80	561	561	0.00	          0.00	5.80	5.80	5.80	5.79	    48.48	325380	  0.79	区域地产	福建	0.00	5.80	281	
000678	襄阳轴承	-0.24	12.48	-0.03	12.48	12.55	50	50	0.00	          0.00	12.48	12.48	12.48	12.51	  2557.04	62712	  0.20	机械基件	湖北	0.00	12.48	25	
000681	视觉中国	-0.45	20.10	-0.09	20.08	20.10	64	64	0.00	          0.00	20.10	20.10	20.10	20.19	    85.80	128640	  0.22	互联网	江苏	0.00	20.10	32	
000690	宝新能源	0.00	9.26	0.00	9.25	9.26	780	780	0.00	          0.00	9.26	9.26	9.26	9.26	    27.17	722280	  1.61	火力发电	广东	0.00	9.26	390	
000703	恒逸石化	-0.13	14.84	-0.02	14.84	14.85	7	7	0.00	          0.00	14.84	14.84	14.84	14.86	    35.86	10388	  0.02	化纤	广西	0.00	14.84	4	
000718	苏宁环球	0.14	7.28	0.01	7.27	7.28	782	782	0.00	          0.00	7.28	7.28	7.28	7.27	    20.57	569296	  1.42	区域地产	吉林	0.00	7.28	391	
000728	国元证券	0.10	20.13	0.02	20.12	20.13	385	385	0.00	          0.00	20.13	20.13	20.13	20.11	    31.10	775005	  0.50	证券	安徽	0.00	20.13	193	
000732	泰禾集团	-0.05	18.55	-0.01	18.51	18.55	45	45	0.00	          0.00	18.55	18.55	18.55	18.56	    14.27	83475	  0.16	区域地产	福建	0.00	18.55	23	
000828	东莞控股	0.00	13.49	0.00	13.49	13.50	223	223	0.00	          0.00	13.49	13.49	13.49	13.49	    16.79	300827	  0.55	路桥	广东	0.00	13.49	112	
000893	东凌国际	0.00	14.44	0.00	14.41	14.44	776	776	0.00	          0.02	14.44	14.44	14.44	14.44	   447.74	1120544	  3.13	食品	广东	0.00	14.44	388	
000903	云内动力	--  	8.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.76	    38.01	0	  0.00	机械基件	云南	0.00	8.76	0	
000908	景峰医药	-0.19	10.35	-0.02	10.33	10.35	4	4	0.00	          0.00	10.35	10.35	10.35	10.37	    40.85	4140	  0.04	化学制药	湖南	0.00	10.35	2	
