代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	
000100	TCL 集团	0.00	3.58	0.00	3.57	3.58	1041	1041	0.00	          0.00	3.58	3.58	3.58	3.58	    21.32	372678	  0.53	家用电器	广东	0.00	3.58	521	
000488	晨鸣纸业	-0.08	12.21	-0.01	12.20	12.21	646	646	0.00	          0.01	12.21	12.21	12.21	12.22	    11.46	788766	  0.63	造纸	山东	0.00	12.21	323	
000559	万向钱潮	-0.16	12.72	-0.02	12.72	12.73	1025	80	-0.07	          0.00	12.73	12.73	12.72	12.74	    35.00	1304745	  2.75	汽车配件	浙江	0.08	12.73	553	
000561	烽火电子	0.20	14.96	0.03	14.95	14.96	144	144	0.00	          0.00	14.96	14.96	14.96	14.93	    94.85	215424	  0.30	通信设备	陕西	0.00	14.96	72	
000566	海南海药	0.56	14.32	0.08	14.32	14.33	3183	3183	0.00	          0.03	14.32	14.32	14.32	14.24	    84.84	4558056	  4.00	化学制药	海南	0.00	14.32	1592	
000598	兴蓉环境	0.00	5.87	0.00	5.87	5.88	318	318	0.00	          0.00	5.87	5.87	5.87	5.87	    17.32	186666	  0.28	水务	四川	0.00	5.87	159	
000599	青岛双星	-0.23	8.78	-0.02	8.77	8.78	6348	6348	0.00	          0.10	8.78	8.78	8.78	8.80	    54.79	5573544	  9.83	汽车配件	山东	0.00	8.78	3174	
000703	恒逸石化	-0.13	14.84	-0.02	14.84	14.85	7	7	0.00	          0.00	14.84	14.84	14.84	14.86	    35.86	10388	  0.02	化纤	广西	0.00	14.84	4	
000725	京东方Ａ	0.00	3.20	0.00	3.19	3.20	8971	8971	0.00	          0.00	3.20	3.20	3.20	3.20	   599.76	2870720	  0.91	元器件	北京	0.00	3.20	4486	
000837	秦川机床	0.00	9.45	0.00	9.41	9.45	362	362	0.00	          0.01	9.45	9.45	9.45	9.45	--  	342090	  0.94	机床制造	陕西	0.00	9.45	181	
002010	传化智联	0.22	17.87	0.04	17.87	17.89	56	56	0.00	          0.00	17.87	17.87	17.87	17.83	    76.30	100072	  0.51	染料涂料	浙江	0.00	17.87	28	
002011	盾安环境	0.00	9.55	0.00	9.53	9.55	24	24	0.00	          0.00	9.55	9.55	9.55	9.55	   115.74	22920	  0.14	工程机械	浙江	0.00	9.55	12	
