代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000035	中国天楹	-0.40	7.44	-0.03	7.41	7.41	0	0	--  	          0.00	--  	--  	--  	7.44	    51.14	0	  0.27	环境保护	江苏	0.00	7.44	0	
000420	吉林化纤	-0.24	4.09	-0.01	4.08	4.08	0	0	--  	          0.00	--  	--  	--  	4.09	   270.64	0	  0.33	化纤	吉林	0.00	4.09	0	
000502	绿景控股	-0.34	17.69	-0.06	17.63	17.63	0	0	--  	          0.00	--  	--  	--  	17.69	--  	0	  0.66	医疗保健	广东	0.00	17.69	0	
000544	中原环保	0.56	19.52	0.11	19.63	19.63	0	0	--  	          0.00	--  	--  	--  	19.52	    38.23	0	  0.70	环境保护	河南	0.00	19.52	0	
000571	新大洲Ａ	0.65	7.65	0.05	7.70	7.70	0	0	--  	          0.00	--  	--  	--  	7.65	    72.27	0	  0.53	煤炭开采	海南	0.00	7.65	0	
000593	大通燃气	-0.56	10.74	-0.06	10.68	10.68	0	0	--  	          0.00	--  	--  	--  	10.74	   629.13	0	  0.90	供气供热	四川	0.00	10.74	0	
000617	中油资本	-0.66	19.73	-0.13	19.60	19.60	0	0	--  	          0.00	--  	--  	--  	19.73	--  	0	  0.37	多元金融	山东	0.00	19.73	0	
000759	中百集团	0.32	9.45	0.03	9.48	9.48	0	0	--  	          0.00	--  	--  	--  	9.45	--  	0	  0.13	超市连锁	湖北	0.00	9.45	0	
000760	斯太尔	-0.58	10.26	-0.06	10.20	10.20	0	0	--  	          0.00	--  	--  	--  	10.26	--  	0	  1.02	汽车配件	湖北	0.00	10.26	0	
000833	贵糖股份	-0.11	9.40	-0.01	9.39	9.39	0	0	--  	          0.00	--  	--  	--  	9.40	--  	0	  0.46	造纸	广西	0.00	9.40	0	
000901	航天科技	0.11	36.34	0.04	36.38	36.38	0	0	--  	          0.00	--  	--  	--  	36.34	   399.85	0	  0.18	航空	黑龙江	0.00	36.34	0	
000906	浙商中拓	--  	16.43	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.43	    50.41	0	  0.00	批发业	湖南	0.00	16.43	0	
000953	*ST河化	--  	12.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.01	--  	0	  0.00	农药化肥	广西	0.00	12.01	0	
002019	亿帆医药	0.00	16.73	0.00	16.73	16.73	0	0	--  	          0.00	--  	--  	--  	16.73	    25.74	0	  0.10	化学制药	浙江	0.00	16.73	0	
002072	凯瑞德	0.74	24.18	0.18	24.36	24.36	0	0	--  	          0.00	--  	--  	--  	24.18	    97.64	0	  0.14	纺织	山东	0.00	24.18	0	
002080	中材科技	--  	19.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.40	    34.66	0	  0.00	化纤	江苏	0.00	19.40	0	
002095	生 意 宝	0.47	42.60	0.20	42.80	42.80	0	0	--  	          0.00	--  	--  	--  	42.60	   503.03	0	  0.24	互联网	浙江	0.00	42.60	0	
002102	冠福股份	0.00	5.09	0.00	5.09	5.09	0	0	--  	          0.00	--  	--  	--  	5.09	    82.43	0	  0.24	化学制药	福建	0.00	5.09	0	
002137	麦达数字	0.00	12.64	0.00	12.64	12.64	0	0	--  	          0.00	--  	--  	--  	12.64	    38.91	0	  0.18	元器件	深圳	0.00	12.64	0	
