代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	-0.11	9.44	-0.01	9.43	9.43	0	0	--  	          0.00	--  	--  	--  	9.44	     6.49	0	  0.95	银行	深圳	0.00	9.44	0	
000002	万 科Ａ	0.48	20.71	0.10	20.81	20.81	0	0	--  	          0.00	--  	--  	--  	20.71	    20.75	0	  0.95	全国地产	深圳	0.00	20.71	0	
000046	泛海控股	0.21	9.35	0.02	9.37	9.37	0	0	--  	          0.00	--  	--  	--  	9.35	    19.79	0	  0.38	全国地产	北京	0.00	9.35	0	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	
000069	华侨城Ａ	0.39	7.60	0.03	7.63	7.63	0	0	--  	          0.00	--  	--  	--  	7.60	    16.03	0	  0.40	旅游景点	深圳	0.00	7.60	0	
000100	TCL 集团	0.00	3.58	0.00	3.58	3.58	0	0	--  	          0.00	--  	--  	--  	3.58	    21.32	0	  0.53	家用电器	广东	0.00	3.58	0	
000166	申万宏源	0.32	6.30	0.02	6.32	6.32	0	0	--  	          0.00	--  	--  	--  	6.30	    24.62	0	  0.97	证券	新疆	0.00	6.30	0	
000333	美的集团	0.15	33.90	0.05	33.95	33.95	0	0	--  	          0.00	--  	--  	--  	33.90	    12.75	0	  0.45	家用电器	广东	0.00	33.90	0	
000413	东旭光电	--  	10.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.21	    47.18	0	  0.00	元器件	河北	0.00	10.21	0	
000415	渤海金控	-0.28	7.27	-0.02	7.25	7.25	0	0	--  	          0.00	--  	--  	--  	7.27	    23.42	0	  0.18	多元金融	新疆	0.00	7.27	0	
000503	海虹控股	0.53	41.78	0.22	42.00	42.00	0	0	--  	          0.00	--  	--  	--  	41.78	--  	0	  0.87	医疗保健	海南	0.00	41.78	0	
000538	云南白药	0.00	77.23	0.00	77.23	77.23	0	0	--  	          0.00	--  	--  	--  	77.23	    25.56	0	  0.54	中成药	云南	0.00	77.23	0	
000559	万向钱潮	0.00	12.74	0.00	12.74	12.74	0	0	--  	          0.00	--  	--  	--  	12.74	    35.06	0	  1.39	汽车配件	浙江	0.00	12.74	0	
000564	供销大集	-0.81	8.63	-0.07	8.56	8.56	0	0	--  	          0.00	--  	--  	--  	8.63	  1565.19	0	  0.59	百货	陕西	0.00	8.63	0	
000568	泸州老窖	0.17	40.63	0.07	40.70	40.70	0	0	--  	          0.00	--  	--  	--  	40.63	    28.37	0	  0.39	白酒	四川	0.00	40.63	0	
000625	长安汽车	0.51	15.62	0.08	15.70	15.70	0	0	--  	          0.00	--  	--  	--  	15.62	     7.27	0	  1.72	汽车整车	重庆	0.00	15.62	0	
000651	格力电器	0.03	28.87	0.01	28.88	28.88	0	0	--  	          0.00	--  	--  	--  	28.87	    11.60	0	  0.45	家用电器	广东	0.00	28.87	0	
000709	河钢股份	0.00	3.84	0.00	3.84	3.84	0	0	--  	          0.00	--  	--  	--  	3.84	    32.77	0	  0.64	普钢	河北	0.00	3.84	0	
000725	京东方Ａ	0.00	3.20	0.00	3.20	3.20	0	0	--  	          0.00	--  	--  	--  	3.20	   599.76	0	  0.88	元器件	北京	0.00	3.20	0	
000728	国元证券	0.20	20.11	0.04	20.15	20.15	0	0	--  	          0.00	--  	--  	--  	20.11	    31.07	0	  0.48	证券	安徽	0.00	20.11	0	
000768	中航飞机	0.04	24.05	0.01	24.06	24.06	0	0	--  	          0.00	--  	--  	--  	24.05	   422.98	0	  1.00	航空	陕西	0.00	24.05	0	
000776	广发证券	-0.17	17.41	-0.03	17.38	17.38	0	0	--  	          0.00	--  	--  	--  	17.41	    16.09	0	  0.29	证券	广东	0.00	17.41	0	
000783	长江证券	-0.20	10.23	-0.02	10.21	10.21	0	0	--  	          0.00	--  	--  	--  	10.23	    24.32	0	  0.40	证券	湖北	0.00	10.23	0	
000792	盐湖股份	0.05	18.62	0.01	18.63	18.63	0	0	--  	          0.00	--  	--  	--  	18.62	    99.67	0	  0.42	农药化肥	青海	0.00	18.62	0	
000858	五 粮 液	-0.05	41.65	-0.02	41.63	41.63	0	0	--  	          0.00	--  	--  	--  	41.65	    23.24	0	  0.82	白酒	四川	0.00	41.65	0	
000876	新 希 望	0.00	8.08	0.00	8.08	8.08	0	0	--  	          0.00	--  	--  	--  	8.08	    12.09	0	  0.45	饲料	四川	0.00	8.08	0	
000895	双汇发展	-0.18	21.79	-0.04	21.75	21.75	0	0	--  	          0.00	--  	--  	--  	21.79	    16.45	0	  0.10	食品	河南	0.00	21.79	0	
000938	紫光股份	--  	56.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	56.89	    85.57	0	  0.00	软件服务	北京	0.00	56.89	0	
001979	招商蛇口	0.00	18.10	0.00	18.10	18.10	0	0	--  	          0.00	--  	--  	--  	18.10	    19.12	0	  1.04	全国地产	深圳	0.00	18.10	0	
002024	苏宁云商	0.00	11.03	0.00	11.03	11.03	0	0	--  	          0.00	--  	--  	--  	11.03	--  	0	  0.19	电器连锁	江苏	0.00	11.03	0	
002027	分众传媒	0.17	11.63	0.02	11.65	11.65	0	0	--  	          0.00	--  	--  	--  	11.63	    24.22	0	  0.45	软件服务	广东	0.00	11.63	0	
002142	宁波银行	-0.06	18.11	-0.01	18.10	18.10	0	0	--  	          0.00	--  	--  	--  	18.11	     8.35	0	  0.13	银行	浙江	0.00	18.11	0	
002230	科大讯飞	-0.03	34.59	-0.01	34.58	34.58	0	0	--  	          0.00	--  	--  	--  	34.59	   122.25	0	  0.21	软件服务	安徽	0.00	34.59	0	
002236	大华股份	0.00	16.40	0.00	16.40	16.40	0	0	--  	          0.00	--  	--  	--  	16.40	    33.34	0	  0.65	电器仪表	浙江	0.00	16.40	0	
002241	歌尔股份	0.55	32.62	0.18	32.80	32.80	0	0	--  	          0.00	--  	--  	--  	32.62	    36.04	0	  0.98	元器件	山东	0.00	32.62	0	
002252	上海莱士	0.20	19.77	0.04	19.81	19.81	0	0	--  	          0.00	--  	--  	--  	19.77	    59.75	0	  0.11	生物制药	上海	0.00	19.77	0	
002280	联络互动	0.09	11.59	0.01	11.60	11.60	0	0	--  	          0.00	--  	--  	--  	11.59	    72.05	0	  0.26	软件服务	浙江	0.00	11.59	0	
002292	奥飞娱乐	-0.77	22.10	-0.17	21.93	21.93	0	0	--  	          0.00	--  	--  	--  	22.10	    49.51	0	  0.53	影视音像	广东	0.00	22.10	0	
002304	洋河股份	0.65	86.31	0.56	86.87	86.87	0	0	--  	          0.00	--  	--  	--  	86.31	    20.16	0	  0.17	白酒	江苏	0.00	86.31	0	
002415	海康威视	0.07	30.18	0.02	30.20	30.20	0	0	--  	          0.00	--  	--  	--  	30.18	    28.73	0	  0.28	电器仪表	浙江	0.00	30.18	0	
002450	康得新	-0.05	19.39	-0.01	19.38	19.38	0	0	--  	          0.00	--  	--  	--  	19.39	    36.23	0	  0.06	化工原料	江苏	0.00	19.39	0	
002466	天齐锂业	0.13	39.64	0.05	39.69	39.69	0	0	--  	          0.00	--  	--  	--  	39.64	    24.57	0	  0.17	小金属	四川	0.00	39.64	0	
002475	立讯精密	0.04	23.18	0.01	23.19	23.19	0	0	--  	          0.00	--  	--  	--  	23.18	    54.15	0	  0.02	元器件	深圳	0.00	23.18	0	
002500	山西证券	0.00	11.31	0.00	11.31	11.31	0	0	--  	          0.00	--  	--  	--  	11.31	    74.04	0	  0.11	证券	山西	0.00	11.31	0	
002555	三七互娱	1.33	21.02	0.28	21.30	21.30	0	0	--  	          0.00	--  	--  	--  	21.02	    43.70	0	  0.57	互联网	安徽	0.00	21.02	0	
002558	世纪游轮	0.00	80.23	0.00	80.23	80.23	0	0	--  	          0.00	--  	--  	--  	80.23	   127.43	0	  0.22	旅游服务	重庆	0.00	80.23	0	
002594	比亚迪	0.12	49.84	0.06	49.90	49.90	0	0	--  	          0.00	--  	--  	--  	49.84	    27.83	0	  0.26	汽车整车	深圳	0.00	49.84	0	
002624	完美世界	0.10	31.50	0.03	31.53	31.53	0	0	--  	          0.00	--  	--  	--  	31.50	    43.29	0	  0.06	影视音像	浙江	0.00	31.50	0	
002673	西部证券	0.10	19.06	0.02	19.08	19.08	0	0	--  	          0.00	--  	--  	--  	19.06	    42.73	0	  0.07	证券	陕西	0.00	19.06	0	
002736	国信证券	0.00	15.07	0.00	15.07	15.07	0	0	--  	          0.00	--  	--  	--  	15.07	    25.02	0	  0.31	证券	深圳	0.00	15.07	0	
002739	万达院线	0.12	57.63	0.07	57.70	57.70	0	0	--  	          0.00	--  	--  	--  	57.63	    44.28	0	  0.22	影视音像	北京	0.00	57.63	0	
002797	第一创业	0.10	29.56	0.03	29.59	29.59	0	0	--  	          0.00	--  	--  	--  	29.56	   114.37	0	  0.18	证券	深圳	0.00	29.56	0	
300017	网宿科技	-6.72	53.60	-3.60	50.00	50.00	0	0	--  	          0.00	--  	--  	--  	53.60	    34.81	0	 19.06	电信运营	上海	0.00	53.60	0	
300024	机器人	0.04	22.55	0.01	22.56	22.56	0	0	--  	          0.00	--  	--  	--  	22.55	    85.65	0	  0.26	专用机械	辽宁	0.00	22.55	0	
300027	华谊兄弟	0.56	10.63	0.06	10.69	10.69	0	0	--  	          0.00	--  	--  	--  	10.63	    35.69	0	  0.62	影视音像	浙江	0.00	10.63	0	
