代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000028	国药一致	0.30	70.54	0.21	70.51	70.54	11	11	0.00	          0.00	70.54	70.54	70.54	70.33	    31.34	77594	  0.23	医药商业	深圳	0.00	70.54	6	
000058	深 赛 格	0.00	10.61	0.00	10.61	10.65	34	34	0.00	          0.00	10.61	10.61	10.61	10.61	   232.57	36074	  0.19	元器件	深圳	0.00	10.61	17	
000065	北方国际	0.03	31.04	0.01	31.04	31.12	17	17	0.00	          0.00	31.04	31.04	31.04	31.03	    74.93	52768	  0.13	建筑施工	北京	0.00	31.04	9	
000066	长城电脑	0.18	10.93	0.02	10.92	10.93	336	336	0.00	          0.00	10.93	10.93	10.93	10.91	   897.87	367248	  0.27	电脑设备	深圳	0.00	10.93	168	
000408	*ST金源	--  	16.06	--  	16.01	16.12	0	0	--  	          0.00	--  	--  	--  	16.06	    53.36	0	  0.00	商贸代理	河北	0.00	16.06	0	
000426	兴业矿业	-0.34	8.90	-0.03	8.89	8.90	378	378	0.00	          0.00	8.90	8.90	8.90	8.93	   128.87	336420	  0.72	铅锌	内蒙	0.00	8.90	189	
000488	晨鸣纸业	-0.08	12.21	-0.01	12.20	12.21	646	646	0.00	          0.01	12.21	12.21	12.21	12.22	    11.46	788766	  0.63	造纸	山东	0.00	12.21	323	
000513	丽珠集团	0.18	54.83	0.10	54.83	54.90	36	36	0.00	          0.00	54.83	54.83	54.83	54.73	    28.47	197388	  0.48	中成药	广东	0.00	54.83	18	
000519	中兵红箭	-0.30	16.63	-0.05	16.62	16.63	634	634	0.00	          0.01	16.63	16.63	16.63	16.68	   376.42	1054342	  0.46	矿物制品	湖南	0.00	16.63	317	
000521	美菱电器	0.82	7.36	0.06	7.32	7.36	1991	1991	0.00	          0.03	7.36	7.36	7.36	7.30	    34.89	1465376	  5.35	家用电器	安徽	0.00	7.36	996	
000524	岭南控股	0.00	14.87	0.00	14.83	14.87	60	60	0.00	          0.00	14.87	14.87	14.87	14.87	   103.31	89220	  0.35	酒店餐饮	广东	0.00	14.87	30	
000536	华映科技	0.00	12.07	0.00	12.06	12.07	192	192	0.00	          0.00	12.07	12.07	12.07	12.07	    38.25	231744	  0.78	元器件	福建	0.00	12.07	96	
000544	中原环保	0.56	19.63	0.11	19.57	19.63	203	203	0.00	          0.01	19.63	19.63	19.63	19.52	    38.44	398489	  0.72	环境保护	河南	0.00	19.63	102	
000555	神州信息	-0.65	22.79	-0.15	22.79	22.90	399	399	0.00	          0.00	22.79	22.79	22.79	22.94	   133.52	909321	  1.13	软件服务	深圳	0.00	22.79	200	
000564	供销大集	-0.12	8.62	-0.01	8.62	8.63	363	363	0.00	          0.01	8.62	8.62	8.62	8.63	  1563.38	312906	  0.64	百货	陕西	0.00	8.62	182	
000605	渤海股份	0.00	20.74	0.00	20.69	20.74	32	32	0.00	          0.00	20.74	20.74	20.74	20.74	   122.32	66368	  0.47	水务	北京	0.00	20.74	16	
000617	中油资本	0.35	19.80	0.07	19.80	19.82	326	326	0.00	          0.01	19.80	19.80	19.80	19.73	--  	645480	  0.70	多元金融	山东	0.00	19.80	163	
000625	长安汽车	0.51	15.70	0.08	15.70	15.71	3473	3473	0.00	          0.01	15.70	15.70	15.70	15.62	     7.31	5452610	  1.99	汽车整车	重庆	0.00	15.70	1737	
000630	铜陵有色	0.00	3.24	0.00	3.24	3.25	5357	5357	0.00	          0.01	3.24	3.24	3.24	3.24	   268.79	1735668	  1.12	铜	安徽	0.00	3.24	2679	
000656	金科股份	0.00	5.82	0.00	5.82	5.83	707	707	0.00	          0.00	5.82	5.82	5.82	5.82	    23.13	411474	  0.65	区域地产	重庆	0.00	5.82	354	
000683	远兴能源	-0.33	3.04	-0.01	3.04	3.05	1564	1564	0.00	          0.01	3.04	3.04	3.04	3.05	   176.40	475456	  1.00	化工原料	内蒙	0.00	3.04	782	
000703	恒逸石化	-0.13	14.84	-0.02	14.84	14.85	7	7	0.00	          0.00	14.84	14.84	14.84	14.86	    35.86	10388	  0.02	化纤	广西	0.00	14.84	4	
000753	漳州发展	0.00	5.47	0.00	5.46	5.47	292	292	0.00	          0.00	5.47	5.47	5.47	5.47	   251.18	159724	  0.46	汽车服务	福建	0.00	5.47	146	
000767	漳泽电力	0.00	3.96	0.00	3.95	3.96	1859	1859	0.00	          0.01	3.96	3.96	3.96	3.96	 27642.22	736164	  3.65	火力发电	山西	0.00	3.96	930	
000786	北新建材	-0.17	11.82	-0.02	11.80	11.82	41	41	0.00	          0.00	11.82	11.82	11.82	11.84	    20.27	48462	  0.06	其他建材	北京	0.00	11.82	21	
000807	云铝股份	-1.05	7.55	-0.08	7.55	7.57	1148	1148	0.00	          0.01	7.55	7.55	7.55	7.63	    81.31	866740	  0.80	铝	云南	0.00	7.55	574	
000810	创维数字	0.07	14.14	0.01	14.13	14.14	97	97	0.00	          0.00	14.14	14.14	14.14	14.13	    31.62	137158	  0.67	元器件	四川	0.00	14.14	49	
000813	德展健康	--  	14.68	--  	14.69	14.70	0	0	--  	          0.00	--  	--  	--  	14.68	    31.64	0	  0.00	化学制药	新疆	0.00	14.68	0	
000820	神雾节能	-0.29	37.99	-0.11	37.99	38.00	86	86	0.00	          0.00	37.99	37.99	37.99	38.10	   120.74	326714	  0.36	环境保护	辽宁	0.00	37.99	43	
000851	高鸿股份	-0.64	12.42	-0.08	12.42	12.45	1565	1565	0.00	          0.03	12.42	12.42	12.42	12.50	   144.08	1943730	  2.85	软件服务	贵州	0.00	12.42	783	
000862	银星能源	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	   507.54	0	  0.00	新型电力	宁夏	0.00	7.90	0	
000875	吉电股份	-0.16	6.07	-0.01	6.07	6.08	23	23	0.00	          0.00	6.07	6.07	6.07	6.08	   162.69	13961	  0.06	火力发电	吉林	0.00	6.07	12	
000876	新 希 望	0.00	8.08	0.00	8.08	8.09	278	278	0.00	          0.00	8.08	8.08	8.08	8.08	    12.09	224624	  0.47	饲料	四川	0.00	8.08	139	
000881	中广核技	0.34	26.80	0.09	26.72	26.80	31	31	0.00	          0.00	26.80	26.80	26.80	26.71	 35623.77	83080	  0.17	综合类	辽宁	0.00	26.80	16	
000882	华联股份	0.23	4.28	0.01	4.27	4.28	1420	1420	0.00	          0.01	4.28	4.28	4.28	4.27	    57.24	607760	  1.16	百货	北京	0.00	4.28	710	
