代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000034	神州数码	0.00	23.50	0.00	23.50	23.58	68	68	0.00	          0.00	23.50	23.50	23.50	23.50	    34.53	159800	  0.41	综合类	深圳	0.00	23.50	34	
000046	泛海控股	0.21	9.37	0.02	9.35	9.37	73	73	0.00	          0.00	9.37	9.37	9.37	9.35	    19.83	68401	  0.46	全国地产	北京	0.00	9.37	37	
000430	张家界	0.00	12.40	0.00	12.40	12.43	18	18	0.00	          0.00	12.40	12.40	12.40	12.40	    30.93	22320	  0.12	旅游景点	湖南	0.00	12.40	9	
000546	金圆股份	-0.24	12.30	-0.03	12.30	12.31	31	31	0.00	          0.00	12.30	12.30	12.30	12.33	    24.60	38130	  0.03	水泥	吉林	0.00	12.30	16	
000826	启迪桑德	-0.29	34.40	-0.10	34.40	34.48	100	100	0.00	          0.00	34.40	34.40	34.40	34.50	    30.78	344000	  0.99	环境保护	湖北	0.00	34.40	50	
000925	众合科技	--  	24.15	--  	24.10	24.15	0	0	--  	          0.00	--  	--  	--  	24.15	--  	0	  0.00	专用机械	浙江	0.00	24.15	0	
000932	华菱钢铁	0.00	5.13	0.00	5.12	5.13	107	107	0.00	          0.00	5.13	5.13	5.13	5.13	--  	54891	  0.22	普钢	湖南	0.00	5.13	54	
000960	锡业股份	-0.07	13.82	-0.01	13.81	13.82	916	916	0.00	          0.01	13.82	13.82	13.82	13.83	   270.06	1265912	  1.27	小金属	云南	0.00	13.82	458	
000980	金马股份	-0.59	16.85	-0.10	16.85	16.88	1597	1597	0.00	          0.03	16.85	16.85	16.85	16.95	   102.54	2690945	  1.00	汽车配件	安徽	0.00	16.85	799	
000988	华工科技	0.06	16.03	0.01	16.03	16.05	387	387	0.00	          0.00	16.03	16.03	16.03	16.02	    63.91	620361	  0.74	电器仪表	湖北	0.00	16.03	194	
002002	鸿达兴业	0.25	8.15	0.02	8.15	8.16	551	551	0.00	          0.00	8.15	8.15	8.15	8.13	    28.36	449065	  0.73	化工原料	江苏	0.00	8.15	276	
002005	德豪润达	0.00	6.00	0.00	6.00	6.02	1174	1174	0.00	          0.01	6.00	6.00	6.00	6.00	   340.19	704400	  1.54	家用电器	广东	0.00	6.00	587	
002019	亿帆医药	0.00	16.73	0.00	16.73	16.77	84	84	0.00	          0.00	16.73	16.73	16.73	16.73	    25.74	140532	  0.14	化学制药	浙江	0.00	16.73	42	
002020	京新药业	-0.75	11.90	-0.09	11.90	11.96	277	277	0.00	          0.01	11.90	11.90	11.90	11.99	    28.46	329630	  1.10	化学制药	浙江	0.00	11.90	139	
002047	宝鹰股份	0.00	9.20	0.00	9.18	9.20	66	66	0.00	          0.00	9.20	9.20	9.20	9.20	    34.06	60720	  0.25	装修装饰	深圳	0.00	9.20	33	
002057	中钢天源	0.39	15.46	0.06	15.46	15.48	374	374	0.00	          0.02	15.46	15.46	15.46	15.40	   281.88	578204	  0.99	元器件	安徽	0.00	15.46	187	
002068	黑猫股份	-0.22	9.14	-0.02	9.13	9.14	100	100	0.00	          0.00	9.14	9.14	9.14	9.16	--  	91400	  0.15	化工原料	江西	0.00	9.14	50	
