代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000006	深振业Ａ	-0.23	8.76	-0.02	8.74	8.74	0	0	--  	          0.00	--  	--  	--  	8.76	    77.47	0	  0.82	区域地产	深圳	0.00	8.76	0	
000012	南 玻Ａ	-0.09	11.35	-0.01	11.34	11.34	0	0	--  	          0.00	--  	--  	--  	11.35	    24.71	0	  0.17	玻璃	深圳	0.00	11.35	0	
000021	深科技	-0.20	9.89	-0.02	9.87	9.87	0	0	--  	          0.00	--  	--  	--  	9.89	    35.95	0	  0.23	电脑设备	深圳	0.00	9.89	0	
000036	华联控股	0.36	8.39	0.03	8.42	8.42	0	0	--  	          0.00	--  	--  	--  	8.39	    15.09	0	  0.49	全国地产	深圳	0.00	8.39	0	
000059	华锦股份	0.08	12.36	0.01	12.37	12.37	0	0	--  	          0.00	--  	--  	--  	12.36	    12.63	0	  0.15	石油加工	辽宁	0.00	12.36	0	
000066	长城电脑	0.09	10.91	0.01	10.92	10.92	0	0	--  	          0.00	--  	--  	--  	10.91	   896.23	0	  0.26	电脑设备	深圳	0.00	10.91	0	
000078	海王生物	0.00	6.44	0.00	6.44	6.44	0	0	--  	          0.00	--  	--  	--  	6.44	    56.16	0	  0.13	生物制药	深圳	0.00	6.44	0	
000401	冀东水泥	0.36	13.84	0.05	13.89	13.89	0	0	--  	          0.00	--  	--  	--  	13.84	--  	0	  0.08	水泥	河北	0.00	13.84	0	
000410	沈阳机床	0.08	11.93	0.01	11.94	11.94	0	0	--  	          0.00	--  	--  	--  	11.93	--  	0	  0.12	机床制造	辽宁	0.00	11.93	0	
000418	小天鹅Ａ	-0.15	38.81	-0.06	38.75	38.75	0	0	--  	          0.00	--  	--  	--  	38.81	    20.89	0	  0.55	家用电器	江苏	0.00	38.81	0	
000488	晨鸣纸业	0.00	12.22	0.00	12.22	12.22	0	0	--  	          0.00	--  	--  	--  	12.22	    11.46	0	  0.60	造纸	山东	0.00	12.22	0	
000513	丽珠集团	0.16	54.73	0.09	54.82	54.82	0	0	--  	          0.00	--  	--  	--  	54.73	    28.42	0	  0.45	中成药	广东	0.00	54.73	0	
000516	国际医学	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	    60.08	0	  0.00	百货	陕西	0.00	7.90	0	
000519	中兵红箭	-0.30	16.68	-0.05	16.63	16.63	0	0	--  	          0.00	--  	--  	--  	16.68	   377.56	0	  0.33	矿物制品	湖南	0.00	16.68	0	
000543	皖能电力	0.14	7.15	0.01	7.16	7.16	0	0	--  	          0.00	--  	--  	--  	7.15	    12.43	0	  1.52	火力发电	安徽	0.00	7.15	0	
000566	海南海药	0.56	14.24	0.08	14.32	14.32	0	0	--  	          0.00	--  	--  	--  	14.24	    84.37	0	  2.38	化学制药	海南	0.00	14.24	0	
000592	平潭发展	0.16	6.41	0.01	6.42	6.42	0	0	--  	          0.00	--  	--  	--  	6.41	   435.91	0	  0.24	林业	福建	0.00	6.41	0	
000612	焦作万方	0.27	11.08	0.03	11.11	11.11	0	0	--  	          0.00	--  	--  	--  	11.08	   233.54	0	  1.11	铝	河南	0.00	11.08	0	
000636	风华高科	0.75	10.72	0.08	10.80	10.80	0	0	--  	          0.00	--  	--  	--  	10.72	    65.01	0	  0.87	元器件	广东	0.00	10.72	0	
000666	经纬纺机	0.00	23.80	0.00	23.80	23.80	0	0	--  	          0.00	--  	--  	--  	23.80	    29.58	0	  0.19	纺织机械	北京	0.00	23.80	0	
000667	美好置业	-0.53	3.77	-0.02	3.75	3.75	0	0	--  	          0.00	--  	--  	--  	3.77	    14.51	0	  2.45	全国地产	云南	0.00	3.77	0	
000690	宝新能源	0.00	9.26	0.00	9.26	9.26	0	0	--  	          0.00	--  	--  	--  	9.26	    27.17	0	  0.13	火力发电	广东	0.00	9.26	0	
000697	炼石有色	--  	23.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.51	--  	0	  0.00	小金属	陕西	0.00	23.51	0	
000727	华东科技	0.00	3.26	0.00	3.26	3.26	0	0	--  	          0.00	--  	--  	--  	3.26	--  	0	  0.36	元器件	江苏	0.00	3.26	0	
000751	锌业股份	-0.17	5.98	-0.01	5.97	5.97	0	0	--  	          0.00	--  	--  	--  	5.98	    66.87	0	  0.41	铅锌	辽宁	0.00	5.98	0	
000758	中色股份	-0.12	8.55	-0.01	8.54	8.54	0	0	--  	          0.00	--  	--  	--  	8.55	    61.94	0	  0.57	铅锌	北京	0.00	8.55	0	
000762	西藏矿业	0.06	18.04	0.01	18.05	18.05	0	0	--  	          0.00	--  	--  	--  	18.04	   546.71	0	  0.49	小金属	西藏	0.00	18.04	0	
000766	通化金马	0.11	17.98	0.02	18.00	18.00	0	0	--  	          0.00	--  	--  	--  	17.98	    97.13	0	  0.08	中成药	吉林	0.00	17.98	0	
000816	智慧农业	0.15	6.66	0.01	6.67	6.67	0	0	--  	          0.00	--  	--  	--  	6.66	   859.91	0	  0.25	机械基件	江苏	0.00	6.66	0	
000820	神雾节能	-0.52	38.10	-0.20	37.90	37.90	0	0	--  	          0.00	--  	--  	--  	38.10	   121.09	0	  0.20	环境保护	辽宁	0.00	38.10	0	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	
000860	顺鑫农业	0.36	22.20	0.08	22.28	22.28	0	0	--  	          0.00	--  	--  	--  	22.20	    38.50	0	  0.20	白酒	北京	0.00	22.20	0	
000875	吉电股份	-0.16	6.08	-0.01	6.07	6.07	0	0	--  	          0.00	--  	--  	--  	6.08	   162.96	0	  0.04	火力发电	吉林	0.00	6.08	0	
000882	华联股份	0.23	4.27	0.01	4.28	4.28	0	0	--  	          0.00	--  	--  	--  	4.27	    57.10	0	  0.38	百货	北京	0.00	4.27	0	
000901	航天科技	0.11	36.34	0.04	36.38	36.38	0	0	--  	          0.00	--  	--  	--  	36.34	   399.85	0	  0.18	航空	黑龙江	0.00	36.34	0	
000930	中粮生化	0.00	13.36	0.00	13.36	13.36	0	0	--  	          0.00	--  	--  	--  	13.36	    91.20	0	  0.09	农业综合	安徽	0.00	13.36	0	
000939	凯迪生态	0.00	12.09	0.00	12.09	12.09	0	0	--  	          0.00	--  	--  	--  	12.09	   105.40	0	  0.11	新型电力	湖北	0.00	12.09	0	
000970	中科三环	0.35	14.31	0.05	14.36	14.36	0	0	--  	          0.00	--  	--  	--  	14.31	    49.39	0	  0.09	元器件	北京	0.00	14.31	0	
000982	中银绒业	--  	9.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.15	--  	0	  0.00	纺织	宁夏	0.00	9.15	0	
000988	华工科技	0.00	16.02	0.00	16.02	16.02	0	0	--  	          0.00	--  	--  	--  	16.02	    63.87	0	  0.09	电器仪表	湖北	0.00	16.02	0	
002022	科华生物	0.24	20.75	0.05	20.80	20.80	0	0	--  	          0.00	--  	--  	--  	20.75	    39.07	0	  0.07	医疗保健	上海	0.00	20.75	0	
002023	海特高新	0.00	14.35	0.00	14.35	14.35	0	0	--  	          0.00	--  	--  	--  	14.35	   187.09	0	  0.16	航空	四川	0.00	14.35	0	
002028	思源电气	-0.31	16.35	-0.05	16.30	16.30	0	0	--  	          0.00	--  	--  	--  	16.35	    39.15	0	  0.38	电气设备	上海	0.00	16.35	0	
002036	联创电子	-0.35	20.03	-0.07	19.96	19.96	0	0	--  	          0.00	--  	--  	--  	20.03	    65.80	0	  0.15	元器件	浙江	0.00	20.03	0	
002047	宝鹰股份	-0.11	9.20	-0.01	9.19	9.19	0	0	--  	          0.00	--  	--  	--  	9.20	    34.06	0	  0.02	装修装饰	深圳	0.00	9.20	0	
002048	宁波华翔	0.42	23.80	0.10	23.90	23.90	0	0	--  	          0.00	--  	--  	--  	23.80	    20.64	0	  0.08	汽车配件	浙江	0.00	23.80	0	
002050	三花智控	--  	10.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.81	    21.75	0	  0.00	机械基件	浙江	0.00	10.81	0	
002070	众和股份	-1.72	14.55	-0.25	14.30	14.30	0	0	--  	          0.00	--  	--  	--  	14.55	   134.19	0	  0.82	纺织	福建	0.00	14.55	0	
002078	太阳纸业	0.14	7.33	0.01	7.34	7.34	0	0	--  	          0.00	--  	--  	--  	7.33	    21.21	0	  0.07	造纸	山东	0.00	7.33	0	
002104	恒宝股份	0.09	11.04	0.01	11.05	11.05	0	0	--  	          0.00	--  	--  	--  	11.04	    47.18	0	  0.35	元器件	江苏	0.00	11.04	0	
002108	沧州明珠	-0.43	23.33	-0.10	23.23	23.23	0	0	--  	          0.00	--  	--  	--  	23.33	    28.99	0	  0.09	塑料	河北	0.00	23.33	0	
002113	天润数娱	--  	18.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.81	   317.13	0	  0.00	互联网	湖南	0.00	18.81	0	
002117	东港股份	0.37	30.10	0.11	30.21	30.21	0	0	--  	          0.00	--  	--  	--  	30.10	    55.12	0	  0.06	广告包装	山东	0.00	30.10	0	
002122	天马股份	0.09	11.16	0.01	11.17	11.17	0	0	--  	          0.00	--  	--  	--  	11.16	   349.06	0	  0.14	机械基件	浙江	0.00	11.16	0	
002123	梦网荣信	0.27	15.01	0.04	15.05	15.05	0	0	--  	          0.00	--  	--  	--  	15.01	    57.54	0	  0.04	互联网	辽宁	0.00	15.01	0	
002127	南极电商	-0.54	11.06	-0.06	11.00	11.00	0	0	--  	          0.00	--  	--  	--  	11.06	    85.44	0	  0.23	互联网	江苏	0.00	11.06	0	
002138	顺络电子	0.05	18.51	0.01	18.52	18.52	0	0	--  	          0.00	--  	--  	--  	18.51	    38.84	0	  0.26	元器件	深圳	0.00	18.51	0	
002155	湖南黄金	0.08	12.02	0.01	12.03	12.03	0	0	--  	          0.00	--  	--  	--  	12.02	   101.72	0	  1.73	黄金	湖南	0.00	12.02	0	
002168	深圳惠程	--  	16.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.99	   184.81	0	  0.00	电气设备	深圳	0.00	16.99	0	
002175	东方网络	--  	16.38	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.38	   380.06	0	  0.00	电器仪表	广西	0.00	16.38	0	
002185	华天科技	-0.71	12.69	-0.09	12.60	12.60	0	0	--  	          0.00	--  	--  	--  	12.69	    34.80	0	  0.83	半导体	甘肃	0.00	12.69	0	
002191	劲嘉股份	-0.10	10.34	-0.01	10.33	10.33	0	0	--  	          0.00	--  	--  	--  	10.34	    23.14	0	  0.11	广告包装	深圳	0.00	10.34	0	
002250	联化科技	-0.45	15.65	-0.07	15.58	15.58	0	0	--  	          0.00	--  	--  	--  	15.65	    44.38	0	  0.07	化工原料	浙江	0.00	15.65	0	
002266	浙富控股	-0.18	5.64	-0.01	5.63	5.63	0	0	--  	          0.00	--  	--  	--  	5.64	   165.90	0	  0.28	电气设备	浙江	0.00	5.64	0	
002268	卫 士 通	0.49	32.62	0.16	32.78	32.78	0	0	--  	          0.00	--  	--  	--  	32.62	  2091.57	0	  0.18	软件服务	四川	0.00	32.62	0	
002273	水晶光电	0.49	22.27	0.11	22.38	22.38	0	0	--  	          0.00	--  	--  	--  	22.27	    65.26	0	  0.14	元器件	浙江	0.00	22.27	0	
002276	万马股份	0.13	15.00	0.02	15.02	15.02	0	0	--  	          0.00	--  	--  	--  	15.00	    80.64	0	  0.09	电气设备	浙江	0.00	15.00	0	
002281	光迅科技	-0.13	79.90	-0.10	79.80	79.80	0	0	--  	          0.00	--  	--  	--  	79.90	    58.77	0	  0.22	通信设备	湖北	0.00	79.90	0	
002308	威创股份	1.18	15.21	0.18	15.39	15.39	0	0	--  	          0.00	--  	--  	--  	15.21	    81.19	0	  0.24	电脑设备	广东	0.00	15.21	0	
002312	三泰控股	0.38	7.95	0.03	7.98	7.98	0	0	--  	          0.00	--  	--  	--  	7.95	--  	0	  0.23	电脑设备	四川	0.00	7.95	0	
002326	永太科技	--  	16.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.11	    80.61	0	  0.00	化工原料	浙江	0.00	16.11	0	
002343	慈文传媒	-0.12	41.12	-0.05	41.07	41.07	0	0	--  	          0.00	--  	--  	--  	41.12	    66.45	0	  0.06	影视音像	浙江	0.00	41.12	0	
002359	齐星铁塔	--  	27.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.52	--  	0	  0.00	钢加工	山东	0.00	27.52	0	
002368	太极股份	--  	32.48	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	32.48	   156.19	0	  0.00	软件服务	北京	0.00	32.48	0	
002383	合众思壮	--  	49.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.60	   799.04	0	  0.00	通信设备	北京	0.00	49.60	0	
002384	东山精密	-0.05	21.36	-0.01	21.35	21.35	0	0	--  	          0.00	--  	--  	--  	21.36	    92.23	0	  0.02	通信设备	江苏	0.00	21.36	0	
002389	南洋科技	-0.61	22.93	-0.14	22.79	22.79	0	0	--  	          0.00	--  	--  	--  	22.93	   123.91	0	  0.17	元器件	浙江	0.00	22.93	0	
002421	达实智能	0.00	6.43	0.00	6.43	6.43	0	0	--  	          0.00	--  	--  	--  	6.43	    54.95	0	  0.03	软件服务	深圳	0.00	6.43	0	
002434	万里扬	0.00	17.38	0.00	17.38	17.38	0	0	--  	          0.00	--  	--  	--  	17.38	    80.16	0	  0.06	汽车配件	浙江	0.00	17.38	0	
002468	申通快递	0.00	27.16	0.00	27.16	27.16	0	0	--  	          0.00	--  	--  	--  	27.16	  5983.50	0	  0.03	仓储物流	浙江	0.00	27.16	0	
002477	雏鹰农牧	0.21	4.85	0.01	4.86	4.86	0	0	--  	          0.00	--  	--  	--  	4.85	    16.14	0	  3.51	农业综合	河南	0.00	4.85	0	
002489	浙江永强	0.00	7.41	0.00	7.41	7.41	0	0	--  	          0.00	--  	--  	--  	7.41	    73.71	0	  0.99	家居用品	浙江	0.00	7.41	0	
002501	利源精制	0.24	12.30	0.03	12.33	12.33	0	0	--  	          0.00	--  	--  	--  	12.30	    26.93	0	  0.11	铝	吉林	0.00	12.30	0	
002544	杰赛科技	--  	27.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.50	   133.24	0	  0.00	软件服务	广东	0.00	27.50	0	
002570	贝因美	0.00	13.74	0.00	13.74	13.74	0	0	--  	          0.00	--  	--  	--  	13.74	--  	0	  0.02	乳制品	浙江	0.00	13.74	0	
002622	融钰集团	-0.62	12.83	-0.08	12.75	12.75	0	0	--  	          0.00	--  	--  	--  	12.83	   290.09	0	  0.28	电气设备	吉林	0.00	12.83	0	
002630	华西能源	0.00	12.17	0.00	12.17	12.17	0	0	--  	          0.00	--  	--  	--  	12.17	    38.18	0	  0.28	专用机械	四川	0.00	12.17	0	
002638	勤上股份	--  	9.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.04	   209.77	0	  0.00	半导体	广东	0.00	9.04	0	
002672	东江环保	0.00	18.24	0.00	18.24	18.24	0	0	--  	          0.00	--  	--  	--  	18.24	    31.90	0	  0.14	环境保护	广东	0.00	18.24	0	
002694	顾地科技	0.27	36.40	0.10	36.50	36.50	0	0	--  	          0.00	--  	--  	--  	36.40	   690.39	0	  0.05	塑料	湖北	0.00	36.40	0	
300014	亿纬锂能	-0.03	37.20	-0.01	37.19	37.19	0	0	--  	          0.00	--  	--  	--  	37.20	    63.10	0	  0.16	元器件	广东	0.00	37.20	0	
300020	银江股份	0.38	15.68	0.06	15.74	15.74	0	0	--  	          0.00	--  	--  	--  	15.68	    32.55	0	  0.20	软件服务	浙江	0.00	15.68	0	
300055	万邦达	0.41	16.98	0.07	17.05	17.05	0	0	--  	          0.00	--  	--  	--  	16.98	    55.37	0	  0.04	环境保护	北京	0.00	16.98	0	
300068	南都电源	--  	20.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.14	    48.12	0	  0.00	电气设备	浙江	0.00	20.14	0	
300077	国民技术	0.00	16.08	0.00	16.08	16.08	0	0	--  	          0.00	--  	--  	--  	16.08	   144.57	0	  0.07	半导体	深圳	0.00	16.08	0	
300079	数码视讯	0.42	7.10	0.03	7.13	7.13	0	0	--  	          0.00	--  	--  	--  	7.10	    50.59	0	  0.48	通信设备	北京	0.00	7.10	0	
