代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000005	世纪星源	0.15	6.64	0.01	6.63	6.64	279	279	0.00	          0.00	6.64	6.64	6.64	6.63	    39.41	185256	  0.45	房产服务	深圳	0.00	6.64	140	
000016	深康佳Ａ	0.22	4.50	0.01	4.50	4.51	487	487	0.00	          0.00	4.50	4.50	4.50	4.49	--  	219150	  1.18	家用电器	深圳	0.00	4.50	244	
000036	华联控股	0.24	8.41	0.02	8.40	8.41	174	174	0.00	          0.00	8.41	8.41	8.41	8.39	    15.13	146334	  0.69	全国地产	深圳	0.00	8.41	87	
000043	中航地产	0.42	12.09	0.05	12.08	12.09	331	331	0.00	          0.00	12.09	12.09	12.09	12.04	    49.96	400179	  0.89	全国地产	深圳	0.00	12.09	166	
000407	胜利股份	--  	10.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.08	   341.19	0	  0.00	供气供热	山东	0.00	10.08	0	
000409	山东地矿	0.32	12.39	0.04	12.38	12.39	389	389	0.00	          0.01	12.39	12.39	12.39	12.35	  2141.09	481971	  1.55	综合类	山东	0.00	12.39	195	
000528	柳 工	0.00	9.10	0.00	9.08	9.10	426	426	0.00	          0.00	9.10	9.10	9.10	9.10	  1221.14	387660	  0.45	工程机械	广西	0.00	9.10	213	
000534	万泽股份	0.76	15.86	0.12	15.75	15.86	6	6	0.00	          0.00	15.86	15.86	15.86	15.74	   102.37	9516	  0.07	区域地产	广东	0.00	15.86	3	
000536	华映科技	0.00	12.07	0.00	12.06	12.07	192	192	0.00	          0.00	12.07	12.07	12.07	12.07	    38.25	231744	  0.78	元器件	福建	0.00	12.07	96	
000567	海德股份	0.06	33.99	0.02	33.98	33.99	37	37	0.00	          0.00	33.99	33.99	33.99	33.97	  2376.81	125763	  0.16	区域地产	海南	0.00	33.99	19	
000586	汇源通信	--  	21.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.28	  1148.64	0	  0.00	通信设备	四川	0.00	21.28	0	
000610	西安旅游	0.07	13.73	0.01	13.73	13.74	32	32	0.00	          0.00	13.73	13.73	13.73	13.72	  1452.87	43936	  0.17	旅游服务	陕西	0.00	13.73	16	
000626	远大控股	0.26	23.35	0.06	23.35	23.42	85	85	0.00	          0.00	23.35	23.35	23.35	23.29	    27.87	198475	  0.77	商贸代理	江苏	0.00	23.35	43	
000632	三木集团	-0.34	8.91	-0.03	8.90	8.91	285	285	0.00	          0.01	8.91	8.91	8.91	8.94	  2188.72	253935	  0.58	综合类	福建	0.00	8.91	143	
000657	中钨高新	-0.52	15.40	-0.08	15.38	15.40	168	168	0.00	          0.01	15.40	15.40	15.40	15.48	   329.11	258720	  0.32	小金属	海南	0.00	15.40	84	
000679	大连友谊	0.15	13.18	0.02	13.16	13.18	32	32	0.00	          0.00	13.18	13.18	13.18	13.16	--  	42176	  0.23	百货	辽宁	0.00	13.18	16	
000680	山推股份	-0.30	6.57	-0.02	6.57	6.58	712	712	0.00	          0.01	6.57	6.57	6.57	6.59	--  	467784	  0.40	工程机械	山东	0.00	6.57	356	
000707	双环科技	-0.69	8.67	-0.06	8.67	8.68	230	230	0.00	          0.00	8.67	8.67	8.67	8.73	--  	199427	  0.55	化工原料	湖北	0.00	8.67	115	
000721	西安饮食	0.11	8.71	0.01	8.70	8.71	113	113	0.00	          0.00	8.71	8.71	8.71	8.70	   178.82	98423	  0.41	酒店餐饮	陕西	0.00	8.71	57	
000735	罗 牛 山	0.00	7.11	0.00	7.10	7.11	156	156	0.00	          0.00	7.11	7.11	7.11	7.11	    76.65	110916	  0.18	农业综合	海南	0.00	7.11	78	
000795	英洛华	0.72	7.03	0.05	7.02	7.03	1068	1068	0.00	          0.02	7.03	7.03	7.03	6.98	   230.47	750804	  1.81	矿物制品	山西	0.00	7.03	534	
000802	北京文化	0.06	17.85	0.01	17.84	17.85	174	174	0.00	          0.00	17.85	17.85	17.85	17.84	   676.38	310590	  0.96	旅游服务	北京	0.00	17.85	87	
000850	华茂股份	0.00	6.22	0.00	6.22	6.23	161	161	0.00	          0.00	6.22	6.22	6.22	6.22	    71.07	100142	  0.53	纺织	安徽	0.00	6.22	81	
000856	*ST冀装	-0.26	15.13	-0.04	15.13	15.19	18	18	0.00	          0.00	15.13	15.13	15.13	15.17	    44.86	27234	  0.18	机械基件	河北	0.00	15.13	9	
000882	华联股份	0.23	4.28	0.01	4.27	4.28	1420	1420	0.00	          0.01	4.28	4.28	4.28	4.27	    57.24	607760	  1.16	百货	北京	0.00	4.28	710	
000890	法 尔 胜	0.43	11.64	0.05	11.61	11.64	55	55	0.00	          0.00	11.64	11.64	11.64	11.59	    24.39	64020	  0.30	钢加工	江苏	0.00	11.64	28	
000913	*ST钱江	0.28	17.80	0.05	17.80	17.88	45	44	0.00	          0.00	17.80	17.80	17.80	17.75	   109.81	79335	  0.36	摩托车	浙江	0.00	17.80	22	
000930	中粮生化	0.00	13.36	0.00	13.36	13.37	771	771	0.00	          0.01	13.36	13.36	13.36	13.36	    91.20	1030056	  0.44	农业综合	安徽	0.00	13.36	386	
000933	*ST神火	-0.13	7.54	-0.01	7.53	7.54	224	224	0.00	          0.00	7.54	7.54	7.54	7.55	    13.02	168896	  0.23	煤炭开采	河南	0.00	7.54	112	
000978	桂林旅游	0.00	11.47	0.00	11.46	11.47	72	72	0.00	          0.00	11.47	11.47	11.47	11.47	    62.98	82584	  0.36	旅游景点	广西	0.00	11.47	36	
002005	德豪润达	0.00	6.00	0.00	6.00	6.02	1174	1174	0.00	          0.01	6.00	6.00	6.00	6.00	   340.19	704400	  1.54	家用电器	广东	0.00	6.00	587	
002066	瑞泰科技	0.06	17.47	0.01	17.46	17.47	134	134	0.00	          0.01	17.47	17.47	17.47	17.46	   110.45	234098	  0.54	其他建材	北京	0.00	17.47	67	
